
[00:00:00.000 --> 00:00:02.000]   Okay
[00:00:02.000 --> 00:00:04.000]   so
[00:00:04.000 --> 00:00:06.200]   Welcome
[00:00:06.200 --> 00:00:08.920]   Practical deep learning for coders lesson one
[00:00:08.920 --> 00:00:11.560]   it's kind of lesson two because
[00:00:11.560 --> 00:00:17.080]   There's a lesson zero and lesson zero is is why do you need a GPU and how do you get it set up?
[00:00:17.080 --> 00:00:20.080]   So if you haven't got a GPU running yet
[00:00:20.080 --> 00:00:25.180]   then go back and do that make sure that you can access a
[00:00:25.180 --> 00:00:27.920]   Jupiter notebook and
[00:00:28.040 --> 00:00:32.220]   And then you're ready to start the real lesson one. So if you're ready
[00:00:32.220 --> 00:00:37.080]   you will be able to see something like this and
[00:00:37.080 --> 00:00:42.120]   In particular, hopefully you have gone to notebook tutorial. It's at the top
[00:00:42.120 --> 00:00:47.960]   That's right, but a 0/0 here as this grows. You'll see more and more files, but we'll keep notebook tutorial at the top and
[00:00:47.960 --> 00:00:50.920]   You will have used your
[00:00:50.920 --> 00:00:55.800]   Jupiter notebook to add one and one together get in the expected result
[00:00:55.800 --> 00:01:01.800]   Let's make that a bit bigger
[00:01:01.800 --> 00:01:06.520]   And hopefully you've learned these four keyboard shortcuts
[00:01:06.520 --> 00:01:08.600]   so
[00:01:08.600 --> 00:01:11.840]   The basic idea is that your Jupiter notebook
[00:01:11.840 --> 00:01:19.240]   Has pros in it. It can have pictures in it. It can have
[00:01:19.240 --> 00:01:22.640]   Charts in it
[00:01:23.120 --> 00:01:29.520]   And most importantly it can have code in it. Okay, so the code is in Python
[00:01:29.520 --> 00:01:35.920]   How many people have used Python before so nearly all of you that's great
[00:01:35.920 --> 00:01:40.480]   Um, if you haven't used Python, that's totally okay. All right
[00:01:40.480 --> 00:01:44.680]   It's a pretty easy language to pick up. But if you haven't used Python
[00:01:44.680 --> 00:01:52.360]   This will feel a little bit more intimidating because the code that you're seeing will be unfamiliar to you. Yes, Rachel
[00:01:53.360 --> 00:01:55.360]   Oh
[00:01:55.360 --> 00:02:00.000]   No, cuz I
[00:02:00.000 --> 00:02:04.240]   Try to keep the most sacred. Yeah. Yeah. Okay. We're not the way here. I'll edit this bit out
[00:02:04.240 --> 00:02:10.240]   So as I say, there are things like this where people in the room in person
[00:02:10.240 --> 00:02:13.520]   This is one of those bits just like this is really for the MOOC audience
[00:02:13.520 --> 00:02:20.960]   Not for you. That's I think this will be the only time like this in the in the lesson where we've assumed
[00:02:21.000 --> 00:02:22.880]   You've got this set up
[00:02:22.880 --> 00:02:24.880]   Thanks to the mother. Okay
[00:02:24.880 --> 00:02:29.740]   All right, so yeah for those of you in the room or on for or in faster you're live
[00:02:29.740 --> 00:02:37.420]   You can go back after this and make sure that you can get this running using the information in course the three dot faster
[00:02:37.420 --> 00:02:39.420]   They I
[00:02:39.420 --> 00:02:43.020]   Okay, okay
[00:02:43.020 --> 00:02:49.240]   Okay, so a Jupyter notebook is
[00:02:49.600 --> 00:02:51.440]   a
[00:02:51.440 --> 00:02:53.440]   Really interesting
[00:02:53.440 --> 00:02:57.000]   Device for a data scientist because it kind of lets you
[00:02:57.000 --> 00:03:03.180]   run interactive experiments and it lets ask if you not just a
[00:03:03.180 --> 00:03:09.080]   Static piece of information, but it let it let's ask if you something that you can actually
[00:03:09.080 --> 00:03:12.640]   interactively experiment with
[00:03:12.640 --> 00:03:14.880]   so
[00:03:14.880 --> 00:03:16.880]   let me explain how we
[00:03:17.840 --> 00:03:24.140]   Think works well to use these notebooks and to use this material and this is based on the kind of last three years of experience
[00:03:24.140 --> 00:03:27.020]   We've had with the students who have gone through this course
[00:03:27.020 --> 00:03:33.960]   First of all, it works pretty well just to watch a lesson end-to-end
[00:03:33.960 --> 00:03:40.840]   Don't try and follow along because it's not really designed to go at a speed where you can follow along
[00:03:40.840 --> 00:03:46.560]   It's designed to be something where you just take in the information you get a general sense of all of the pieces how it all
[00:03:46.560 --> 00:03:48.320]   Fits together, right?
[00:03:48.320 --> 00:03:50.940]   And then you can go back and go through it
[00:03:50.940 --> 00:03:53.280]   most slowly
[00:03:53.280 --> 00:03:55.280]   pausing on in the video
[00:03:55.280 --> 00:03:59.660]   And trying things out making sure that you can do the things that I'm doing
[00:03:59.660 --> 00:04:07.560]   And that you can try and extend them to do it things in your own way. Okay, so don't worry if
[00:04:07.560 --> 00:04:10.200]   Things are zipping along
[00:04:10.280 --> 00:04:18.240]   Faster than you can do them. That's normal. Also don't try and stop and understand everything the first time if you do understand
[00:04:18.240 --> 00:04:20.240]   Everything the first time good for you
[00:04:20.240 --> 00:04:27.260]   But most people don't particularly as the lessons go on they get faster and they get more difficult. Okay
[00:04:27.260 --> 00:04:35.680]   So at this point we've got our notebooks going we're ready to start doing deep learning
[00:04:35.680 --> 00:04:40.740]   And so the main thing that hopefully you're going to agree at the end of this is that you?
[00:04:40.740 --> 00:04:47.000]   Can do deep learning regardless of who you are and we don't just mean do we mean do at a very?
[00:04:47.000 --> 00:04:51.600]   High level I mean world-class practitioner level deep learning
[00:04:51.600 --> 00:04:54.840]   So
[00:04:54.840 --> 00:04:59.740]   Your main place to be looking for things is course the three dot fast dot AI
[00:04:59.740 --> 00:05:03.480]   Where you can find out how to get a GPU
[00:05:04.280 --> 00:05:09.280]   Other information and you can also access our forums
[00:05:09.280 --> 00:05:18.400]   You can also access our forums and on our forums you'll find things like how do you build a
[00:05:18.400 --> 00:05:26.160]   Deep learning box yourself and that's something that you can do up, you know later on once you've kind of got going
[00:05:26.160 --> 00:05:29.640]   Who am I?
[00:05:29.760 --> 00:05:36.320]   So why should you listen to me? Well, maybe you shouldn't but I'll try and justify why you should listen to me
[00:05:36.320 --> 00:05:42.160]   I've been doing stuff with machine learning for over 25 years. I
[00:05:42.160 --> 00:05:50.920]   Started out in management consulting where actually initially I was I think McKinsey and companies first analytical specialist and went into a general consulting
[00:05:50.920 --> 00:05:53.480]   Ran a number of startups for a long time
[00:05:54.320 --> 00:06:00.160]   Eventually became the president of Kaggle, but actually the thing I'm probably most proud of in my life
[00:06:00.160 --> 00:06:05.260]   Is that I got to be the number one ranked contestant in Kaggle competitions globally?
[00:06:05.260 --> 00:06:08.640]   So I think that's a good
[00:06:08.640 --> 00:06:16.040]   Practical like can you actually train a predictive model that predicts things pretty important aspect of data science?
