
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:00:03.000 --> 00:00:07.000]   Take on more adventure in the strong and capable Chevy Silverado.
[00:00:07.000 --> 00:00:09.000]   More confidence in the Chevy Equinox.
[00:00:09.000 --> 00:00:14.000]   Winner of the J.D. Power Award for initial quality among compact SUVs two years running.
[00:00:14.000 --> 00:00:19.000]   And more value in the all-new Chevy Trax with an available 11-inch diagonal touchscreen.
[00:00:19.000 --> 00:00:21.000]   Bring the holidays together in a new Chevy.
[00:00:21.000 --> 00:00:23.000]   Click to learn more.
[00:00:23.000 --> 00:00:25.000]   Chevrolet. Together, let's drive.
[00:00:25.000 --> 00:00:30.000]   For J.D. Power 2023 U.S. Initial Quality Study Award information, visit JDPower.com/awards.
[00:00:30.000 --> 00:00:41.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:41.000 --> 00:00:46.000]   Today is Friday, and that means live Q&A, but would you believe it? I've lost my music on my computer.
[00:00:46.000 --> 00:00:52.000]   And so I am unprepared here starting a live Q&A show without music.
[00:00:52.000 --> 00:01:00.000]   But I've got one, two, three, four, five, six, seven colors on the line, so it promises to be a busy podcast no matter what.
[00:01:00.000 --> 00:01:03.000]   Oh, hey, someone just jumped on.
[00:01:03.000 --> 00:01:05.000]   So it's going to be a good fun day of Q&A.
[00:01:05.000 --> 00:01:08.000]   I want to begin today's show, though, before going to the questions.
[00:01:08.000 --> 00:01:10.000]   I want to begin today's show with a short apology.
[00:01:10.000 --> 00:01:19.000]   The most recent show that I released on the podcast prior to this show, I did an interview with a man who is quite an interesting guy.
[00:01:19.000 --> 00:01:27.000]   Extraordinarily provocative, controversial, et cetera, but very interesting, and who was able to build wealth very, very quickly.
[00:01:27.000 --> 00:01:33.000]   But he has built his wealth primarily in a version of the pornography business and the webcam business.
[00:01:33.000 --> 00:01:40.000]   And when I released the episode, I try very hard to keep the show interesting.
[00:01:40.000 --> 00:01:43.000]   I try to keep it a little bit radical, a little bit edgy.
[00:01:43.000 --> 00:01:47.000]   I don't do edgy for the sake of being edgy, but I'm not scared to talk about difficult things.
[00:01:47.000 --> 00:01:53.000]   And I'm fascinated by money, and I'm fascinated by how it works in different circumstances and situations.
[00:01:53.000 --> 00:02:09.000]   And when I recorded the show and I thought about bringing him on, when I released the show, I thought, "Okay, well, this will be a little bit edgy, but what I'll try to do is I'll try to, by the content of the interview, I'll try to focus in on the lessons.
[00:02:09.000 --> 00:02:13.000]   I'll try to focus on the positive stuff, but steer away from the immorality."
[00:02:13.000 --> 00:02:17.000]   And so I did that, and I tried to do that.
[00:02:17.000 --> 00:02:20.000]   And it was an interesting conversation.
[00:02:20.000 --> 00:02:27.000]   However, after the fact, as I was thinking about it, I thought, "Okay, I did a pretty decent job on the interview of keeping things somewhat light."
[00:02:27.000 --> 00:02:34.000]   After the fact, I got an email from a listener, and she wrote me this email, and it's fairly short, it's three paragraphs.
[00:02:34.000 --> 00:02:37.000]   I just want to read it to you because it really struck me.
[00:02:37.000 --> 00:02:40.000]   It really cut me to the heart and humbled me.
[00:02:40.000 --> 00:02:44.000]   And I decided, "Well, let me read the email, and then I'll make a couple more comments."
[00:02:44.000 --> 00:02:48.000]   And so, a listener writes in and says, "Joshua, I want to respond to your latest podcast.
[00:02:48.000 --> 00:02:56.000]   I'm not angry, nor am I going to pull my Patreon support, but I am the mother of a woman whose life has been destroyed by people like the man that you interviewed.
[00:02:56.000 --> 00:03:03.000]   Yes, they pull in a lot of money, and if you take a libertarian point of view, there may be space to throw up our hands and say everyone is responsible for their decisions.
[00:03:03.000 --> 00:03:12.000]   I would contend that my young adult daughter, who had left home for the first time, was at a tremendous disadvantage when caught in the crosshairs of someone like this.
[00:03:12.000 --> 00:03:19.000]   While the catchy phrase, 'Prostitution is the world's oldest profession,' sounds good, I would contend that this shouldn't be the case.
[00:03:19.000 --> 00:03:25.000]   The exploitation of women to profit off of the lusts of men is an international epidemic.
