
[00:00:00.000 --> 00:00:06.360]   let me do that real quick and this is my friend uh he has consultancy and he's trying to stand up
[00:00:06.360 --> 00:00:11.340]   some ai stuff and win some big contracts and he needed some help so i am helping him with this
[00:00:11.340 --> 00:00:19.220]   um it's all open source though um and uh yeah and we intend to keep it that way so um and you know
[00:00:19.220 --> 00:00:27.080]   we're just gonna make money on consulting so okay so um let's see so actually this is a good slide
[00:00:27.080 --> 00:00:37.500]   for everyone um uh so cell typing which means like so okay let's back up in one of the one thing that
[00:00:37.500 --> 00:00:44.760]   has become pretty prevalent in the world of um biology in the last five years or so is what's
[00:00:44.760 --> 00:00:52.200]   called um single cell transcriptomics which means they you can sequence the rna not the dna but the
[00:00:52.200 --> 00:01:01.320]   rna um that is being expressed in single cells at a time so like um so first of all dna is sort of
[00:01:01.320 --> 00:01:10.340]   like the the like the copy of the software on your hard drive and the rna is like the running software
[00:01:10.340 --> 00:01:15.980]   in memory is a good way to think about it and um it's not a perfect analogy and it's like maybe
[00:01:15.980 --> 00:01:21.180]   hardware analogies are appropriate as well and whatever but like um the rna is just basically
[00:01:21.180 --> 00:01:28.740]   what's being done now in the cell as opposed to uh all the things that the cell all the proteins that
[00:01:28.740 --> 00:01:35.060]   the cell can um can express so there are these there are various technologies and whatever but they all
[00:01:35.060 --> 00:01:44.180]   basically boil down to uh for a given cell there's you have a matrix of like 50 000 or so genes and
[00:01:44.180 --> 00:01:51.120]   just count how many of each of these genes are you can detect in that one cell and these matrices are
[00:01:51.120 --> 00:01:58.420]   generally very sparse so about one percent of in any given cell about one percent of the one to two
[00:01:58.420 --> 00:02:06.440]   percent of the genes are being expressed at the time of the transcription um and this process is also
[00:02:06.440 --> 00:02:15.040]   like highly dependent on the experimental setup so it's very subject to what's called batch effects
[00:02:15.040 --> 00:02:22.380]   meaning um the guy who run it you know spent like you know a little bit longer during the sequencing
[00:02:22.380 --> 00:02:28.780]   process or they used a different brand of reagent or like oh like just basically there's a lot of
[00:02:28.780 --> 00:02:35.940]   randomness in the collection process so um these these these batch effects cause a lot of headaches um
[00:02:35.940 --> 00:02:42.820]   and so that models that are able to sort of like account for batch effects that are able to
[00:02:42.820 --> 00:02:52.420]   um you know sort of extract the um the the gene expression information and then um and then figure
[00:02:52.420 --> 00:02:59.660]   out what for this exact cell what type of cell is it and that could be as coarse as is this a neuron or
[00:02:59.660 --> 00:03:06.040]   a muscle cell or that could be like given this like super specific like i know this is a neuron because
[00:03:06.040 --> 00:03:12.740]   it's from a chunk of the brain but um i don't know what type of neuron so or maybe
[00:03:12.740 --> 00:03:19.900]   it's either one of so basically typing the cell um and this is like upstream of a ton of really
[00:03:19.900 --> 00:03:29.320]   important biological um types of experiments and diagnoses and whatever so um so that basically
[00:03:29.320 --> 00:03:37.700]   that we've kind of identified this as a really core problem that has a lot of academic um
[00:03:38.340 --> 00:03:44.360]   there's like tons of research that happened even a couple years ago that about this problem and how
[00:03:44.360 --> 00:03:49.120]   to solve it and people got to the point where they're kind of happy with the solutions from an
[00:03:49.120 --> 00:03:56.460]   academic standpoint and then it really hasn't made its way all the way into practice and so this is and
[00:03:56.460 --> 00:04:00.920]   it's like pretty tough to use these models not that like for you it probably wouldn't be tough but
[00:04:00.920 --> 00:04:09.760]   for a biologist it's kind of tough and so um so we're kind of focused on let's get let's take this
[00:04:09.760 --> 00:04:15.600]   up wrap it up into something that is really easy for people to use and so that's the point of this um
[00:04:15.600 --> 00:04:23.700]   and and i'll give a little more detail on that okay so uh okay so one of the so like i said there's like
[00:04:23.700 --> 00:04:31.940]   the the state of the art kind of has um is pretty either coarse grain or really specific to specific
[00:04:31.940 --> 00:04:40.380]   types of of cells so like you could this on the right hand side is like a hierarchy this is ontology
[00:04:40.380 --> 00:04:45.900]   there's like a database out there that you can use that is basically the data sets that we use are
[00:04:45.900 --> 00:04:51.660]   normalized to this so like there's like if you so the problem that you have is if you make a look
[00:04:51.660 --> 00:04:57.920]   if your data is labeled as like you know lymphocytes or like innate and then you predict cd
[00:04:57.920 --> 00:05:04.920]   16 positive like is that an incorrect prediction or how correct is it um is it's not a simple
[00:05:04.920 --> 00:05:10.920]   classification problem um and then of course these can be wrong as well so but maybe if it's like
[00:05:10.920 --> 00:05:19.940]   a different kind of mature natural killer cell like how wrong is that really um if so um that should be
[00:05:19.940 --> 00:05:24.440]   like seen as different than predicting it as a you know i don't know like a muscle cell or something
[00:05:24.440 --> 00:05:35.640]   um so um okay so cell typing right um okay you guys already know this um this is a model it's a
[00:05:35.640 --> 00:05:41.340]   transformer based model it was trained it's so like without getting into too much detail about how it
[00:05:41.340 --> 00:05:51.840]   works um they you know like the data sets are not um so unlike gene genetic sequences so nucleotides like
[00:05:51.840 --> 00:05:56.500]   you know you have the four nucleotides and they go in these sequences and they turn into these double
[00:05:56.500 --> 00:06:03.100]   helixes and blah blah blah this is not that kind of data this is for one cell i have a matrix of 50 000
[00:06:03.100 --> 00:06:10.480]   possible genes and what's the number of times i saw that gene a gene is like uh you know like a string of
[00:06:10.480 --> 00:06:17.940]   maybe uh anywhere from a couple thousand to a couple million i think uh no probably a couple hundred
[00:06:17.940 --> 00:06:25.440]   thousand genes uh i'm sorry nucleotides they all string together at cg in different orders and that
[00:06:25.440 --> 00:06:34.280]   defines what a gene is um so uh it anyway it you get these counts the count obviously because it's just
[00:06:34.280 --> 00:06:41.740]   a matrix it doesn't really matter what order the genes are in so you don't have quite a a a one-to-one
[00:06:41.740 --> 00:06:56.000]   type of data so the authors did some stuff so they could express the data in a a um something like an
[00:06:56.000 --> 00:07:01.160]   auto-aggressive model and it's a little unclear to me why they really want to do that instead of doing
[00:07:01.160 --> 00:07:08.780]   a more of like a encoder uh encoder only model um but it does perform well so uh but you know like
[00:07:08.780 --> 00:07:13.260]   there's a i think in my mind there's a lot of controversy around is it because the other stuff
[00:07:13.260 --> 00:07:19.140]   you did and you should have used a burt type model um so anyway what for what it is it is like a
[00:07:19.140 --> 00:07:28.120]   auto-aggressive more or less style of model um similar to gpt um and it was designed explicitly to remove
[00:07:28.120 --> 00:07:34.780]   these batch effects and this is going to matter in a minute um and it does pretty well but you can see
[00:07:34.780 --> 00:07:43.600]   these data sets uh if you look at well you can't see this column but like the data sets are uh um
[00:07:43.600 --> 00:07:52.020]   the data sets are these small specific types of cells so they're not doing like give me like of all
[00:07:52.020 --> 00:07:59.840]   the cells 700 or so types um and maybe if you look at you know maybe so even a big subset of that like
[00:07:59.840 --> 00:08:08.200]   they don't do very well with that um okay so i know this is like a whirlwind tour i don't want to
[00:08:08.200 --> 00:08:12.800]   dwell on anything but i do want to make sure people kind of get the gist of this is there any
[00:08:12.800 --> 00:08:14.840]   questions to start with
[00:08:14.840 --> 00:08:24.020]   okay cool so let's talk about what i did so um one other background piece there's this other model and
[00:08:24.020 --> 00:08:28.600]   this is i think the reason why i wanted to share this was because i think this is a super duper cool
[00:08:28.600 --> 00:08:36.160]   use of embeddings and um it's a little bit counterintuitive or that it works so well until
