
[00:00:00.000 --> 00:00:07.200]   [laughter]
[00:00:07.200 --> 00:00:15.640]   This is a great joy for me to be here because I have been so profoundly blessed by the impact
[00:00:15.640 --> 00:00:24.400]   that over the last couple of years the Lord has brought on our STEM environment here in
[00:00:24.400 --> 00:00:26.400]   the academic world.
[00:00:26.400 --> 00:00:34.360]   And I understand because of our complete submission to the Word of God that we are in a unique
[00:00:34.360 --> 00:00:41.280]   place to bring together an understanding of the universe from the very mouth of the Creator.
[00:00:41.280 --> 00:00:47.920]   And the dynamics of that are just beyond what the world could ever even imagine.
[00:00:47.920 --> 00:00:52.020]   I think I got a little dose of that in the video today and some of the things you saw
[00:00:52.020 --> 00:00:59.800]   with regard to the development of the zygote and the embryo and the wondrous work of God.
[00:00:59.800 --> 00:01:07.120]   So I'm not a scientist and I don't intend to be, but I have studied on the fringes of
[00:01:07.120 --> 00:01:10.640]   science as part of understanding Scripture.
[00:01:10.640 --> 00:01:13.360]   I did a series on Genesis.
[00:01:13.360 --> 00:01:20.640]   I went through the first eleven chapters of Genesis and this was my deepest foray into
[00:01:20.640 --> 00:01:25.280]   science trying to tackle the issue of creation.
[00:01:25.280 --> 00:01:31.040]   And it came out in a book, The Battle for the Beginning.
[00:01:31.040 --> 00:01:37.680]   Some of you may have heard of it or seen it around if you want, they're available.
[00:01:37.680 --> 00:01:48.980]   You can read through that approach to Genesis that comes from solely a biblical understanding.
[00:01:48.980 --> 00:01:54.560]   And I keep hearing from, I think it was Andy Stanley recently who said when science and
[00:01:54.560 --> 00:01:59.820]   the Bible collide, science is always right.
[00:01:59.820 --> 00:02:07.820]   Which is a strange thing for a pastor to say and like abandoning your field.
[00:02:07.820 --> 00:02:12.220]   But that's what he said and we have found just the opposite to be true.
[00:02:12.220 --> 00:02:14.820]   But I'm not here to talk about that.
[00:02:14.820 --> 00:02:20.400]   I'm here to just say thank you for coming to the Master's University, I hope you had
[00:02:20.400 --> 00:02:21.400]   a good time.
[00:02:21.400 --> 00:02:28.060]   I hope the folks have provided what you need to build some relationships, make some new
[00:02:28.060 --> 00:02:34.300]   friendships and feel like you have partners in the battle that you fight out there in
[00:02:34.300 --> 00:02:36.820]   the midst of the university environment.
[00:02:36.820 --> 00:02:42.620]   So we want to be your encouragers and I was just telling Ty Denne, we need to do this
[00:02:42.620 --> 00:02:47.080]   as often as we can to continually encourage you.
[00:02:47.080 --> 00:02:50.440]   We're prepared to just keep doing it.
[00:02:50.440 --> 00:02:55.600]   But I do want to talk to you a little bit about the positive side of your ministry.
[00:02:55.600 --> 00:02:57.440]   We can't just play defense.
[00:02:57.440 --> 00:03:03.060]   We may be in a tough environment, but you can't just hunker down and play defense because
[00:03:03.060 --> 00:03:06.540]   that's not what the commission is, right?
[00:03:06.540 --> 00:03:09.580]   Wherever you are, you've got to go on the offense.
[00:03:09.580 --> 00:03:13.380]   You've got to represent the King and the kingdom.
[00:03:13.380 --> 00:03:18.980]   And I understand you have to do it with some wisdom and judiciousness and some discernment.
[00:03:18.980 --> 00:03:22.180]   And I'm sure the Spirit of God will give you that.
[00:03:22.180 --> 00:03:28.000]   But what I think is most important for us, if we are going to do what the Lord has commissioned
[00:03:28.000 --> 00:03:33.840]   us to do, even in a very difficult environment, no matter how challenging and hostile that
[00:03:33.840 --> 00:03:42.200]   environment is, we have to be crystal clear about what the message is.
[00:03:42.200 --> 00:03:48.280]   There are so many vagaries within the framework of "evangelical Christianity."
[00:03:48.280 --> 00:03:57.300]   And over the last couple of years, we've had this Christian deconstruction movement, #Exvangelicals,
[00:03:57.300 --> 00:04:03.720]   which means there are some people coming into evangelicalism, some people going out of evangelicalism,
[00:04:03.720 --> 00:04:09.640]   and everybody at every point seems to have a different definition of what it is.
