
[00:00:00.000 --> 00:00:05.000]   [music playing]
[00:00:05.000 --> 00:00:11.500]   Hi, all. My name is Alex Avrila.
[00:00:11.500 --> 00:00:13.960]   I am co-director at Carper AI,
[00:00:13.960 --> 00:00:16.260]   and today I will be talking about TRLX,
[00:00:16.260 --> 00:00:18.600]   a framework for open source RLHF.
[00:00:18.600 --> 00:00:20.220]   So what is RLHF?
[00:00:20.220 --> 00:00:22.960]   RLHF is an acronym standing for Reinforcement Learning
[00:00:22.960 --> 00:00:24.260]   from Human Feedback,
[00:00:24.260 --> 00:00:25.800]   and you can think of it as a technique
[00:00:25.800 --> 00:00:29.700]   for fine-tuning language models to incorporate human preferences.
[00:00:29.820 --> 00:00:32.460]   And it can be roughly broken down into three stages.
[00:00:32.460 --> 00:00:35.220]   Number one, first you collect pairwise comparisons
[00:00:35.220 --> 00:00:37.660]   among model responses to a given task.
[00:00:37.660 --> 00:00:40.360]   So for example, let's say I want to write happy stories.
[00:00:40.360 --> 00:00:42.260]   Look at the right-hand side.
[00:00:42.260 --> 00:00:44.460]   And the model generates two potential responses,
[00:00:44.460 --> 00:00:47.320]   one about a happy goose and one about a sad goose.
[00:00:47.320 --> 00:00:50.720]   Since I want to write stories which are happy,
[00:00:50.720 --> 00:00:54.320]   I'm going to select the response which is about a happy goose
[00:00:54.320 --> 00:00:57.060]   as more preferable for the response which is about a sad goose.
[00:00:57.760 --> 00:01:02.400]   These pairwise comparisons can then be used to train a reward model,
[00:01:02.400 --> 00:01:04.640]   which you can think of as an adapted language model
[00:01:04.640 --> 00:01:09.440]   which assigns a higher score or reward to the response
[00:01:09.440 --> 00:01:11.900]   which is preferred by the user.
[00:01:11.900 --> 00:01:14.440]   You can think of this reward model as an offline proxy
[00:01:14.440 --> 00:01:17.000]   for the human preferences which were captured in stage one.
[00:01:17.000 --> 00:01:20.060]   Then once this reward model has been learned,
[00:01:20.060 --> 00:01:23.940]   we optimize against it using a reinforcement learning algorithm,
[00:01:23.940 --> 00:01:27.200]   most commonly proximal policy optimization or PPO.
[00:01:27.880 --> 00:01:30.700]   And this results in a downstream student model
[00:01:30.700 --> 00:01:33.940]   which is able to write happy stories or more generally,
[00:01:33.940 --> 00:01:38.000]   it's aligned to the preferences which were collected in stage one
[00:01:38.000 --> 00:01:40.240]   and distilled into a reward model in stage two.
[00:01:40.240 --> 00:01:42.940]   And this makes up the RLHF pipeline.
[00:01:42.940 --> 00:01:47.900]   So some examples of popular RLHF models in the wild.
[00:01:47.900 --> 00:01:49.800]   TATPT, I think we're all familiar with.
[00:01:49.800 --> 00:01:52.100]   Most people have heard it by now.
[00:01:52.100 --> 00:01:55.780]   And this is an example of what we believe to be an RLHF model.
[00:01:55.900 --> 00:01:58.300]   It's been trained using reinforcement learning
