
[00:00:00.000 --> 00:00:07.000]   [Beeping]
[00:00:07.000 --> 00:00:13.000]   [Music]
[00:00:13.000 --> 00:00:15.000]   Welcome back to Ask the Compound.
[00:00:15.000 --> 00:00:18.000]   This week I'm joined by Corporal, Lieutenant, what was your rank Bill?
[00:00:18.000 --> 00:00:19.000]   Captain.
[00:00:19.000 --> 00:00:20.000]   Captain.
[00:00:20.000 --> 00:00:21.000]   Yes sir.
[00:00:21.000 --> 00:00:26.000]   Filling in for Duncan who is driving a German sedan on the Autobahn right now I think.
[00:00:26.000 --> 00:00:31.000]   In honor of Duncan I was looking for my goofiest hat and I think this fits the bill.
[00:00:31.000 --> 00:00:32.000]   I like it.
[00:00:32.000 --> 00:00:33.000]   Thanks.
[00:00:33.000 --> 00:00:35.000]   Today's show is sponsored by Rocket Money.
[00:00:35.000 --> 00:00:37.000]   I was playing around with Rocket Money today.
[00:00:37.000 --> 00:00:38.000]   It's a pretty cool app.
[00:00:38.000 --> 00:00:43.000]   It's really easy to link up your bank accounts and your credit cards through Plaid.
[00:00:43.000 --> 00:00:45.000]   And then you go through and you see all of your different subscriptions.
[00:00:45.000 --> 00:00:50.000]   Lucky me, I did not find one subscription that I doubled up on so I'm doing okay there.
[00:00:50.000 --> 00:00:54.000]   But they also have this little tab that says, "Hey, let us negotiate a lower bill for you."
[00:00:54.000 --> 00:00:57.000]   Everyone here knows that I'm good at negotiating with my cable company every year.
[00:00:57.000 --> 00:00:59.000]   I'm undefeated.
[00:00:59.000 --> 00:01:05.000]   But they said, "Let us take a look at your cable bill or your phone bill with AT&T or your internet bill
[00:01:05.000 --> 00:01:07.000]   and we will try to lower the rate for you."
[00:01:07.000 --> 00:01:10.000]   And it says I have an 85% hit rate, which is pretty cool.
[00:01:10.000 --> 00:01:13.000]   But just seeing all of your different-- it shows you recurring.
[00:01:13.000 --> 00:01:14.000]   This is a monthly basis.
[00:01:14.000 --> 00:01:15.000]   This is a quarterly.
[00:01:15.000 --> 00:01:16.000]   This is an annual.
[00:01:16.000 --> 00:01:19.000]   It's a really cool little budgeting tool just to help understand where your money is going.
