
[00:00:00.000 --> 00:00:01.440]   I'm Lucas.
[00:00:01.440 --> 00:00:03.720]   So I run this company, Weights and Biases, that's here.
[00:00:03.720 --> 00:00:05.600]   And I've been friends with Josh and Sergey
[00:00:05.600 --> 00:00:07.800]   and some of the other folks for a while.
[00:00:07.800 --> 00:00:10.320]   And I've been really enjoying all the lectures.
[00:00:10.320 --> 00:00:12.720]   I'm enjoying all the projects folks are working on.
[00:00:12.720 --> 00:00:15.840]   And I really appreciate you all coming here weekly.
[00:00:15.840 --> 00:00:18.320]   It's fun to see you and fun to see all the stuff you're
[00:00:18.320 --> 00:00:18.840]   working on.
[00:00:18.840 --> 00:00:21.760]   So I just wanted to make sure you had my contact info.
[00:00:21.760 --> 00:00:23.320]   It's lucas@w&b.com.
[00:00:23.320 --> 00:00:26.680]   So if you have any questions or you
[00:00:26.680 --> 00:00:28.880]   want to talk about any of these topics,
[00:00:28.880 --> 00:00:33.160]   I would love to keep the conversation going.
[00:00:33.160 --> 00:00:34.960]   I want to talk about machine learning tools,
[00:00:34.960 --> 00:00:38.320]   and specifically the experiment management product
[00:00:38.320 --> 00:00:40.360]   that I built. But I know a lot of you
[00:00:40.360 --> 00:00:42.240]   are pretty entrepreneurial.
[00:00:42.240 --> 00:00:44.040]   And we've had some amazing entrepreneurs come in.
[00:00:44.040 --> 00:00:46.040]   So I kind of want to talk a little bit about how
[00:00:46.040 --> 00:00:48.400]   I thought about building this company
[00:00:48.400 --> 00:00:51.520]   and how I have seen the space evolve.
[00:00:51.520 --> 00:00:54.160]   Because my first company was called
[00:00:54.160 --> 00:00:56.440]   Figure Eight that actually started as CrowdFlower
[00:00:56.440 --> 00:01:00.720]   with Chris over there about 12 years ago that collects training
[00:01:00.720 --> 00:01:02.720]   data for machine learning.
[00:01:02.720 --> 00:01:06.160]   And I'm really trying to get you guys credits for Figure Eight.
[00:01:06.160 --> 00:01:07.840]   We actually just got acquired.
[00:01:07.840 --> 00:01:11.120]   So it's been a little tricky to navigate the bureaucracy
[00:01:11.120 --> 00:01:14.080]   that I built, which is painful.
[00:01:14.080 --> 00:01:14.880]   Painful for me.
[00:01:14.880 --> 00:01:15.960]   It kind of breaks my heart.
[00:01:15.960 --> 00:01:18.220]   But if any of you want to collect data on Figure Eight,
[00:01:18.220 --> 00:01:22.080]   I really, really want to help you do it on the platform.
[00:01:22.080 --> 00:01:23.160]   It would make me so happy.
[00:01:23.160 --> 00:01:25.280]   So I have a list of everybody's email address.
[00:01:25.280 --> 00:01:28.320]   And I'm begging the team to get you guys
[00:01:28.320 --> 00:01:31.280]   accounts and some credits in them.
[00:01:31.280 --> 00:01:33.280]   The thing I really can't control is
[00:01:33.280 --> 00:01:36.040]   we can definitely get you access to Weights and Biases, which
[00:01:36.040 --> 00:01:39.320]   is an experiment tracking platform that I built.
[00:01:39.320 --> 00:01:41.520]   Has anyone used it yet?
[00:01:41.520 --> 00:01:42.020]   Awesome.
[00:01:42.020 --> 00:01:42.600]   Thanks, guys.
[00:01:42.600 --> 00:01:43.520]   Awesome.
[00:01:43.520 --> 00:01:46.160]   And if you need any help at all, especially with that,
[00:01:46.160 --> 00:01:48.120]   please, please talk to me.
[00:01:48.120 --> 00:01:52.040]   I would love to help you out there.
[00:01:52.040 --> 00:01:55.360]   I wanted to talk about some of my favorite AI applications.
[00:01:55.360 --> 00:01:57.760]   Maybe Sergey could grade them if he has any.
[00:01:57.760 --> 00:01:58.840]   Sergey snuck off.
[00:01:58.840 --> 00:01:59.720]   Man, I wanted to--
[00:01:59.720 --> 00:02:01.060]   I was kind of thinking, how would
[00:02:01.060 --> 00:02:03.560]   I grade these applications?
[00:02:03.560 --> 00:02:06.880]   One super cool application is this microwave.
[00:02:06.880 --> 00:02:09.520]   [LAUGHTER]
[00:02:09.520 --> 00:02:12.120]   It's controversial in this company, but this microwave--
[00:02:12.120 --> 00:02:13.240]   Sergey, what do you think?
[00:02:13.240 --> 00:02:13.920]   Check this out.
[00:02:13.920 --> 00:02:16.000]   Where does this land on your scale?
[00:02:16.000 --> 00:02:19.040]   So it looks at your food, and then it
[00:02:19.040 --> 00:02:22.320]   cooks it perfectly, supposedly.
[00:02:22.320 --> 00:02:22.820]   So it--
[00:02:22.820 --> 00:02:23.320]   [INAUDIBLE]
[00:02:23.320 --> 00:02:24.700]   Yeah, I've watched on everything.
[00:02:24.700 --> 00:02:25.560]   Yes.
[00:02:25.560 --> 00:02:26.480]   Is that on videotape?
[00:02:26.480 --> 00:02:27.520]   We'll send it-- oh, man.
[00:02:27.520 --> 00:02:29.360]   Stacey's against it.
[00:02:29.360 --> 00:02:32.960]   I think Stacey has some meta marks,
[00:02:32.960 --> 00:02:35.320]   like environmental impact, which is good.
[00:02:35.320 --> 00:02:39.040]   But anyway, if you want to try it, it's in the room in there.
[00:02:39.040 --> 00:02:45.560]   I do think this could still be done.
[00:02:45.560 --> 00:02:47.800]   Here, so everybody talks about self-driving cars,
[00:02:47.800 --> 00:02:49.880]   but nobody talks about self-driving suitcases.
[00:02:49.880 --> 00:02:51.240]   [LAUGHTER]
[00:02:51.240 --> 00:02:53.600]   Which has this additional benefit.
[00:02:53.600 --> 00:02:55.440]   Well, actually, this is not a benefit at all.
[00:02:55.440 --> 00:02:56.560]   So there's this problem.
[00:02:56.560 --> 00:02:59.920]   I tried to get one, even though you actually probably
[00:02:59.920 --> 00:03:02.120]   can't take them--
[00:03:02.120 --> 00:03:04.080]   you can't carry these onto a plane, right?
[00:03:04.080 --> 00:03:05.880]   But it will follow you onto the plane.
[00:03:05.880 --> 00:03:07.840]   [LAUGHTER]
[00:03:07.840 --> 00:03:10.340]   Which I guess-- so yeah, I think this would get higher marks
[00:03:10.340 --> 00:03:12.920]   in the car for if it fails to follow you.
[00:03:12.920 --> 00:03:13.600]   Right?
[00:03:13.600 --> 00:03:16.280]   So you could-- like, human operator override
[00:03:16.280 --> 00:03:18.680]   is probably easier.
[00:03:18.680 --> 00:03:21.000]   If it fails to follow you, you get arrested.
[00:03:21.000 --> 00:03:23.600]   I also just imagine the training data is people's butts,
[00:03:23.600 --> 00:03:26.920]   which just seems kind of amazing.
[00:03:26.920 --> 00:03:28.720]   Like, recognizing you from behind,
[00:03:28.720 --> 00:03:29.880]   from a suitcase angle.
[00:03:29.880 --> 00:03:32.400]   [LAUGHTER]
[00:03:32.400 --> 00:03:34.200]   And then this-- oh, man.
[00:03:34.200 --> 00:03:37.680]   This, I think maybe vaporware breaks my heart,
[00:03:37.680 --> 00:03:38.680]   if this is vaporware.
[00:03:38.680 --> 00:03:40.680]   I ordered this about a year ago and still have not
[00:03:40.680 --> 00:03:42.560]   received it.
[00:03:42.560 --> 00:03:44.360]   But maybe, what if you want to make this?
[00:03:44.360 --> 00:03:45.800]   I would be so-- maybe--
[00:03:45.800 --> 00:03:47.480]   Stacey might prefer this.
[00:03:47.480 --> 00:03:49.040]   We all-- environmental impact.
[00:03:49.040 --> 00:03:52.000]   Although, I question-- I question the environmental
[00:03:52.000 --> 00:03:52.560]   impact.
[00:03:52.560 --> 00:03:53.600]   But it is super cool.
[00:03:53.600 --> 00:03:55.960]   So according to her video, it looks at the trash
[00:03:55.960 --> 00:03:58.260]   as you put it in and then decides to put it in recycling
[00:03:58.260 --> 00:04:00.680]   or not recycling.
[00:04:00.680 --> 00:04:02.800]   So maybe cool.
[00:04:02.800 --> 00:04:05.400]   There's actually another-- this is one that I made recently
[00:04:05.400 --> 00:04:09.000]   that I'm really proud of that only works in my demo video.
[00:04:09.000 --> 00:04:11.080]   Also kind of vaporware, but I'll sell you one.
[00:04:11.080 --> 00:04:13.320]   [LAUGHTER]
[00:04:13.320 --> 00:04:15.520]   So it's one of these--
[00:04:15.520 --> 00:04:16.440]   we have one of these.
[00:04:16.440 --> 00:04:18.320]   So that's like a radiant heater.
[00:04:18.320 --> 00:04:21.280]   And so this is actually-- it's actually--
[00:04:21.280 --> 00:04:24.320]   space heaters, about 10 times as efficient as a radiant heater,
[00:04:24.320 --> 00:04:26.360]   because the radiant heater beams the heat at you.
[00:04:26.360 --> 00:04:28.520]   So sometimes it follows me.
[00:04:28.520 --> 00:04:31.080]   And I cut the video precisely to make sure
[00:04:31.080 --> 00:04:33.280]   that it only shows the part where it follows me.
[00:04:33.280 --> 00:04:35.080]   [LAUGHTER]
[00:04:35.080 --> 00:04:35.580]   What's that?
[00:04:35.580 --> 00:04:36.920]   Does that feel creepy?
[00:04:36.920 --> 00:04:38.320]   No, it doesn't feel creepy at all.
[00:04:38.320 --> 00:04:41.120]   It feels wonderful, because it's warming you, like the sun.
[00:04:41.120 --> 00:04:42.000]   It's amazing.
[00:04:42.000 --> 00:04:44.840]   [LAUGHTER]
[00:04:44.840 --> 00:04:46.460]   I mean, it might feel different to you,
[00:04:46.460 --> 00:04:50.560]   but it's like face recognition for my benefit feels amazing.
[00:04:50.560 --> 00:04:51.360]   For my warmth?
[00:04:51.360 --> 00:04:53.040]   I don't know.
[00:04:53.040 --> 00:04:57.280]   Anyway, I've been really enjoying your projects.
[00:04:57.280 --> 00:04:59.400]   I'm really excited to see them.
[00:04:59.400 --> 00:05:02.080]   I think one of the things that's really cool right now is there's
[00:05:02.080 --> 00:05:06.360]   so many more possible applications than people
[00:05:06.360 --> 00:05:08.040]   to make applications that kind of know
[00:05:08.040 --> 00:05:12.440]   how to use this technology that I think this is the best way
[00:05:12.440 --> 00:05:15.720]   to democratize AI is for you all to go out and make
[00:05:15.720 --> 00:05:16.480]   really cool stuff.
[00:05:16.480 --> 00:05:19.280]   We'd love to support that.
[00:05:19.280 --> 00:05:21.200]   So I want to go through some of the challenges
[00:05:21.200 --> 00:05:23.760]   that I see, because I've been watching this space for 10,
[00:05:23.760 --> 00:05:25.640]   12 years and just seeing the same challenges.
[00:05:25.640 --> 00:05:26.960]   And they don't seem to go away.
[00:05:26.960 --> 00:05:29.600]   And people really work hard to overcome them.
[00:05:29.600 --> 00:05:33.080]   I think one big issue from a bureaucratic perspective
[00:05:33.080 --> 00:05:36.000]   is that as doing machine learning,
[00:05:36.000 --> 00:05:37.800]   you look a lot like engineers.
[00:05:37.800 --> 00:05:40.560]   But in fact, a lot of things are different.
[00:05:40.560 --> 00:05:43.400]   So the code is incomprehensible.
[00:05:43.400 --> 00:05:44.680]   It doesn't version well.
[00:05:44.680 --> 00:05:48.240]   It's much bigger than something you might check into GitHub.
[00:05:48.240 --> 00:05:51.400]   And actually, your whole workflow is different.
[00:05:51.400 --> 00:05:53.560]   And I think everybody's had a different take on it.
[00:05:53.560 --> 00:05:54.640]   Surya had a slide on this.
[00:05:54.640 --> 00:05:56.920]   Almost everybody that has come in and spoke, I think,
[00:05:56.920 --> 00:06:00.440]   unprompted has actually had some variation of this,
[00:06:00.440 --> 00:06:03.600]   where there's clearly a data piece in the beginning,
[00:06:03.600 --> 00:06:06.280]   like a model building piece, and then a deployment piece.
[00:06:06.280 --> 00:06:08.680]   And I think you're kind of underserved
[00:06:08.680 --> 00:06:11.760]   by the different classes that we have, as awesome as--
[00:06:11.760 --> 00:06:14.480]   there's so much good online material about the learning
[00:06:14.480 --> 00:06:15.800]   algorithm piece.
[00:06:15.800 --> 00:06:17.460]   And there's just so much less material.
[00:06:17.460 --> 00:06:20.880]   And I think that the promise of the supplied deep learning
[00:06:20.880 --> 00:06:23.880]   class is to help you with the end-to-end process.
[00:06:23.880 --> 00:06:25.800]   Because if you can't get good data,
[00:06:25.800 --> 00:06:27.340]   you can't do machine learning right.
[00:06:27.340 --> 00:06:30.560]   And if you can't deploy it and monitor it, it's like, what's--
[00:06:30.560 --> 00:06:31.420]   that's just a toy.
[00:06:31.420 --> 00:06:34.240]   It's not a useful thing.
[00:06:34.240 --> 00:06:36.680]   So this workflow, I think, is fundamentally different.
[00:06:36.680 --> 00:06:39.160]   And what this means is that there's a whole new set
[00:06:39.160 --> 00:06:41.000]   of tools needed.
[00:06:41.000 --> 00:06:43.800]   And the tools, I kind of group them around the challenges
[00:06:43.800 --> 00:06:44.440]   that we face.
[00:06:44.440 --> 00:06:46.440]   And so the first one is machine learning
[00:06:46.440 --> 00:06:47.440]   requires training data.
[00:06:47.440 --> 00:06:50.120]   And this is something I noticed many, many years ago.
[00:06:50.120 --> 00:06:52.400]   My first job is just collecting training data.
[00:06:52.400 --> 00:06:55.480]   Actually, Peter Norvig-- this is one of the best papers ever
[00:06:55.480 --> 00:06:58.060]   on machine learning-- I think it's the unreasonable effectiveness
[00:06:58.060 --> 00:06:58.560]   of data.
[00:06:58.560 --> 00:07:00.760]   And it's actually aged beautifully,
[00:07:00.760 --> 00:07:04.480]   unlike some papers, which you'd say, 15 years later,
[00:07:04.480 --> 00:07:05.080]   not relevant.
[00:07:05.080 --> 00:07:06.520]   I think this is even more relevant,
