
[00:00:00.000 --> 00:00:07.500]   [APPLAUSE]
[00:00:07.500 --> 00:00:10.740]   We have a large and distinguished panel,
[00:00:10.740 --> 00:00:15.340]   individuals who have worn many hats as financial advisors,
[00:00:15.340 --> 00:00:19.860]   educators, authors, medical professionals.
[00:00:19.860 --> 00:00:22.460]   I'm going to be very brief about the introductions
[00:00:22.460 --> 00:00:25.220]   so that we can get into the meat of our discussion.
[00:00:25.220 --> 00:00:28.860]   I encourage you to look at everybody's bios
[00:00:28.860 --> 00:00:32.220]   on the Bogle Center website and go on to their websites.
[00:00:32.220 --> 00:00:34.740]   There's so much wonderful material.
[00:00:34.740 --> 00:00:39.600]   Many of you already heard Rick Ferry, Paul Merriman, Dana
[00:00:39.600 --> 00:00:42.900]   Anspach, and Jim Dolley speak yesterday as part
[00:00:42.900 --> 00:00:45.620]   of Bogleheads University.
[00:00:45.620 --> 00:00:49.260]   Today, joining them is Bill Bernstein,
[00:00:49.260 --> 00:00:52.060]   who we know as a neurologist by training,
[00:00:52.060 --> 00:00:55.340]   co-founder of Efficient Frontier Advisors,
[00:00:55.340 --> 00:01:00.380]   author of several books, also a Bogle Center board member,
[00:01:00.380 --> 00:01:02.580]   and my former colleague, Jonathan Clements,
[00:01:02.580 --> 00:01:05.900]   longtime personal finance columnist at The Wall Street
[00:01:05.900 --> 00:01:09.180]   Journal, and more recently, founder and editor
[00:01:09.180 --> 00:01:12.180]   of the Humble Dollar website.
[00:01:12.180 --> 00:01:14.860]   So we're going to talk about a bunch of investing topics,
[00:01:14.860 --> 00:01:17.540]   try and cover a lot of territory.
[00:01:17.540 --> 00:01:21.340]   If you have questions, Mike Piper will be gathering them.
[00:01:21.340 --> 00:01:25.620]   So Mike, could you stand up if you're in the room?
[00:01:25.620 --> 00:01:26.880]   Back there.
[00:01:26.880 --> 00:01:30.540]   So feel free to bring your question over to Mike,
[00:01:30.540 --> 00:01:35.740]   and we'll save some time at the end to discuss those.
[00:01:35.740 --> 00:01:38.380]   So I think we're going to start with the climate interest
[00:01:38.380 --> 00:01:41.340]   rates over the last couple of years.
[00:01:41.340 --> 00:01:46.900]   Total bond market returns were negative in 2021 and last year,
[00:01:46.900 --> 00:01:50.020]   and so far this year by a bit.
[00:01:50.020 --> 00:01:54.420]   The indications lately are that rates may be higher for longer.
[00:01:54.420 --> 00:01:57.540]   And I'm wondering, for the panelists, how that has
[00:01:57.540 --> 00:01:59.140]   changed-- if it has changed-- how
[00:01:59.140 --> 00:02:03.540]   it has affected your thinking about fixed income exposure,
[00:02:03.540 --> 00:02:06.300]   maturities, types of bonds to hold.
[00:02:06.300 --> 00:02:09.980]   And I'm going to ask Bill to start us off on that.
[00:02:09.980 --> 00:02:12.140]   Thank you for not asking me where I think interest rates
[00:02:12.140 --> 00:02:16.500]   are headed, because there are only three kinds of people
[00:02:16.500 --> 00:02:18.740]   there-- the ones who don't know, the ones who
[00:02:18.740 --> 00:02:21.060]   don't know they don't know, and then, finally,
[00:02:21.060 --> 00:02:23.740]   the ones who know they don't know but whose jobs
[00:02:23.740 --> 00:02:25.460]   and whose paycheck--
[00:02:25.460 --> 00:02:27.460]   it depends upon appearing to know.
[00:02:27.460 --> 00:02:31.100]   And they're the most dangerous ones.
[00:02:31.100 --> 00:02:32.580]   I think it really depends upon where
[00:02:32.580 --> 00:02:36.220]   you are in your life cycle.
[00:02:36.220 --> 00:02:40.980]   If you are saving for retirement and you're accumulating,
[00:02:40.980 --> 00:02:43.300]   you really shouldn't have that much in the way of bonds.
[00:02:43.300 --> 00:02:45.660]   You should have as much stocks as you can tolerate.
[00:02:45.660 --> 00:02:49.380]   And your bonds should be short, nominal bonds
[00:02:49.380 --> 00:02:50.700]   of the safest available.
[00:02:50.700 --> 00:02:53.420]   They should be treasuries, basically.
[00:02:53.420 --> 00:02:58.180]   If you're an older person who is in the decumulation phase,
[00:02:58.180 --> 00:03:00.220]   you are now faced with what may be
[00:03:00.220 --> 00:03:02.860]   one of the great bargains of a lifetime, which
[00:03:02.860 --> 00:03:05.420]   is the ability to defuse your real living
[00:03:05.420 --> 00:03:08.260]   expenses at a high real rate.
[00:03:08.260 --> 00:03:12.020]   Tips are now yielding about roughly 2.4%
[00:03:12.020 --> 00:03:13.380]   across the yield curve.
[00:03:13.380 --> 00:03:16.420]   So let's say you're approaching geyserhood.
[00:03:16.420 --> 00:03:19.500]   You're 60, 70 years old.
[00:03:19.500 --> 00:03:23.300]   And you can buy a ladder that goes all the way out
[00:03:23.300 --> 00:03:24.980]   30 years, which is almost certainly
[00:03:24.980 --> 00:03:29.100]   going to be beyond even the most optimistic life expectancies
[00:03:29.100 --> 00:03:30.980]   that most of you are going to have.
[00:03:30.980 --> 00:03:36.820]   And you can guarantee a real consumption at multiple points
[00:03:36.820 --> 00:03:38.460]   out to 30 years.
[00:03:38.460 --> 00:03:39.540]   You can do it with a fund.
[00:03:39.540 --> 00:03:41.780]   You can do it by buying individual tips.
[00:03:41.780 --> 00:03:45.140]   And I think that this is an enormous opportunity.
[00:03:45.140 --> 00:03:46.940]   I don't like long-term bonds.
[00:03:46.940 --> 00:03:49.940]   I make an exception for tips, because there you
[00:03:49.940 --> 00:03:52.460]   don't have to worry about inflation inflating
[00:03:52.460 --> 00:03:54.620]   the value away.
[00:03:54.620 --> 00:03:57.820]   So would you advise people to put all
[00:03:57.820 --> 00:03:59.740]   of their fixed income exposure-- someone
[00:03:59.740 --> 00:04:02.300]   who is at that laddering point, heading into retirement--
[00:04:02.300 --> 00:04:03.640]   would you go all tips?
[00:04:03.640 --> 00:04:05.020]   It depends upon their burn rate.
[00:04:05.020 --> 00:04:07.740]   If you're a kind of person who's got a very low burn
[00:04:07.740 --> 00:04:10.980]   rate, or a zero burn rate, but certainly a 1% or a 2% burn
[00:04:10.980 --> 00:04:13.540]   rate, it really doesn't matter what's in your portfolio.
[00:04:13.540 --> 00:04:15.580]   You're going to do fine.
[00:04:15.580 --> 00:04:20.100]   And you don't really need that tips ladder out there.
[00:04:20.100 --> 00:04:23.460]   But if you're burning 4% or 5% or 6%,
[00:04:23.460 --> 00:04:26.500]   I think a healthy dollop of tips would be worthwhile.
[00:04:26.500 --> 00:04:29.700]   I personally don't need them in my own personal portfolio.
[00:04:29.700 --> 00:04:31.540]   But I really like having them there.
[00:04:31.540 --> 00:04:33.980]   I've got now a nice dollop of them.
[00:04:33.980 --> 00:04:37.400]   When I need to go to bed at night, I don't count sheep.
[00:04:37.400 --> 00:04:38.380]   I count my tips.
[00:04:38.380 --> 00:04:43.260]   [LAUGHTER]
[00:04:43.260 --> 00:04:47.860]   Dana, I know in your portfolios you don't use tips.
[00:04:47.860 --> 00:04:50.700]   You use nominal bonds.
[00:04:50.700 --> 00:04:54.560]   As you're doing your planning, has the current interest rate
[00:04:54.560 --> 00:04:58.540]   environment changed what you're doing with clients?
[00:04:58.540 --> 00:04:59.700]   Not fundamentally.
[00:04:59.700 --> 00:05:01.540]   I really like what Rick said yesterday
[00:05:01.540 --> 00:05:03.740]   about philosophy versus strategy.
[00:05:03.740 --> 00:05:06.380]   So it hasn't changed our philosophy.
[00:05:06.380 --> 00:05:08.900]   There are a few strategic decisions.
[00:05:08.900 --> 00:05:13.140]   The biggest impact it has had is on managing short-term cash.
[00:05:13.140 --> 00:05:16.180]   So two years ago, it made no sense
[00:05:16.180 --> 00:05:18.020]   to spend a lot of time managing cash
[00:05:18.020 --> 00:05:21.700]   to get an extra 0 basis point.
[00:05:21.700 --> 00:05:26.020]   But now, if you have someone taking $10,000 a month out
[00:05:26.020 --> 00:05:28.260]   and you need to hold about $100,000
[00:05:28.260 --> 00:05:32.220]   of very liquid assets to meet that monthly withdrawal,
[00:05:32.220 --> 00:05:34.220]   it does make sense to manage that cash
