
[00:00:00.000 --> 00:00:09.640]   In the Bruce Effect, when you expose a pregnant mouse at an early critical stage of the pregnancy,
[00:00:09.640 --> 00:00:17.360]   I think up to about day three, if you expose the pregnant mouse to the order of what is
[00:00:17.360 --> 00:00:22.860]   referred to in technical terms as the non-stud male, that is a male who did not father the
[00:00:22.860 --> 00:00:29.300]   pregnancy, she will miscarry the pregnancy. She will abort it. Now, that's an insane decision
[00:00:29.300 --> 00:00:34.500]   made by the female here, right? Because she's invested quite a lot in this, right? In biological
[00:00:34.500 --> 00:00:41.120]   terms and in forming this pregnancy and maintaining it. And yet she drops it on the basis of an odor.
[00:00:41.120 --> 00:00:49.540]   And this effect is remarkably robust. And what do I mean by remarkably robust? So this will occur
[00:00:49.540 --> 00:00:55.620]   on about 80% of exposures. Now, as you know, 80% is 100% in biology, right? I mean,
[00:00:55.620 --> 00:01:04.660]   there's nothing that happens at more than 80%. So it's a remarkably robust effect, this dropping
[00:01:04.660 --> 00:01:08.740]   of the pregnancy. And we know it's mediated by chemo sensation through the nose.
[00:01:08.740 --> 00:01:14.580]   For sure. And we know in the following way. So first, it's enough to just bring the odor of the
[00:01:14.580 --> 00:01:19.460]   non-stud male. You don't have to bring the male himself, right? So you just can bring bedding from
[00:01:19.460 --> 00:01:25.380]   a non-stud male and that will induce the Bruce effect. But of course, the most telling set of
[00:01:25.380 --> 00:01:31.300]   experiments is that if in the female mouse, you ablate the vomeronasal organ, you just burn this
[00:01:31.300 --> 00:01:37.220]   tiny structure in the nose, and the effect disappears. So the effect is completely dependent on the former
[00:01:37.220 --> 00:01:44.980]   nasal organ. And I find this utterly a remarkable effect, right? I mean, because again, because of the
[00:01:44.980 --> 00:01:53.380]   extent of cost that the female takes on here, based on this information and smell.
[00:01:54.340 --> 00:02:02.420]   Now, humans, the sort of the going notion in olfaction is that humans don't have a functional
[00:02:02.420 --> 00:02:09.940]   vomeronasal organ. So we don't have that functional organ in our nose. Now I'll point out, we actually do
[00:02:09.940 --> 00:02:19.940]   have the pit. So the structure or the outlining structure is there. But the pit that we have is
[00:02:19.940 --> 00:02:27.220]   considered vestigial and non-functional. And what about this thing I learned about at Berkeley in
[00:02:27.220 --> 00:02:33.300]   integrative biology class that we have something called Jacobson's organ? This is the same organ.
[00:02:33.300 --> 00:02:42.500]   So Jacobson organs is the vomeronasal organ. It's also called Jacobson because I think Jacobson was a
[00:02:42.500 --> 00:02:51.220]   military physician in like the 1800s in Holland or something. And he found it in a soldier he was
[00:02:51.220 --> 00:02:56.820]   operating on or something like that. But the story comes from something like that. But the Jacobson
[00:02:56.820 --> 00:03:02.340]   organ is another name for the vomeronasal organ. These are one in the same, the sensory organ of the
[00:03:02.340 --> 00:03:09.540]   accessory olfactory system. And again, the going notion is that the human Jacobson organ or vomeronasal organ
[00:03:09.540 --> 00:03:14.580]   is vestigial. It's non-functional. Does that necessarily mean that we don't have these pheromone
[00:03:14.580 --> 00:03:19.860]   effects? No, it does not. So first of all, we know that lots of what are considered pheromonal effects,
[00:03:19.860 --> 00:03:24.260]   namely social chemo signaling in rodents, are mediated by the main olfactory system. We know that for sure.
[00:03:24.260 --> 00:03:31.220]   There are several examples for this in mice and rats and rabbits and so on and so forth. So A,
[00:03:31.380 --> 00:03:38.180]   these can be mediated by the main olfactory system. And I'll come back to that in a second. But first to
[00:03:38.180 --> 00:03:49.620]   finish the Bruce effect. And second, and I'm going out on a limb here, but I'm willing to take that risk.
[00:03:50.980 --> 00:03:59.300]   For me, the jury is still out on human vomeronasal organ. The decision or the notion
