
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:11.640]   - Welcome back to another episode of Curious Mike.
[00:00:11.640 --> 00:00:13.740]   I'm here with my guy, A.G.
[00:00:13.740 --> 00:00:17.840]   A.K.A. one time champion, A.K.A. Tarzan.
[00:00:17.840 --> 00:00:19.920]   (laughing)
[00:00:19.920 --> 00:00:22.680]   Man, so I want to start off like in the hoop space
[00:00:22.680 --> 00:00:24.680]   and then we'll kind of transition to off the court stuff.
[00:00:24.680 --> 00:00:29.200]   But you came to Denver, I want to say two, three years ago,
[00:00:29.200 --> 00:00:31.080]   probably three years ago now.
[00:00:31.080 --> 00:00:32.200]   You came from Orlando.
[00:00:32.200 --> 00:00:33.120]   - It's gone quick.
[00:00:33.120 --> 00:00:34.760]   - Yeah, it really has.
[00:00:34.760 --> 00:00:37.200]   What was the difference to you from, you know,
[00:00:37.200 --> 00:00:38.440]   hooping in Orlando?
[00:00:38.440 --> 00:00:39.520]   We've talked about it a little bit,
[00:00:39.520 --> 00:00:40.960]   but like now playing in Denver,
[00:00:40.960 --> 00:00:42.320]   playing for a winning team,
[00:00:42.320 --> 00:00:44.280]   competing for a championship and all that.
[00:00:44.280 --> 00:00:46.400]   - Man, it was felt, it felt like,
[00:00:46.400 --> 00:00:50.780]   well the spacing on the floor was way different.
[00:00:50.780 --> 00:00:55.780]   Like being able to play between you, Jamal and Joker.
[00:00:55.780 --> 00:00:58.560]   - Yeah.
[00:00:58.560 --> 00:01:01.440]   - And like people have forgot about me.
[00:01:01.440 --> 00:01:02.360]   You know what I mean?
[00:01:02.360 --> 00:01:03.880]   Which is cool, yeah.
[00:01:03.880 --> 00:01:05.560]   So like I'm just getting in where I fit in.
[00:01:05.560 --> 00:01:07.120]   I'm getting easy layups.
[00:01:07.120 --> 00:01:08.600]   Everything that I got in Orlando,
[00:01:08.600 --> 00:01:10.280]   it was like, yo, that was tough.
[00:01:10.280 --> 00:01:11.120]   - That's a tough bucket.
[00:01:11.120 --> 00:01:11.940]   - Tough bucket.
