
[00:00:00.000 --> 00:00:06.120]   Welcome back everyone.
[00:00:06.120 --> 00:00:08.040]   This is part three in our series on
[00:00:08.040 --> 00:00:10.440]   advanced behavioral testing for NLU.
[00:00:10.440 --> 00:00:13.040]   Our focus is the principle of compositionality.
[00:00:13.040 --> 00:00:15.260]   This is a principle that is important to me as
[00:00:15.260 --> 00:00:18.480]   a linguistic semanticist and it's also arguably
[00:00:18.480 --> 00:00:21.480]   a prerequisite for understanding the goals of
[00:00:21.480 --> 00:00:23.120]   COGs and re-COGs which are
[00:00:23.120 --> 00:00:26.260]   compositional generalization benchmarks.
[00:00:26.260 --> 00:00:28.800]   Let's start with an informal statement of
[00:00:28.800 --> 00:00:30.540]   the compositionality principle.
[00:00:30.540 --> 00:00:33.880]   It says, "The meaning of a phrase is a function of
[00:00:33.880 --> 00:00:36.720]   the meanings of its immediate syntactic constituents
[00:00:36.720 --> 00:00:38.800]   and the way they are combined."
[00:00:38.800 --> 00:00:42.000]   That's the principle. Let's unpack it by way of an example.
[00:00:42.000 --> 00:00:44.800]   I have a simple syntactic structure here,
[00:00:44.800 --> 00:00:48.040]   a full sentence, "Every student admired the idea."
[00:00:48.040 --> 00:00:50.960]   The compositionality principle says that the meaning of
[00:00:50.960 --> 00:00:53.880]   this S node for sentence here is fully
[00:00:53.880 --> 00:00:56.880]   determined by the meaning of its two constituent parts,
[00:00:56.880 --> 00:00:59.040]   NP and VP.
[00:00:59.040 --> 00:01:01.760]   You can see that this implies a recursive process.
[00:01:01.760 --> 00:01:03.080]   What is the meaning for the NP?
[00:01:03.080 --> 00:01:05.780]   Well, that is fully determined by the meanings of
[00:01:05.780 --> 00:01:10.480]   this debt for determiner node and this N for noun node.
[00:01:10.480 --> 00:01:13.240]   The meanings of those are easy to see.
[00:01:13.240 --> 00:01:15.080]   Those are fully determined by their parts,
[00:01:15.080 --> 00:01:16.880]   which there's just one part for each,
[00:01:16.880 --> 00:01:18.480]   and those are lexical items.
[00:01:18.480 --> 00:01:21.340]   That's where this recursive process grounds out.
[00:01:21.340 --> 00:01:24.340]   The intuition is that you just have to learn
[00:01:24.340 --> 00:01:27.400]   all the lexical items of the languages that you speak.
[00:01:27.400 --> 00:01:28.940]   Having done that and having
[00:01:28.940 --> 00:01:30.920]   figured out how they combine with each other,
[00:01:30.920 --> 00:01:33.800]   you have a recursive process that allows you to combine
[00:01:33.800 --> 00:01:35.200]   things in new ways and
[00:01:35.200 --> 00:01:37.860]   understand novel combinations of these elements.
[00:01:37.860 --> 00:01:39.620]   The compositionality is saying that you have
[00:01:39.620 --> 00:01:41.940]   guarantee there because the meaning of
[00:01:41.940 --> 00:01:43.980]   the whole will be a function of
