
[00:00:00.000 --> 00:00:04.080]   [Silence]
[00:00:04.080 --> 00:00:07.600]   Discovery of lithium as a treatment for bipolar disorder
[00:00:07.600 --> 00:00:09.400]   is truly a miraculous story
[00:00:09.400 --> 00:00:10.980]   that I think everyone should know.
[00:00:10.980 --> 00:00:14.840]   The key player in this story is a physician
[00:00:14.840 --> 00:00:16.000]   by the last name Cade.
[00:00:16.000 --> 00:00:18.320]   He was an Australian physician
[00:00:18.320 --> 00:00:21.640]   and Cade has a very interesting story in his own right.
[00:00:21.640 --> 00:00:23.520]   Cade was an Australian psychiatrist
[00:00:23.520 --> 00:00:28.240]   or Australian psychiatrist who also was a soldier.
[00:00:28.240 --> 00:00:30.720]   And during World War II,
[00:00:30.720 --> 00:00:32.560]   after the fall of Singapore to Japan,
[00:00:32.560 --> 00:00:34.760]   he became a prisoner of war
[00:00:34.760 --> 00:00:39.000]   and he was a prisoner of war from 1942 until 1945.
[00:00:39.000 --> 00:00:41.240]   So he had some time for observation
[00:00:41.240 --> 00:00:42.920]   and during his imprisonment,
[00:00:42.920 --> 00:00:45.160]   he observed some of his fellow inmates
[00:00:45.160 --> 00:00:48.020]   as going through pretty wild vacillations
[00:00:48.020 --> 00:00:49.680]   in mood and energy,
[00:00:49.680 --> 00:00:52.960]   essentially going from manic episodes to depressed episodes
[00:00:52.960 --> 00:00:55.240]   or from manic to normal episodes.
[00:00:55.240 --> 00:00:58.320]   And for one reason or another,
[00:00:58.320 --> 00:00:59.240]   we don't know why,
[00:00:59.240 --> 00:01:00.520]   because I couldn't find any report
[00:01:00.520 --> 00:01:02.480]   as to why he hypothesized this,
[00:01:02.480 --> 00:01:05.060]   but he hypothesized that there was some buildup
[00:01:05.060 --> 00:01:08.840]   of some chemical in these people's brains
[00:01:08.840 --> 00:01:11.440]   that then they would urinate out
[00:01:11.440 --> 00:01:15.960]   and that urinating out of whatever chemical was in there
[00:01:15.960 --> 00:01:19.040]   would allow them to be more relaxed and not manic.
[00:01:19.040 --> 00:01:21.320]   In other words, Cade hypothesized
[00:01:21.320 --> 00:01:22.680]   that there's a buildup of a chemical
[00:01:22.680 --> 00:01:24.680]   in certain people's brains that makes them manic
[00:01:24.680 --> 00:01:27.080]   and they urinate that chemical out.
[00:01:27.080 --> 00:01:30.560]   So eventually he got out of this prison,
[00:01:30.560 --> 00:01:32.500]   as we mentioned, in 1945,
[00:01:32.500 --> 00:01:34.400]   and he started doing experiments
[00:01:34.400 --> 00:01:37.320]   in addition to seeing patients in his clinic.
[00:01:37.320 --> 00:01:39.520]   And what he did is he started to take urine
[00:01:39.520 --> 00:01:42.000]   from people who exhibited mania
[00:01:42.000 --> 00:01:44.440]   and urine from people who were not manic.
[00:01:44.440 --> 00:01:46.920]   And he took that urine and he would inject it
[00:01:46.920 --> 00:01:49.880]   into guinea pigs as an experimental model.
[00:01:49.880 --> 00:01:52.440]   And his general observation
[00:01:52.440 --> 00:01:54.920]   was that there was something in the urine
[00:01:54.920 --> 00:01:58.600]   that was indeed making the guinea pigs more manic
[00:01:58.600 --> 00:02:03.120]   if they were injected with urine from a manic patient.
[00:02:03.120 --> 00:02:04.840]   The exact measures that he was taking
[00:02:04.840 --> 00:02:06.720]   in these guinea pigs wasn't exactly clear.
[00:02:06.720 --> 00:02:09.620]   This is at a time or an era in science
[00:02:09.620 --> 00:02:11.700]   when you could just sort of report things
[00:02:11.700 --> 00:02:13.160]   a little bit more subjectively,
