
[00:00:00.000 --> 00:00:10.700]   All right, hello, and welcome to episode one of the official unofficial Act 2 Network podcast.
[00:00:10.700 --> 00:00:11.420]   My name is Steven.
[00:00:11.420 --> 00:00:12.040]   I'm Isaiah.
[00:00:12.040 --> 00:00:14.840]   And we are excited to relaunch.
[00:00:14.840 --> 00:00:15.440]   Well, I'm excited.
[00:00:15.440 --> 00:00:16.440]   I don't know if Isaiah is excited.
[00:00:16.440 --> 00:00:18.200]   I'm down.
[00:00:18.200 --> 00:00:23.360]   We are, whether we're excited or not, rebooting the podcast.
[00:00:24.680 --> 00:00:35.620]   And we're rebooting the podcast because as we grow, as our network scales, it is quite difficult to keep track of everything that's going on, even through all the different ways we try to update each other.
[00:00:35.620 --> 00:00:38.620]   And so we want to tell stories of what God is doing at our church.
[00:00:38.620 --> 00:00:40.700]   And there's so many neat things that are happening.
[00:00:40.700 --> 00:00:42.760]   There's so many behind the scenes sort of stuff.
[00:00:42.760 --> 00:00:47.500]   There's ministry partners that come in and help and that we get to do really cool things with.
[00:00:47.500 --> 00:00:49.920]   And so we want to talk about those things and feature those things.
[00:00:50.260 --> 00:01:00.980]   Yeah, so for this first episode, we thought it might be good to just talk a little bit about what is the Act 2 Network and why do we change our name?
[00:01:00.980 --> 00:01:02.400]   Does that mean anything?
[00:01:02.400 --> 00:01:06.920]   What about this new mission statement, which I think was kind of a big deal?
[00:01:06.920 --> 00:01:11.700]   Quite a few things have changed since our last podcast.
[00:01:11.700 --> 00:01:14.120]   And so we just want to kind of frame everything.
[00:01:14.120 --> 00:01:15.860]   So how should we do this?
[00:01:16.420 --> 00:01:19.280]   Well, maybe, maybe, Stephen, you can explain.
[00:01:19.280 --> 00:01:26.160]   Well, how would you explain to somebody either who's been in our network or our church for a while or someone new to it?
[00:01:26.160 --> 00:01:30.820]   Like, why did we make this move to change our name to Act 2 Network?
[00:01:30.820 --> 00:01:32.660]   So we're Grace Point, now we're Act 2 Network.
[00:01:32.660 --> 00:01:34.340]   Like, what's the difference?
[00:01:34.340 --> 00:01:36.280]   Yeah, that's a great question.
[00:01:36.280 --> 00:01:38.280]   Thank you for making me answer it.
[00:01:40.500 --> 00:01:44.520]   I think I would say it really represents a new phase of our church.
[00:01:44.520 --> 00:01:47.620]   So, I mean, I'm using the word church, right?
[00:01:47.620 --> 00:01:53.060]   So we're so used to using that word to describe who we are, and I think that's still a good thing.
[00:01:53.060 --> 00:01:55.180]   But there's a way in which that doesn't quite fit anymore.
[00:01:55.180 --> 00:01:58.080]   So Grace Point used to be, like, this church in, like, Berkeley.
[00:01:58.360 --> 00:02:07.280]   And as we planted churches and, you know, we're at 30-plus campuses, 70-plus campuses, we're still calling ourselves church, Grace Point.
[00:02:07.280 --> 00:02:10.540]   And there's people in our network who have never been in Berkeley, right?
[00:02:10.540 --> 00:02:15.380]   They're growing up, and the way that they know our church is their local ministry.
[00:02:15.380 --> 00:02:23.940]   And so we're in a wide variety of contexts, a diversity of ministries and teams and things like that.
[00:02:23.940 --> 00:02:27.440]   And we're in kind of a new phase now, right?
[00:02:27.440 --> 00:02:34.120]   We hope that those relational bonds, you know, and we think those racial bonds need to continue to stay tight and strong.
[00:02:34.120 --> 00:02:41.640]   But, yeah, I think we're in a phase where, because of that scale and diversity, some things need to change, you know?
[00:02:41.640 --> 00:02:48.180]   And now we're on, what, 70-plus campuses, eight countries.
[00:02:48.180 --> 00:02:49.360]   Like, it's huge.
[00:02:49.360 --> 00:02:55.120]   And so network, at least that word, just seems to fit better for the reality that we're in.
[00:02:55.120 --> 00:03:02.180]   Yeah, and then better to change the name when things are still tight and close instead of, like, when people are feeling like,
[00:03:03.060 --> 00:03:05.520]   Oh, I don't really know you anymore, and then change the name, and then it's kind of sad.
[00:03:05.520 --> 00:03:16.500]   Yeah, and I think one thing that we also wanted to, as my understanding, at least, is one thing that we wanted to do is to give people kind of a clearer,
[00:03:16.500 --> 00:03:20.160]   maybe, like, a more accurate picture of, like, what sort of thing we are.
[00:03:20.160 --> 00:03:23.940]   So, I mean, like, I think biblically speaking, like, we are a church.
[00:03:23.940 --> 00:03:32.000]   Like, I would say, like, a lot of groups that call themselves, like, parachurches or missions organizations, like, I don't know,
[00:03:32.000 --> 00:03:36.100]   if you look at the way it kind of worked in the Bible, like, I do think those things are churches, and I think that's true of us, too.
[00:03:36.100 --> 00:03:42.980]   Yeah, but I also think, so, yeah, I mean, technically we are a church, but I also know that when people use the word church,
[00:03:42.980 --> 00:03:49.460]   they have a certain expectation of, like, what that's going to look like, and often kind of the way we are doesn't quite fit into that.
[00:03:49.460 --> 00:03:59.680]   So, I think we also wanted to sort of capture who we are and, like, that difference a little bit, that, no, we are, we're not just a typical local church.
[00:03:59.680 --> 00:04:09.100]   We're a network, and in a way, we're something closer to, like, a missions organization or a word we've tossed around is, like, an order, which sounds a little weird.
[00:04:09.100 --> 00:04:09.960]   I don't really like that word.
[00:04:10.060 --> 00:04:11.780]   Yeah, I'm not a big fan of the word, but I think it kind of...
[00:04:11.780 --> 00:04:15.800]   But order in the sense of, like, a priestly or, like, the monks, like, a monastic order.
[00:04:15.800 --> 00:04:19.840]   Yeah, so we're not just, you know, a place that sets up and invites people to come in.
[00:04:19.840 --> 00:04:20.840]   We're a little more than that.
[00:04:20.900 --> 00:04:41.120]   Like, our motto is, hey, we are now launching lifelong kingdom workers for every college town, and so what we're about is saying, hey, come into this place not just to, you know, absorb a message or sit through a service, but really, if you're joining us, we want the understanding to be that, hey, our whole thing is we're going to turn you into a lifelong kingdom worker.
[00:04:41.120 --> 00:04:50.300]   And we recognize it's not for everybody, you know, and that's not what a lot of people are looking for in a church, and that's fine, and we don't want to denigrate people who don't want to join or other churches who work differently from us.
[00:04:50.300 --> 00:05:06.440]   But we feel like that's sort of the mission that God has called us to, to take people and say, hey, if you really want to be discipled in this way of becoming a lifelong kingdom worker, kind of, you know, in, I guess, the Acts 2 Network fashion, you know, then we have something really robust for you.
[00:05:06.440 --> 00:05:11.820]   But if not, you know, that's okay, and we want you to know, like, you know, there are plenty of other good churches out there and that sort of thing.
[00:05:11.820 --> 00:05:19.600]   Yeah, yeah, and so, like, I think even a lot of our local ministries have kind of rebranded themselves as college church, right?
[00:05:19.700 --> 00:05:26.840]   And even that, like, that intentional decision is so that, you know, church, like, you think of families, you think of, like, you know, that sort of thing.
[00:05:26.840 --> 00:05:29.860]   But we're unique in that we target campuses, college campuses, right?
[00:05:29.860 --> 00:05:34.580]   And so it is strange, like, someone steps in and, like, oh, this church is all college students.
[00:05:34.580 --> 00:05:35.900]   That's very atypical, right?
[00:05:35.900 --> 00:05:38.780]   So just trying to signal that through the word, like, college church.
[00:05:38.780 --> 00:05:43.000]   And so, yeah, we're trying to be more upfront with who we are and bring that clarity.
[00:05:44.440 --> 00:05:48.240]   One phrase that keeps standing out to me from this whole time has been, clarity is kindness, right?
[00:05:48.240 --> 00:06:01.900]   So trying to be more clear about who we are, even though there is a part of me that wants to, like, fight that battle to, like, reclaim the word church, to, like, make it mean what it actually means and change expectations.
[00:06:02.260 --> 00:06:05.820]   But, you know, yeah, that's a whole other podcast topic.
[00:06:06.180 --> 00:06:12.860]   And so it is, so I think our new slogan, right, launching lifelong kingdom workers from every college town.
[00:06:12.860 --> 00:06:16.640]   It used to be the next church in every college town.
[00:06:16.640 --> 00:06:19.100]   And that felt tough to leave that behind.
[00:06:19.100 --> 00:06:25.620]   I feel like that was, I think we all thought, like, we were going to be pursuing that mission until the day we die.
[00:06:25.620 --> 00:06:26.700]   Or when Jesus comes back.
[00:06:26.700 --> 00:06:27.140]   Yeah.
[00:06:27.140 --> 00:06:30.680]   And it's like, oh, are we even, who are we now?
[00:06:30.680 --> 00:06:32.880]   Now that we've moved on from that motto.
[00:06:32.880 --> 00:06:41.260]   But I don't know, maybe, maybe, Steven, you can kind of share some insights into, like, what went into the thinking behind that and how we decided to kind of switch and why.
[00:06:41.260 --> 00:06:41.660]   Yeah.
[00:06:41.660 --> 00:06:47.740]   Well, like, before jumping into that, like, Axe 2 Network, like, we felt Axe 2, there were a lot of terrible names.
