
[00:00:00.000 --> 00:00:12.320]   all right welcome to the unofficial official grace this is the other way around i get it
[00:00:12.320 --> 00:00:16.440]   mixed up every time the official unofficial grace point podcast where we talk about all
[00:00:16.440 --> 00:00:20.340]   things grace point the good the bad and the ugly and today we're gonna be continuing in
[00:00:20.340 --> 00:00:25.980]   our series atypical church and we got we got this is gonna be fun it's gonna be fun episode
[00:00:25.980 --> 00:00:30.200]   it's our first time having guests so we're pretty excited um so i'll intro them a little bit and then
[00:00:30.200 --> 00:00:36.320]   ask them to tell us about themselves a little bit so uh we have with us pastor will and rick from um
[00:00:36.320 --> 00:00:40.380]   pastor will it leads our college ministry in the dmv area and rick leads our college ministry
[00:00:40.380 --> 00:00:46.620]   in the socal area and um we have a lot of history together steven was with rick for like
[00:00:46.620 --> 00:00:54.540]   like your whole life pretty much yeah that's what it feels like you are our class baby yeah yeah i was
[00:00:54.540 --> 00:01:00.220]   okay we were me as they were born the year that rick went to went to college entered college and
[00:01:00.220 --> 00:01:05.500]   pastor will was already in college at that time so if that tells you a little bit about his age uh
[00:01:05.500 --> 00:01:10.060]   pastor will and i we got history too because pastor will led the youth group when i was in it that was
[00:01:10.060 --> 00:01:15.340]   like way back in the day um and i was actually supposed to be in a2f it's a little known thing i
[00:01:15.340 --> 00:01:19.340]   was supposed to be in a2f oh you were remember because you started recruiting me oh yeah from when
[00:01:19.340 --> 00:01:23.020]   i was like a junior in high school and i didn't know what these groups were so i was gonna join
[00:01:23.020 --> 00:01:27.900]   a2f and then choice of a life stuff happened another thing that i still haven't forgiven you
[00:01:27.900 --> 00:01:30.940]   for yeah because then we would have been together that would have been neat yeah because you were on
[00:01:30.940 --> 00:01:36.860]   a2f yeah yeah yeah yeah and then next year kairos and then that's when rick and i oh man and it was
[00:01:36.860 --> 00:01:42.860]   like 12 years 10 10 pretty much you were with like i was with rick like under rick in some
[00:01:42.860 --> 00:01:47.340]   form for like 12 years yeah except for like one semester so i'm gonna ask them to just tell us a
[00:01:47.340 --> 00:01:52.300]   little bit about themselves tell us a little about you guys for um for everyone listening so can you just
[00:01:52.300 --> 00:01:59.500]   start off with um your graduating class and your major and a little bit like a two sentence like
[00:01:59.500 --> 00:02:03.260]   your spiritual background and how you came to because we're a college ministry we do everything
[00:02:03.260 --> 00:02:08.460]   by graduating class yeah that's just how we do it so yeah mandatory questions how about pastor will yeah
[00:02:08.460 --> 00:02:14.060]   yeah sure yeah i'll start off um i graduated college in 1991 and i studied economics and after
[00:02:14.060 --> 00:02:22.860]   that i worked in um the consulting field for about 10 years um married to esther had two kids uh they're
[00:02:22.860 --> 00:02:29.740]   all grown up and so um yeah just really thankful for that my spiritual journey was um i grew up in
[00:02:29.740 --> 00:02:35.980]   a non-christian family but my dad became a christian when i was when i was 12 years old so it became we
[00:02:35.980 --> 00:02:43.660]   became a church going family after that um i accepted christ at my youth group in um with my family
[00:02:44.220 --> 00:02:48.540]   but then i slowly started to fall away because there were a lot of apologetics questions about
[00:02:48.540 --> 00:02:54.860]   science and faith that i just couldn't get answered yeah so i left that thinking okay i'll come back to
[00:02:54.860 --> 00:03:01.580]   religion later uh but for the time being just wanted to pursue just my dreams academic ambitions for
[00:03:01.580 --> 00:03:08.780]   about uh you know for the next 20 30 40 50 years and then when i'm getting ready i'll see god but um when i
[00:03:08.780 --> 00:03:14.780]   got to college i i had everything that i wanted but by the time i was a junior in college i started to
[00:03:14.780 --> 00:03:19.980]   ask those questions again why am i working so hard what's the purpose of life and that's when i met
[00:03:19.980 --> 00:03:25.180]   your dad isaiah and then um asked him a bunch of questions and uh started coming to our church
[00:03:25.180 --> 00:03:30.140]   the rest is history there's a funny story of like when you first came to our church and there's like
[00:03:30.140 --> 00:03:34.220]   people and people knew you yeah yeah so they're surprised this yeah yeah yeah wait wait oh yeah
[00:03:34.220 --> 00:03:42.540]   so i came junior right but i was a frat boy and i had you were a lambda no no i know i was a pineapple
[00:03:42.540 --> 00:03:49.020]   you're a pineapple yeah yeah yeah yeah yeah so it's a little different full-on motorcycles well yeah yeah
[00:03:49.020 --> 00:03:53.580]   yeah yeah they're they're different and i have my opinions but you know okay that's for another podcast i
