
[00:00:00.040 --> 00:00:09.520]   err
[00:00:09.520 --> 00:00:11.040]   ad ad,,,
[00:00:11.040 --> 00:00:26.040]   select le
[00:01:24.180 --> 00:01:24.240]   I'm not good when you can't remember the name of your own courses.
[00:01:24.240 --> 00:01:24.320]   I'm not good when you can't remember the name of your own courses.
[00:01:24.320 --> 00:01:24.380]   I'm not good when you can't remember the name of your own courses.
[00:01:24.380 --> 00:01:24.420]   I'm not good when you can't remember the name of your own courses.
[00:01:24.420 --> 00:01:24.460]   I'm not good when you can't remember the name of your own courses.
[00:01:24.460 --> 00:01:24.580]   I'm not good when you can't remember the name of your own courses.
[00:01:24.580 --> 00:01:25.480]   I'm not good when you can't remember the name of your own courses.
[00:01:25.480 --> 00:01:25.540]   I'm not good when you can't remember the name of your own courses.
[00:01:25.540 --> 00:01:25.600]   I'm not good when you can't remember the name of your own courses.
[00:01:25.600 --> 00:01:25.660]   I'm not good when you can't remember the name of your own courses.
[00:01:25.660 --> 00:01:25.740]   I'm not good when you can't remember the name of your own courses.
[00:01:25.740 --> 00:01:25.820]   I'm not good when you can't remember the name of your own courses.
[00:01:55.200 --> 00:01:55.240]  obedience.com/today-at-home.com.
[00:01:55.240 --> 00:01:55.280]   I'm not good when you can't remember the name of your own courses.
[00:01:55.280 --> 00:01:55.320]   I'm not good when you can't remember the name of your own courses.
[00:01:55.320 --> 00:01:55.360]   I'm not good when you can't remember the name of your own courses.
[00:01:55.360 --> 00:01:55.400]   I'm not good when you can't remember the name of your own courses.
[00:01:55.400 --> 00:01:55.440]   I'm not good when you can't remember the name of your own courses.
[00:01:55.440 --> 00:01:55.480]   I'm not good when you can't remember the name of your own courses.
[00:01:55.480 --> 00:01:55.500]   I'm not good when you can't remember the name of your own courses.
[00:01:55.500 --> 00:01:55.520]   I'm not good when you can't remember the name of your own courses.
[00:01:55.520 --> 00:01:55.540]   I'm not good when you can't remember the name of your own courses.
[00:01:55.540 --> 00:01:55.560]   I'm not good when you can't remember the name of your own courses.
[00:01:55.560 --> 00:01:55.580]   I'm not good when you can't remember the name of your own courses.
[00:01:55.580 --> 00:02:25.360]   I'm not good when you can't remember the name of your own courses.
[00:02:25.360 --> 00:02:25.380]   I'm not good when you can't remember the name of your own courses.
[00:02:25.380 --> 00:02:25.420]   I'm not good when you can't remember the name of your own courses.
[00:02:25.420 --> 00:02:25.440]   I'm not good when you can't remember the name of your own courses.
[00:02:25.440 --> 00:02:25.460]   I'm not good when you can't remember the name of your own courses.
[00:02:25.460 --> 00:02:25.560]   I'm not good when you can't remember the name of your own courses.
[00:02:25.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.580 --> 00:02:55.580]   I'm not good when you can't remember the name of your own courses.
[00:02:55.620 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.600 --> 00:03:25.600]   I'm not good when you can't remember the name of your own courses.
[00:03:25.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.620 --> 00:03:55.620]   I'm not good when you can't remember the name of your own courses.
[00:03:55.660 --> 00:04:25.640]  ,
[00:04:25.640 --> 00:04:25.640]   I'm not good when you can't remember the name of your own courses.
[00:04:25.640 --> 00:04:25.640]   I'm not good when you can't remember the name of your own courses.
[00:04:25.640 --> 00:04:25.640]   I'm not good when you can't remember the name of your own courses.
[00:04:25.640 --> 00:04:25.640]   I'm not good when you can't remember the name of your own courses.
[00:04:25.640 --> 00:04:25.640]   I'm not good when you can't remember the name of your own courses.
[00:04:25.640 --> 00:04:25.640]   I'm not good when you can't remember the name of your own courses.
[00:04:25.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.660 --> 00:04:55.660]   I'm not good when you can't remember the name of your own courses.
[00:04:55.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.680 --> 00:05:25.680]   I'm not good when you can't remember the name of your own courses.
[00:05:25.720 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.700 --> 00:05:55.700]   I'm not good when you can't remember the name of your own courses.
[00:05:55.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.720 --> 00:06:25.720]   I'm not good when you can't remember the name of your own courses.
[00:06:25.760 --> 00:06:55.740]  ,
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.740 --> 00:06:55.740]   I'm not good when you can't remember the name of your own courses.
[00:06:55.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:25.760]   I'm not good when you can't remember the name of your own courses.
[00:07:25.760 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.780 --> 00:07:55.780]   I'm not good when you can't remember the name of your own courses.
[00:07:55.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:25.800 --> 00:08:25.800]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:08:55.820 --> 00:08:55.820]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:25.840]   I'm not good when you can't remember the name of your own courses.
[00:09:25.840 --> 00:09:55.860]   I'm not good when you can't remember the name of your own courses.
[00:09:55.860 --> 00:09:55.860]   I'm not good when you can't remember the name of your own courses.
[00:09:55.860 --> 00:09:55.860]   I'm not good when you can't remember the name of your own courses.
[00:09:55.860 --> 00:09:55.860]   I'm not good when you can't remember the name of your own courses.
[00:09:55.860 --> 00:09:55.860]   I'm not good when you can't remember the name of your own courses.
[00:09:55.860 --> 00:09:55.860]   I'm not good when you can't remember the name of your own courses.
[00:09:55.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.880 --> 00:10:25.880]   I'm not good when you can't remember the name of your own courses.
[00:10:25.920 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.900 --> 00:10:55.900]   I'm not good when you can't remember the name of your own courses.
[00:10:55.920 --> 00:11:25.920]   I'm not good when you can't remember the name of your own courses.
[00:11:25.920 --> 00:11:25.920]   I'm not good when you can't remember the name of your own courses.
[00:11:25.920 --> 00:11:25.920]   I'm not good when you can't remember the name of your own courses.
[00:11:25.920 --> 00:11:25.920]   I'm not good when you can't remember the name of your own courses.
[00:11:25.920 --> 00:11:25.920]   I'm not good when you can't remember the name of your own courses.
