
[00:00:00.000 --> 00:00:17.100]   All right let's get started. Hi everyone, thanks for coming. I'm Pablo I work in the
[00:00:17.100 --> 00:00:23.240]   Azure AI team at Microsoft and in this session we'll talk about RAG at scale
[00:00:23.240 --> 00:00:29.720]   and in particular I'll focus on the retrieval portion of the RAG pattern. So
[00:00:29.720 --> 00:00:33.320]   plan for the session is we'll do a quick recap just make sure that we all have
[00:00:33.320 --> 00:00:37.820]   this we use the same terms for the same things and then I'll go through kind of
[00:00:37.820 --> 00:00:42.400]   different dimensions of scale and I'll comment a little bit on how do we tackle
[00:00:42.400 --> 00:00:46.160]   this in the context of AI search what we've learned from doing this and what
[00:00:46.160 --> 00:00:53.840]   are we doing to make it easier to scale these applications. So kind of as a by
[00:00:53.840 --> 00:00:59.440]   means of a quick recap when it comes to bringing your own domain knowledge to
[00:00:59.440 --> 00:01:03.040]   to work together with with language models you effectively you have three
[00:01:03.040 --> 00:01:08.800]   options either you you can do prompt engineering and you know while it's easy
[00:01:08.800 --> 00:01:13.120]   to dismiss you can go a long way with prompt engineering along especially these
[00:01:13.120 --> 00:01:18.040]   days you know models have longer longer context and whatnot. If that's not enough
[00:01:18.040 --> 00:01:22.660]   sometimes the challenge is more along the lines of I want to teach particular
[00:01:22.660 --> 00:01:27.040]   patterns of or I want the model to learn jargon of some in some particular vertical
[00:01:27.040 --> 00:01:30.640]   domain and things like that and for that fine-tuning is often a good option
[00:01:30.640 --> 00:01:36.400]   however in many many of these cases what I want is to have the model work over a set
[00:01:36.400 --> 00:01:40.320]   of data that the model didn't see during training. This could be my application data
[00:01:40.320 --> 00:01:45.360]   my company data company information about my users or anything like that and for that
[00:01:45.360 --> 00:01:52.720]   the prevailing pattern right now is to use retrieval augmented generation. Effectively what that means
[00:01:52.720 --> 00:01:58.080]   is if what if you want the model to know facts then what you do is you kind of separate the reasoning
[00:01:58.080 --> 00:02:02.880]   piece of the picture from the knowledge piece of the picture you lean on the language model for the
[00:02:02.880 --> 00:02:08.800]   reasoning capabilities and you use an external knowledge base to model what you know about a particular
[00:02:08.800 --> 00:02:13.440]   domain the data that you have and you and the way you glue them together is like in principle
[00:02:13.440 --> 00:02:17.600]   mechanically very simple of course then it gets complicated because you know life is never that
[00:02:17.600 --> 00:02:24.080]   easy but in principle you have some orchestration component that you know takes the task at hand
[00:02:24.080 --> 00:02:28.320]   let's say you have a chat application and then the user takes a turn and asks the next question
[00:02:28.320 --> 00:02:35.040]   the orchestration component hits some knowledge base seeking for pieces of information that could
[00:02:35.040 --> 00:02:40.160]   be used to produce an answer to this question and then grabs a bunch of candidates and then you go to
[00:02:40.160 --> 00:02:45.360]   the language model and then give it a bunch of instructions your candidates and ask the model to
[00:02:45.360 --> 00:02:51.600]   produce like an answer to the to the user question that's kind of the essence of the pattern we all know
[00:02:51.600 --> 00:02:56.160]   that in practice it usually takes multiple goals and there's a lot of tuning in the middle and whatnot
[00:02:56.160 --> 00:03:03.440]   but the fundamentals boil down to that so just by way of context like how many of you are doing are
[00:03:03.440 --> 00:03:10.480]   creating and working on right applications today everyone okay excellent um so with that backdrop
[00:03:10.480 --> 00:03:16.160]   what i wanted to do is talk about what are the pressure points when it when you scale these applications
[00:03:16.160 --> 00:03:21.520]   what one thing that has been fascinating to see is you know we had we had the opportunity to be
[00:03:21.520 --> 00:03:26.880]   involved in this space uh from very early like azure open ai has been there from you know the early days of
[00:03:26.880 --> 00:03:33.840]   scaled language models and one thing we saw was all of i'd say last year 2023 everybody built a prototype
[00:03:33.840 --> 00:03:39.760]   of something to kind of learn and figure out what could be done with this technology um and uh the
[00:03:39.760 --> 00:03:45.040]   interesting shift to this year to 2024 it's been these applications are going to production and when you
[00:03:45.040 --> 00:03:49.760]   go to production you go from oh this demo is really cool to all these users are you know are using it at the
[00:03:49.760 --> 00:03:57.040]   the same time and they want more they want more data they want more faster answers and whatnot um so
[00:03:57.040 --> 00:04:03.280]   the result of that is that you know when before we could focus only on figuring out the interaction
[00:04:03.280 --> 00:04:07.760]   model and the applicability of this technology now you know elements of scale also also play a role
[00:04:07.760 --> 00:04:14.720]   and scale can takes multiple kind of flavors like you these things things tend to scale in volume because
[00:04:14.720 --> 00:04:19.040]   one of the things that happens is when your application works well users come back or the leadership of the
[00:04:19.040 --> 00:04:23.600]   organization come back comes back and says let's put all the data there and then you have to deal with
[00:04:23.600 --> 00:04:29.840]   it um uh also the rate of change of the data kind of increases uh and the query load increases as
[00:04:29.840 --> 00:04:35.120]   well because you know more people are using the stuff um also workflows tend to get more complicated
[00:04:35.120 --> 00:04:40.240]   at first you go like oh like how complicated it can be i'll take the question search the thing and then
[00:04:40.240 --> 00:04:45.200]   send it to the model well it turns out that that sometimes it works but often it doesn't so you end up
[00:04:45.200 --> 00:04:49.680]   doing this multi-step workflows that hit the retrieval system and the language model multiple times
[00:04:49.680 --> 00:04:56.480]   um and that taxes all the systems and they all have to scale also in in the kind of in the spirit of
