
[00:00:00.000 --> 00:00:04.400]   Everyone says to max out your retirement accounts, but is that always the best move?
[00:00:04.400 --> 00:00:09.140]   Today I sit down with financial planning expert Michael Kitsis to challenge the traditional advice
[00:00:09.140 --> 00:00:13.980]   and explore why your saving strategy might be holding you back. We cover smarter ways to grow
[00:00:13.980 --> 00:00:17.620]   your wealth, how to think more intentionally about where your money's going, how to access
[00:00:17.620 --> 00:00:22.500]   your retirement accounts early, how to avoid unnecessary taxes, and what people miss when
[00:00:22.500 --> 00:00:27.320]   planning for flexibility or even early retirement. I'm Chris Hutchins. If you enjoy this episode and
[00:00:27.320 --> 00:00:30.920]   want to keep upgrading your life, money and travel, click follow or subscribe.
[00:00:30.920 --> 00:00:36.200]   Michael, everyone says to max out your retirement accounts, but do you think that could actually be
[00:00:36.200 --> 00:00:44.540]   bad advice sometimes? I tend to start from like one step back, which is to say, not just where am I
[00:00:44.540 --> 00:00:49.580]   saving the money, but effectively, what is the opportunity cost of the money? What else can I do
[00:00:49.580 --> 00:00:55.340]   with the money? It's like, okay, I can save in my retirement account. I can put the money aside for
[00:00:55.340 --> 00:01:00.900]   potential to start a new business someday because if I actually go and launch a business someday that is
[00:01:00.900 --> 00:01:05.100]   successful, that is very challenging. A lot of people fail. It helps to have a little bit of a
[00:01:05.100 --> 00:01:10.120]   financial cushion to fail, but a lot of wealth building comes from successfully creating a business,
[00:01:10.120 --> 00:01:15.900]   which I ain't ever going to do unless I have dollars available to do it, which is difficult to
[00:01:15.900 --> 00:01:21.420]   draw out of a retirement account. Or I can do this to go get some class training, certification,
[00:01:21.660 --> 00:01:27.220]   designation, whatever it is in my profession of choice that maybe gets me a little raise. That
[00:01:27.220 --> 00:01:34.420]   if I'm in my twenties is a raise I get as like a new baseline salary for 40 years from here. I mean,
[00:01:34.420 --> 00:01:39.860]   even if I'm in my thirties or forties, like I could have a good 20 something years left in my career.
[00:01:40.220 --> 00:01:47.780]   And I find a lot of us just we drastically underestimate the impact that comes from
[00:01:47.780 --> 00:01:53.420]   taking our savings and trying to use it to advance our career, as opposed to taking our savings and just
[00:01:53.420 --> 00:02:00.780]   kind of yanking it out of my career and putting it in the future retirement savings box. So if I take two
[00:02:00.780 --> 00:02:09.340]   grand and I go get some certification and whatever my profession of choice is, and my boss says,
[00:02:09.340 --> 00:02:13.540]   cool, you finished it. You're probably a little more competitive in the marketplace. We want to retain
[00:02:13.540 --> 00:02:18.340]   you. Like, here's a thousand dollar raise. We're fairly low stakes here. You didn't even get your
[00:02:18.340 --> 00:02:23.220]   money back in a raise yet. Like you're two grand out of pocket. And they gave you a thousand dollar
[00:02:23.220 --> 00:02:28.900]   raise. It's like, well, okay. But for most of us in our careers, salary I earn here is also the salary
[00:02:28.900 --> 00:02:34.300]   base from which I negotiate for my next job. So this not always, but often is like kind of the new
[00:02:34.300 --> 00:02:40.100]   baseline of my income for life, like for a trajectory from here, take another thousand dollars of income,
[00:02:40.100 --> 00:02:47.120]   make that for the next 40 years. That's 40 grand. If I put $2,000 in my IRA, that's two grand. Now,
[00:02:47.120 --> 00:02:53.360]   if I grow two grand by about, you know, like 8% balanced portfolio for the long-term, two grand
[00:02:53.360 --> 00:02:58.880]   actually will grow to 40 grand over about 40 years. If you get long-term rates of return,
