
[00:00:00.000 --> 00:00:05.400]   [BLANK_AUDIO]
[00:00:05.400 --> 00:00:11.480]   Today I'm delighted to introduce as our final guest speaker, Bean Kim.
[00:00:11.480 --> 00:00:15.760]   Bean Kim is a staff research scientist at Google Brain.
[00:00:15.760 --> 00:00:19.480]   If you're really into Googleology, those funny words at the beginning,
[00:00:19.480 --> 00:00:22.480]   like staff, sort of says how senior you are.
[00:00:22.480 --> 00:00:25.280]   And that means that Bean's a good research scientist.
[00:00:25.280 --> 00:00:30.960]   [LAUGH] So I discovered at lunch today that Bean started out
[00:00:30.960 --> 00:00:36.520]   studying mechanical engineering at Seoul National University.
[00:00:36.520 --> 00:00:40.360]   But she moved on to, I don't know, it's better things or not.
[00:00:40.360 --> 00:00:46.000]   But she moved on to computer science and did her PhD at MIT.
[00:00:46.000 --> 00:00:49.120]   And there she started working on the interpretability and
[00:00:49.120 --> 00:00:52.480]   explainability of machine learning models.
[00:00:52.480 --> 00:00:56.680]   I think she'll be talking about some different parts of her work.
[00:00:56.680 --> 00:01:02.000]   But a theme that she's had in some of her recent work that I find especially
[00:01:02.000 --> 00:01:07.720]   appealing as an NLP person is the idea that we should be using
[00:01:07.720 --> 00:01:11.280]   higher level human interpretable languages for
[00:01:11.280 --> 00:01:15.200]   communication between people and machines.
[00:01:15.200 --> 00:01:20.160]   So welcome, Bean, looking forward to your talk, and go for it.
[00:01:20.160 --> 00:01:21.160]   >> Thank you.
[00:01:21.160 --> 00:01:25.240]   >> [APPLAUSE] >> Thank you.
[00:01:25.240 --> 00:01:26.760]   Thanks for having me.
[00:01:26.760 --> 00:01:28.720]   It's an honor to be here.
[00:01:28.720 --> 00:01:31.880]   It's the rainiest Stanford I've ever seen.
[00:01:31.880 --> 00:01:33.760]   Last night, I got here last night.
[00:01:33.760 --> 00:01:36.960]   But then I live in Seattle, so this is pretty common.
[00:01:36.960 --> 00:01:39.080]   So I still was able to see the blue sky today.
[00:01:39.080 --> 00:01:42.080]   I was like, this works, I really like it here.
[00:01:42.080 --> 00:01:45.120]   So today I'm going to share some of my dreams,
[00:01:45.120 --> 00:01:47.800]   chasing my dreams to communicate with machines.
[00:01:49.040 --> 00:01:53.240]   So if you're in this class, you probably agree, you don't have to,
[00:01:53.240 --> 00:01:57.480]   that large language models and generator models are pretty cool.
[00:01:57.480 --> 00:01:59.040]   They're impressive.
[00:01:59.040 --> 00:02:01.920]   But you may also agree that they're a little bit frightening.
[00:02:01.920 --> 00:02:07.120]   Not just because they're impressive, they're doing a really good job, but
[00:02:07.120 --> 00:02:12.040]   also we're not quite sure where we're going with this technology.
[00:02:12.040 --> 00:02:17.160]   In 10 years out, will we look back and say, that technology was net positive?
[00:02:17.160 --> 00:02:21.280]   Or we will say, that was catastrophic, we didn't know that that would happen.
[00:02:21.280 --> 00:02:28.600]   Ultimately, what I would like to do, or maybe hopefully what we all want to do,
[00:02:28.600 --> 00:02:32.560]   is to have this technology benefit us, humans.
[00:02:32.560 --> 00:02:36.440]   I know in 10 years time, or maybe, well, 20 years or earlier,
[00:02:36.440 --> 00:02:41.320]   he's gonna ask me, he's gonna be like, mom, did you work on this AI stuff?
[00:02:41.320 --> 00:02:42.680]   I watched some of your talks.
[00:02:43.680 --> 00:02:48.680]   And did you know that how this will profoundly change our lives?
