
[00:00:00.040 --> 00:00:09.300]   Raymond
[00:00:09.300 --> 00:00:10.860]   like,,, Ary
[00:00:10.860 --> 00:00:14.240]   end iī the next the space the work to lo
[00:00:24.540 --> 00:00:49.040]   and i'm going to be a little bit more
[00:00:49.040 --> 00:00:49.040]   and i'm going to be a little bit more
[00:00:49.040 --> 00:00:49.040]   and i'm going to be a little bit more of a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we host a live q a show just like the radio got open phone lines callers waiting on the line i open up the mic and we chat about any topic you desire
[00:00:49.040 --> 00:00:49.040]   of a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we host a live q a show just like the radio got open phone lines callers waiting on the line i open up the mic and we chat about any topic you desire
[00:00:49.040 --> 00:01:17.160]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we host a live q a show just like the radio got open phone lines callers waiting on the line i open up the mic and we chat about any topic you desire
[00:01:17.160 --> 00:01:18.920]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:01:18.920 --> 00:01:18.920]   rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:01:18.940 --> 00:01:48.800]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:01:49.800 --> 00:02:18.680]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:18.680 --> 00:02:18.680]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:18.680 --> 00:02:18.680]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:18.680 --> 00:02:18.680]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:18.720 --> 00:02:48.560]  , a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:48.560 --> 00:02:48.560]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:48.560 --> 00:02:48.560]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:02:48.580 --> 00:03:18.440]   I
[00:03:18.440 --> 00:03:18.440]   I
[00:03:18.440 --> 00:03:18.440]   I
[00:03:18.440 --> 00:03:18.440]   I
[00:03:18.440 --> 00:03:18.440]   I
[00:03:18.440 --> 00:03:18.440]   I
[00:03:18.440 --> 00:03:18.480]   I
[00:03:18.480 --> 00:03:18.500]   I
[00:03:18.500 --> 00:03:18.520]   I
[00:03:18.520 --> 00:03:18.540]   I
[00:03:18.540 --> 00:03:18.560]   I
[00:03:18.560 --> 00:03:18.580]   I
[00:03:18.580 --> 00:03:18.580]   I
[00:03:18.580 --> 00:03:18.580]   I
[00:03:18.580 --> 00:03:18.600]   I
[00:03:18.600 --> 00:03:18.600]   I
[00:03:18.600 --> 00:03:18.600]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:03:18.600 --> 00:03:18.600]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:03:18.600 --> 00:03:18.600]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:03:18.640 --> 00:03:48.620]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:03:48.620 --> 00:03:48.620]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:03:48.640 --> 00:04:18.640]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
