
[00:00:00.000 --> 00:00:09.380]   Hi, everybody. Welcome back to the Everyday Educator podcast. Today, I have Kevin with
[00:00:09.380 --> 00:00:14.320]   me. He is the founder of Biblingo, and I cannot wait for you guys to learn more about this
[00:00:14.320 --> 00:00:20.220]   resource and to dive deeper into the Word of God. So without any further ado, Kevin,
[00:00:20.220 --> 00:00:21.380]   welcome to the show.
[00:00:21.380 --> 00:00:23.700]   Thank you very much. Happy to be here, Jaleese.
[00:00:23.700 --> 00:00:28.260]   Well, I'm happy to have you. And I know I just asked you this question off air, but no
[00:00:28.260 --> 00:00:33.440]   one heard it but me. So will you briefly just introduce yourself to our listeners for people
[00:00:33.440 --> 00:00:37.880]   who maybe aren't familiar with you and your work, and especially for people who don't know
[00:00:37.880 --> 00:00:39.200]   anything about Biblingo?
[00:00:39.200 --> 00:00:47.000]   Yeah. So depending on what kind of answer you want, I'm several different things. I'm a dad
[00:00:47.000 --> 00:00:57.040]   of four with one on the way. And so I have Rhoda, who's the oldest, Olivia, six, Emmett is four,
[00:00:57.300 --> 00:01:07.120]   and then Amos is two. So I am an active homeschool parent. I do part of their homeschooling every
[00:01:07.120 --> 00:01:13.960]   morning for about an hour. So that's my, you know, family life, which takes up basically all
[00:01:13.960 --> 00:01:22.220]   of my life besides my Biblingo life. So Biblingo is a Greek and Hebrew, or it's a language learning
[00:01:22.220 --> 00:01:30.600]   software for biblical Greek and Hebrew. So I did my PhD in Israel at Hebrew University in Hebrew,
[00:01:30.600 --> 00:01:37.840]   and wanted to help at the time, especially Bible translators who are translating into another
[00:01:37.840 --> 00:01:45.640]   language, learn Greek and Hebrew, so they can better translate, but basically have found that it's
[00:01:45.640 --> 00:01:51.260]   applicable for anyone and everyone who wants you to learn these languages. So we're in about 70
[00:01:51.260 --> 00:01:56.420]   countries or so around the world, have lots of different people learning the languages through
[00:01:56.420 --> 00:01:57.020]   Biblingo.
[00:01:57.020 --> 00:02:05.080]   That is amazing. And as you know, most of our audience are homeschooling parents. It's so cool to hear that
