
[00:00:00.000 --> 00:00:21.220]   So Echo AI. So Echo AI is a bringing this like fundamental new technology into the world of
[00:00:21.220 --> 00:00:27.360]   customer support and customer facing teams. You've probably all seen this metaphor once before. You
[00:00:27.360 --> 00:00:31.680]   know, just the tip of the iceberg. There's so much that lies underneath. And this is especially true
[00:00:31.680 --> 00:00:36.680]   with companies that are dealing with exceptionally high volumes of customer interactions. So whether
[00:00:36.680 --> 00:00:41.820]   that be customer support or sales or customer success teams, any kind of conversation that
[00:00:41.820 --> 00:00:45.800]   you're having with your customers is an opportunity to learn more about your business and what your
[00:00:45.800 --> 00:00:50.700]   customers need from it. So, you know, at the surface, you probably get the signals around
[00:00:50.700 --> 00:00:56.580]   the things that are going wrong or the things that are just routine to kind of handle. And most
[00:00:56.580 --> 00:01:02.960]   enterprises have a good idea of the approximate kind of set of categories that they generally
[00:01:02.960 --> 00:01:08.080]   have to deal with on a normal basis. But there's just so much that lies underneath. And it's been
[00:01:08.080 --> 00:01:13.520]   virtually unlocked by just pure manpower that's required to look at these conversations.
[00:01:13.520 --> 00:01:20.160]   And there's this sort of cycle that happens with these types of companies. And, you know,
[00:01:20.160 --> 00:01:24.520]   everyone's kind of heard the startup mantra of just be obsessed about your customer, right?
[00:01:24.520 --> 00:01:29.680]   Just do everything you can to listen to the customer, understand them to the best possible degree
[00:01:29.680 --> 00:01:35.560]   you're capable of at your scale. But as you grow and you get bigger and you get more customers,
[00:01:35.560 --> 00:01:43.780]   a lot of that becomes this cycle that where you just like kind of lose touch with what they're
[00:01:43.780 --> 00:01:47.880]   saying, what they're telling you every day. And that only really comes with being successful,
[00:01:47.980 --> 00:01:54.360]   right? At like, you know, a meaningful or like a manageable size of customers, you can typically
[00:01:54.360 --> 00:01:59.800]   use either, you know, staff or your sales team, your customer support team to sort of derive those
[00:01:59.800 --> 00:02:06.480]   insights and better, you know, navigate your company towards greater revenue growth. But when you get too
[00:02:06.480 --> 00:02:10.540]   big to the point where that's like virtually impossible, just due to the scale of conversations
[00:02:10.540 --> 00:02:15.040]   that you have to deal with, there becomes this issue where you're just there's so much that is just
[00:02:15.140 --> 00:02:20.300]   happening right underneath you without your, your, your knowing. So the way we think about it,
[00:02:20.300 --> 00:02:27.520]   um, and this, the, the first three columns here are, are effectively what every enterprise, every, every
[00:02:27.520 --> 00:02:33.680]   company, a scale is trying to do where they do manual reviews. So they do these like small sample sizes. They try
[00:02:33.680 --> 00:02:39.740]   to collect, I don't know, 5% of the conversations. They run through an evaluation of it to check for, you know,
[00:02:39.740 --> 00:02:44.900]   maybe certain compliance things like how well did the agent handle it? Or perhaps is there any sort of
[00:02:44.900 --> 00:02:51.900]   common subjects or, or, um, themes in these conversations? At the end of the day, you're just sampling and, and it's,
[00:02:51.900 --> 00:02:56.900]   leaves everyone unhappy at the end of the day. They understand that it's not a very, uh, kind of accurate process.
[00:02:56.900 --> 00:03:02.060]   So then you like involve engineers and you start building these scripts. You start doing retroactive analysis. You pull
[00:03:02.060 --> 00:03:08.060]   this data from all the different systems that your, your customers are interacting with you on and you're, you know,
[00:03:08.060 --> 00:03:19.220]   doing these like kind of long form analysis and you're, you're ultimately, um, that, that, that can typically like derive insights that you know that you want to track in a forward moving time.
[00:03:19.220 --> 00:03:29.220]   So then you like move into this situation where you start building software to, to look for very specific things in every single conversation and everything's just so retroactive.
[00:03:29.220 --> 00:03:42.220]   Like everything is after the fact, it's already after fires had formed. You, you have no sense of where the smoke is and that's where generative AI, sorry, generative AI can come in and really transform this process because generative AI
[00:03:42.220 --> 00:03:56.220]   unlocks this, this amazing capability of 100% coverage. So now rather than doing that sampling or just like looking for the things that you know to look for, you can use generative AI to surface all the things that you didn't know to look for and look at everything all at once.
[00:03:56.220 --> 00:04:21.220]   So here, here's a great example. This is just a small interaction between some random, uh, you know, agent that's handling a chat from one of their customers. And in this one message that comes from the customer, you're able to find things like, why is this customer talking to me? That'd be your intent. Uh, you know, what are the aspects of our business that are, that are really kind of at the root of this? So, you know, routers and it was broken on delivery. So maybe you have a supply chain issue.
[00:04:21.220 --> 00:04:31.220]   You've got the basics things like sentiment, understanding, like not only the sentiment of your customers, but also the sentiment of your, your, your representatives, which is, you know, maybe more important.
[00:04:31.220 --> 00:04:46.220]   Uh, and then at the end of the day, with each of these messages, you can effectively extract so much more and so much depth that's ever been available to, to pull from just a single conversation. And that's what our, our, our, our platform seeks to provide.
[00:04:46.220 --> 00:04:58.220]   Here's a great example from one of our customers. Uh, uh, we don't have to read this, but, uh, wine enthusiasts, they, they, they shipped a new unit as a brand new, uh, uh, version of their, they, they, they, they sell like really high end wine refrigerators.
[00:04:58.220 --> 00:05:06.220]   So, um, their customers are, are spending a lot of money. It's a, it's a very special relationship that they have with the customers. They want those customers to buy more fridges.
[00:05:06.220 --> 00:05:26.220]   Uh, these customers are retail locations. So, uh, one of the, the, the, the insights we were able to surface for them was, uh, you know, uh, a defect in their manufacturing process. Uh, something that, uh, you know, could have gone on for weeks and weeks and weeks and become a much bigger problem versus what our, our, our platform was able to surface in real time.
[00:05:26.220 --> 00:05:35.220]   So yeah, how, how does this all work? Uh, it all really starts with gathering all of those conversations. This is kind of like non AI boring stuff.
[00:05:35.220 --> 00:05:46.220]   We're like connecting to a bunch of different like contact systems, ticket systems and so forth. Uh, we pull that in, we normalize it. We, we make it super clean, uh, ready to go and compress to, to pass it into LL prompts.
[00:05:46.220 --> 00:05:55.220]   Uh, to pass it into LL prompts. And then we have dozens of these pipelines that are assessing these conversations in, in a variety of different ways, all of which are configurable by the user.
[00:05:55.220 --> 00:06:02.220]   So the user, the customer can come in, they can tell us like what they care about, what they, what they're looking for, and they'll actually work with us to write these prompts.
[00:06:02.220 --> 00:06:07.220]   And eventually they write the prompts themselves and manage it over time.
