
[00:00:00.040 --> 00:00:09.300]   Til
[00:00:09.300 --> 00:00:10.860]   talk. I innings
[00:00:10.860 --> 00:00:12.140]   10
[00:00:28.600 --> 00:00:40.260]   in
[00:00:40.260 --> 00:00:56.620]   hurt. I think. I have,orn, CSS,  lead the r participated the check theühr the05 the superpower the coun Bur The Mad If YouZZ леж� �cers reasoningachu while más thoughли Doll Под follow JMC my rivals in church about anunci
[00:00:56.720 --> 00:01:10.760]   the amount of money that we borrow each year to fund our collective promises and the increasing ever increasing federal debt.
[00:01:10.760 --> 00:01:24.840]   Now this is of course a common theme on Radical Personal Finance. I've discussed this many times over the last five years of the show and today is no different. I have nothing as much has changed.
[00:01:24.840 --> 00:01:24.840]   However, I find it fascinating to look at what is not happening right now, which is why I'm reprising the title of this video.
[00:01:24.840 --> 00:01:52.980]  , because I want to prove a point to you, namely, that no one is willing to even talk about spending less money. And if that is true, then why should we expect the future to be anything different? I'm especially interested in this with discussions of the recent Green New Deal legislation or proposed legislation, which has all the political power right now in the world of politics.
[00:01:52.980 --> 00:01:52.980]   It's quite the interesting conversation. I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   But I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   But I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   But I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   I think it's interesting to look at this and see what happens.
[00:01:52.980 --> 00:01:52.980]   I think it's interesting to look at this and see what happens.
[00:02:21.120 --> 00:02:21.120]   The first I want to first deal with a couple of big questions and there are two basic big questions that that are really.
[00:02:21.120 --> 00:02:21.120]   Rebuttals or people saying, oh, they're objections. And I want to deal with two objections. Number one, objection number one is federal borrowing is governmental borrowing a problem.
[00:02:21.120 --> 00:02:21.120]   Frequently when I do these shows, I've been asked a lot of questions about the government borrowing.
[00:02:21.120 --> 00:02:21.120]   I've been asked a lot of questions about the government borrowing a problem.
[00:02:21.120 --> 00:02:23.020]   Frequently when I do these shows, I've been asked a lot of questions about the government borrowing a problem.
[00:02:52.980 --> 00:03:22.900]   Frequently when I do these shows, I've been asked a lot of questions about the government borrowing a problem.
[00:03:22.900 --> 00:03:22.960]   Frequently when I do these shows, I've been asked a lot of questions about the government borrowing a problem.
[00:03:22.960 --> 00:03:23.000]   Frequently when I do these shows, I've been asked a lot of questions about the government borrowing a problem.
[00:03:23.000 --> 00:03:23.000]   After a recent discussion of this listener of mine sent me a I thought particularly cogent question. I share it with you as an interesting rebuttal to that objection. The question is this since it is believed that debt has no negative consequences and we can print our way out of any problem. What's the logical objection to a good debt?
[00:03:23.040 --> 00:03:33.280]   stomach
[00:03:33.280 --> 00:03:34.660]   is in
[00:03:34.660 --> 00:03:50.120]  isども used when don saw pass seek ho E TH E S E The C I the Hub the, I, I, and, and, and, and, and, and, and, and,� Maryland obrig countless shading. Then, самые, 100, a,�,,.,,,,.,,,,,,,,,,,,,,,,,, show decide to allow made a
[00:03:50.120 --> 00:03:51.520]   have Gig-- AND W miał--I check a
[00:03:52.300 --> 00:04:00.060]   pass
[00:04:00.060 --> 00:04:02.260]   just mean
[00:04:02.260 --> 00:04:16.360]   Hell " Per I at, and,,,,,, continue to довольно
[00:04:20.860 --> 00:04:35.120]   Those are the only three sources of government funds: taxation, borrowing, and inflation.
[00:04:35.120 --> 00:04:39.380]   Those are the only three levers that a politician has to push on.
[00:04:49.460 --> 00:04:56.440]   didnt
[00:04:56.440 --> 00:04:59.520]   in thehome
[00:04:59.520 --> 00:05:02.680]   conduct, ,,,,,
[00:05:02.680 --> 00:05:19.240]   полов
[00:05:19.480 --> 00:05:49.460]   rendition, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,
[00:05:49.460 --> 00:05:49.460]   We have a lot of people who are like that.
[00:05:49.460 --> 00:05:49.460]   The government always has the ability to print their money, print their money.
[00:05:49.460 --> 00:05:49.460]   The government always has the ability to print their money, print their money.
[00:05:49.460 --> 00:05:49.460]   The government always has the ability to print their money, print their money.
