
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:09.520]   Okay, well it's great to see so many people
[00:00:09.520 --> 00:00:12.640]   still hanging in here Sunday morning.
[00:00:12.640 --> 00:00:14.800]   I wanna give a special shout out
[00:00:14.800 --> 00:00:17.800]   to all of our first time Boglehead attendees.
[00:00:17.800 --> 00:00:21.160]   It's been so exciting to talk to so many of you
[00:00:21.160 --> 00:00:24.080]   over the last two days.
[00:00:24.080 --> 00:00:27.560]   I think the first timers, like all the rest of us,
[00:00:27.560 --> 00:00:30.840]   probably will go home feeling, I hope,
[00:00:30.840 --> 00:00:34.320]   that a lot of your core Boglehead principles
[00:00:34.320 --> 00:00:37.920]   have been reaffirmed and probably, hopefully,
[00:00:37.920 --> 00:00:40.920]   there are some things that you've been prompted
[00:00:40.920 --> 00:00:45.920]   to think about or question that maybe you hadn't focused on
[00:00:45.920 --> 00:00:47.800]   and probably a to-do list.
[00:00:47.800 --> 00:00:49.980]   I definitely have a to-do list.
[00:00:49.980 --> 00:00:52.760]   So I hope it's been a great experience for you.
[00:00:53.720 --> 00:00:57.600]   For this panel, we have another wonderful panel.
[00:00:57.600 --> 00:01:02.600]   I'm proud to have Christine Benz and Mike Piper
[00:01:02.600 --> 00:01:07.360]   and John Luskin to serve with them
[00:01:07.360 --> 00:01:09.300]   on the board of the Bogle Center.
[00:01:09.300 --> 00:01:13.600]   We're thrilled to have Carolyn McClanahan here
[00:01:13.600 --> 00:01:16.320]   for her first Bogleheads Conference
[00:01:16.320 --> 00:01:19.080]   and a special welcome to Harry Sitt,
[00:01:19.080 --> 00:01:22.380]   who is here for his first Bogleheads Conference.
[00:01:23.380 --> 00:01:28.380]   Harry runs the popular blog, The Finance Buff.
[00:01:28.380 --> 00:01:31.380]   He has written two books.
[00:01:31.380 --> 00:01:34.260]   He's been a speaker to our San Jose
[00:01:34.260 --> 00:01:37.680]   and Sacramento Bogleheads Chapters.
[00:01:37.680 --> 00:01:40.620]   As at the other session, so just going
[00:01:40.620 --> 00:01:43.460]   from your left to right, Mike Piper,
[00:01:43.460 --> 00:01:46.320]   Carolyn McClanahan, Christine Benz,
[00:01:46.320 --> 00:01:49.500]   Harry Sitt, and John Luskin.
[00:01:49.500 --> 00:01:52.500]   (audience applauds)
[00:01:52.500 --> 00:01:58.820]   As at our other sessions, we'll encourage you
[00:01:58.820 --> 00:02:01.860]   to put questions on cards.
[00:02:01.860 --> 00:02:04.980]   Alan Roth will be going around at some point.
[00:02:04.980 --> 00:02:06.700]   He's in the back.
[00:02:06.700 --> 00:02:09.180]   So we'd love to have your questions.
[00:02:09.180 --> 00:02:12.420]   So we're gonna talk about a variety
[00:02:12.420 --> 00:02:15.260]   of financial planning topics in this session,
[00:02:15.260 --> 00:02:17.860]   including planning for retirement.
[00:02:17.860 --> 00:02:19.660]   We'll talk some about lessons
[00:02:19.660 --> 00:02:23.720]   from Christine's wonderful new book, How to Retire.
[00:02:23.720 --> 00:02:27.620]   Before we get there, Carolyn, I wanna ask you
[00:02:27.620 --> 00:02:31.020]   about something you had said in preparing for this panel.
[00:02:31.020 --> 00:02:34.180]   You said you would, quote, "Love to talk about
[00:02:34.180 --> 00:02:38.100]   "how we need to quit this unhealthy focus on retirement."
[00:02:38.100 --> 00:02:39.300]   What do you mean by that?
[00:02:39.300 --> 00:02:40.380]   - Yeah, amen to that.
[00:02:40.380 --> 00:02:43.020]   You know, retirement was invented in the 1930s
[00:02:43.020 --> 00:02:44.980]   when Social Security came into being.
[00:02:44.980 --> 00:02:47.700]   They picked the age of 65 for retirement.
[00:02:47.700 --> 00:02:50.620]   Life expectancy at that time was 65.
[00:02:50.620 --> 00:02:54.980]   If you made it to 65, you had about a half a chance
[00:02:54.980 --> 00:02:56.460]   of living to 72.
[00:02:56.460 --> 00:02:59.080]   So people did not live very long in retirement.
[00:02:59.080 --> 00:03:01.520]   Most people died before retirement.
[00:03:01.520 --> 00:03:05.420]   And as an emergency room doctor, I saw a lot of bad things.
[00:03:05.420 --> 00:03:07.020]   You know, people die before their time
[00:03:07.020 --> 00:03:10.720]   or have just these horrible events or illnesses happen
[00:03:10.720 --> 00:03:13.660]   that forever change their trajectory of life.
[00:03:13.660 --> 00:03:16.460]   And I just think we're so messed up in this country
[00:03:16.460 --> 00:03:20.460]   about how hard we work for this endgame of retirement
[00:03:20.460 --> 00:03:22.860]   when we need to enjoy life along the way.
[00:03:22.860 --> 00:03:25.700]   And so in our practice, the number one question,
[00:03:25.700 --> 00:03:28.080]   I have a whole talk I do around this at conferences,
[00:03:28.080 --> 00:03:30.100]   it's called Are You Happy Now?
[00:03:30.100 --> 00:03:33.020]   And so the number one thing we do with clients
[00:03:33.020 --> 00:03:35.680]   is are you happy now, and if not, why?
[00:03:35.680 --> 00:03:38.220]   Kills me when I get somebody who's like 50
[00:03:38.220 --> 00:03:41.100]   and they say, "I hate my job, I wanna quit at 55."
[00:03:41.100 --> 00:03:42.940]   Well, that's the wrong goal, you know,
[00:03:42.940 --> 00:03:45.660]   'cause work gives a sense of purpose.
[00:03:45.660 --> 00:03:48.480]   You're not meant to live on your money for 30 years
[00:03:48.480 --> 00:03:52.220]   without, and give up your safest asset,
[00:03:52.220 --> 00:03:54.100]   both psychologically and financially,
[00:03:54.100 --> 00:03:55.260]   and that's your human capital,
[00:03:55.260 --> 00:03:57.720]   your ability to contribute to society.
[00:03:57.720 --> 00:04:00.720]   So we focus on trying to get people to work less
[00:04:00.720 --> 00:04:04.740]   when they're young and enjoy life more along the way
[00:04:04.740 --> 00:04:06.460]   and plan on working longer
[00:04:06.460 --> 00:04:09.560]   so you have that psychological and financial safety,
[00:04:09.560 --> 00:04:12.620]   but plus it also helps reduce your risk of dementia
[00:04:12.620 --> 00:04:16.060]   and cognitive decline as you age.
[00:04:16.060 --> 00:04:18.360]   - I just wanna follow up on that,
[00:04:18.360 --> 00:04:19.700]   and so it's funny that you're saying
[00:04:19.700 --> 00:04:21.380]   we talk too much about retirement,
[00:04:21.380 --> 00:04:23.020]   I just finished a book on retirement.
[00:04:23.020 --> 00:04:25.540]   (all laughing)
[00:04:25.540 --> 00:04:27.060]   But I could not agree more.
[00:04:27.060 --> 00:04:29.820]   In fact, in the book, Laura Karstensen,
