
[00:00:00.000 --> 00:00:03.000]   Ready to meet stylish shoes that are also comfortable?
[00:00:03.000 --> 00:00:08.000]   Say hello to Rothy's, the sustainable shoe brand that proves looking great can feel great too.
[00:00:08.000 --> 00:00:14.000]   New styles feature their InLove insole for extra cushion, arch support, and all-day wearability.
[00:00:14.000 --> 00:00:17.000]   Check it out in the Point 2 and update to their best-selling flat.
[00:00:17.000 --> 00:00:21.000]   Or try the Almond Loafer or the brand new Ballet Flat.
[00:00:21.000 --> 00:00:25.000]   With so many styles to choose from, there are endless ways to wear Rothy's.
[00:00:25.000 --> 00:00:30.000]   Get $20 off your first purchase at rothys.com/perfect.
[00:00:30.000 --> 00:00:33.000]   It's Friday. That means live Q&A.
[00:00:33.000 --> 00:00:53.000]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight,
[00:00:53.000 --> 00:00:56.000]   and encouragement you need to live a rich and meaningful life now,
[00:00:56.000 --> 00:00:59.000]   while building a plan for financial freedom in 10 years or less.
[00:00:59.000 --> 00:01:01.000]   My name is Joshua. I am your host.
[00:01:01.000 --> 00:01:04.000]   And today is Friday, July 3, 2020.
[00:01:04.000 --> 00:01:08.000]   And every Friday when I can arrange the technology to do so, we record a live Q&A show.
[00:01:08.000 --> 00:01:12.000]   And that is what we've got up today. I've got four callers on the line.
[00:01:12.000 --> 00:01:14.000]   Live Q&A, just like talk radio. Let's go.
[00:01:21.000 --> 00:01:25.000]   I love doing these shows. It gives me a chance to go to the phone lines, hear from you.
[00:01:25.000 --> 00:01:28.000]   If you would like to join me for one of these shows, I would welcome your participation.
[00:01:28.000 --> 00:01:31.000]   You can call in every Friday. You can ask a question.
[00:01:31.000 --> 00:01:36.000]   You can talk about a situation in your life or any random thing that you want to talk about with me.
[00:01:36.000 --> 00:01:39.000]   It can be comments on the show. It can be questions. It can be anything that you would like to do.
[00:01:39.000 --> 00:01:45.000]   If you'd like to gain access to these shows, please sign up to support the show on Patreon, patreon.com/radicalpersonalfinance.
[00:01:45.000 --> 00:01:47.000]   Just go to Patreon, search "Radical Personal Finance." You'll find the page.
[00:01:47.000 --> 00:01:53.000]   And if you sign up to support the show on Patreon, you will be able to gain access to these Friday Q&A shows.
[00:01:53.000 --> 00:01:59.000]   Let's go to Austin in Louisiana. Austin, welcome to the show. How can I serve you today, sir?
[00:01:59.000 --> 00:02:05.000]   Hi, Joshua. I'm calling today because I've been listening to the show for a while.
[00:02:05.000 --> 00:02:11.000]   And it kind of brought about some, I guess, some thought shifts for me.
[00:02:11.000 --> 00:02:15.000]   And I'm also about to experience some major transitions in my life.
[00:02:15.000 --> 00:02:21.000]   And so I kind of have some questions around the idea of privacy and asset protection.
[00:02:21.000 --> 00:02:28.000]   I'm in a position now where I'm starting to build a small real estate business for myself.
[00:02:28.000 --> 00:02:39.000]   And I'm also in the position where I'm about to inherit a large property that's going to essentially triple my net worth once that's in my possession.
[00:02:39.000 --> 00:02:48.000]   And so my question is really about steps to take in terms of protecting privacy when having a lot of new income coming in, as well as creating a business,
[00:02:48.000 --> 00:02:59.000]   as well as protecting the assets that I've worked hard to accumulate at this point as I move forward with creating this business and with this kind of windfall coming in.
[00:02:59.000 --> 00:03:02.000]   What's going to be the nature of the business?
[00:03:02.000 --> 00:03:06.000]   Mainly rental real estate, single families, small multi-family.
[00:03:06.000 --> 00:03:12.000]   Are you going to be working as a property manager or are you just going to be running your own properties?
[00:03:12.000 --> 00:03:15.000]   So I'll be just running my own properties.
