
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:00:03.000 --> 00:00:07.000]   Take on more adventure in the strong and capable Chevy Silverado.
[00:00:07.000 --> 00:00:09.000]   More confidence in the Chevy Equinox.
[00:00:09.000 --> 00:00:14.000]   Winner of the J.D. Power Award for initial quality among compact SUVs two years running.
[00:00:14.000 --> 00:00:19.000]   And more value in the all-new Chevy Trax with an available 11-inch diagonal touchscreen.
[00:00:19.000 --> 00:00:21.000]   Bring the holidays together in a new Chevy.
[00:00:21.000 --> 00:00:23.000]   Click to learn more.
[00:00:23.000 --> 00:00:25.000]   Chevrolet. Together, let's drive.
[00:00:25.000 --> 00:00:30.000]   For J.D. Power 2023 U.S. Initial Quality Study Award information, visit JDPower.com/awards.
[00:00:30.000 --> 00:00:38.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:00:38.000 --> 00:00:42.000]   while building a plan for financial freedom in 10 years or less.
[00:00:42.000 --> 00:00:44.000]   My name is Joshua Sheets. I am your host.
[00:00:44.000 --> 00:00:52.000]   Today on the show, I want to share with you why I was wrong about Bitcoin.
[00:00:52.000 --> 00:01:06.000]   Bitcoin has been a subject that I've probably rather obviously avoided here on Radical Personal Finance.
[00:01:06.000 --> 00:01:09.000]   It was not my intention to avoid this subject.
[00:01:09.000 --> 00:01:18.000]   After all, in some ways, I'm the kind of person who is very well suited to be a Bitcoin enthusiast.
[00:01:18.000 --> 00:01:28.000]   What is more radical in personal finance than pursuing new forms of monetary value, new markets, etc.?
[00:01:28.000 --> 00:01:31.000]   But it's something that I have generally avoided.
[00:01:31.000 --> 00:01:35.000]   I've answered a few questions here and there when people call in with Q&A shows.
[00:01:35.000 --> 00:01:37.000]   And there's a reason for that.
[00:01:37.000 --> 00:01:44.000]   And I want to articulate that reason for you, partly for my own personal accountability.
[00:01:44.000 --> 00:01:57.000]   I believe that it's very important for me to be honest with you, but partly because I'm seeking to learn the lessons from my mistakes so that I don't repeat them in the future.
[00:01:57.000 --> 00:02:03.000]   I genuinely believe that sometimes you win and sometimes you learn.
[00:02:03.000 --> 00:02:05.000]   I genuinely believe that.
[00:02:05.000 --> 00:02:16.000]   I do not believe that there is any shame in being wrong, which is a little bit ironic as I elaborate on why I was wrong about Bitcoin.
[00:02:16.000 --> 00:02:20.000]   I don't believe there's any shame in being wrong.
[00:02:20.000 --> 00:02:31.000]   However, if you're going to gain the most value from your mistakes, it's good to analyze them and try to figure out why you were wrong.
[00:02:31.000 --> 00:02:39.000]   So whenever you're wrong about something, try to pause for a moment and figure out why was I wrong?
[00:02:39.000 --> 00:02:40.000]   Why did I get that wrong?
[00:02:40.000 --> 00:02:43.000]   Why did I miss that?
[00:02:43.000 --> 00:02:57.000]   And then, hopefully, the next time either the same circumstances present themselves or what's more likely a set of rhyming circumstances present themselves, you'll be ready to notice the patterns.
[00:02:57.000 --> 00:03:04.000]   You'll be able to identify the errors that you previously committed and keep yourself from committing those errors again.
[00:03:04.000 --> 00:03:07.000]   So let's talk about Bitcoin.
[00:03:07.000 --> 00:03:36.000]   The reason I have often avoided talking about Bitcoin is that I'm not able to articulate firmly, clearly, and comprehensively how Bitcoin works, what Bitcoin or any cryptocurrency is, and give good arguments and reasons for my own predictions in the marketplace.
[00:03:36.000 --> 00:03:46.000]   Put simply, the reason that I have been wrong about Bitcoin is that I have been scared to be wrong publicly.
[00:03:46.000 --> 00:04:00.000]   I take a great deal of pride, personal pride, and care with trying to get as close to being right on as many things as possible as I'm capable of being.
[00:04:00.000 --> 00:04:06.000]   And so I try not to simply shoot off my mouth without thought, without research, etc.
[00:04:06.000 --> 00:04:18.000]   And the whole phenomenon of cryptocurrencies generally, Bitcoin specifically, etc., is one that has been hard for me to trace.
[00:04:18.000 --> 00:04:20.000]   And so I've pulled back.
[00:04:20.000 --> 00:04:22.000]   I've hesitated.
[00:04:22.000 --> 00:04:31.000]   I've hesitated in my own personal involvement in the marketplace, and I've hesitated to talk about it publicly.
[00:04:31.000 --> 00:04:43.000]   But I realized something this past weekend that has really impacted my thinking the more that I personally consider it.
