
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:02.800]   It's Sam from Financial Samurai.
[00:00:02.800 --> 00:00:07.300]   And in this episode, I want to talk about taking action in this bear market.
[00:00:07.300 --> 00:00:11.680]   Because in the previous episode, I talked about how to buy treasury bonds.
[00:00:11.680 --> 00:00:16.420]   So in Financial Samurai fashion, it's good to learn how, and then it's actually good
[00:00:16.420 --> 00:00:17.420]   to take action.
[00:00:17.420 --> 00:00:21.880]   Otherwise, you're just learning for learning's sake, and nothing's ever going to change,
[00:00:21.880 --> 00:00:24.760]   or nothing is ever going to happen.
[00:00:24.760 --> 00:00:27.320]   So right now, we are back to bear markets.
[00:00:27.320 --> 00:00:30.520]   S&P 500 is down about 25%.
[00:00:30.520 --> 00:00:37.120]   And I remember-- this is interesting-- I remember back in 2009, it was much worse then.
[00:00:37.120 --> 00:00:38.120]   It was pretty scary.
[00:00:38.120 --> 00:00:41.640]   We had like a 50% drawdown in the S&P 500.
[00:00:41.640 --> 00:00:45.520]   And I started buying five-year CDs.
[00:00:45.520 --> 00:00:48.000]   And why did I buy five-year CDs?
[00:00:48.000 --> 00:00:49.120]   To lock up my money.
[00:00:49.120 --> 00:00:53.160]   Well, it was because friends left and right were getting laid off.
[00:00:53.160 --> 00:00:55.880]   I thought there was a good chance that I might get laid off.
[00:00:55.880 --> 00:00:59.860]   So I was thinking to myself, hmm, I better start saving aggressively.
[00:00:59.860 --> 00:01:04.520]   And CDs at the time, five-year CDs, were yielding over 4%.
[00:01:04.520 --> 00:01:05.820]   So is this deja vu?
[00:01:05.820 --> 00:01:10.440]   Because US treasuries are yielding over 4%, or at least they were.
[00:01:10.440 --> 00:01:16.680]   But you can still see some durations, like five-year treasury notes yielding over 4%.
[00:01:16.680 --> 00:01:24.440]   And so I have been buying three-year, two-year, one-year, nine-month treasuries, because they're
[00:01:24.440 --> 00:01:31.440]   all yielding over 4%, 4.18% to 4.45%.
[00:01:31.440 --> 00:01:38.440]   And what I remember about the global financial crisis is that when my CDs came due in 2012
[00:01:38.440 --> 00:01:41.720]   and 2013, I staggered them.
[00:01:41.720 --> 00:01:42.720]   But they were five years.
[00:01:42.720 --> 00:01:46.200]   I think I might have bought a seven-year once.
[00:01:46.200 --> 00:01:50.040]   But I was like, wow, I should have just bought stocks, because the stock market had roared
[00:01:50.040 --> 00:01:52.920]   back after five to seven years.
[00:01:52.920 --> 00:01:58.040]   So I say there's a good chance the stock market will roar back in five to seven years.
[00:01:58.040 --> 00:02:00.640]   And it's almost like deja vu.
[00:02:00.640 --> 00:02:07.320]   Do I want to make that same mistake and invest so heavily into risk-free assets?
[00:02:07.320 --> 00:02:11.520]   This is something that you and I have to think about on our own.
[00:02:11.520 --> 00:02:18.080]   And my answer is I am going to invest about 60% of my cash hoard into US treasuries.
[00:02:18.080 --> 00:02:22.040]   And this time, I'm going to stagger them, not all five-year and seven-year.
[00:02:22.040 --> 00:02:27.960]   I'm going to stagger them to three-month, nine-month, one-year, two-year, and three-year.
[00:02:27.960 --> 00:02:30.880]   Three-month treasury bills are only yielding about 3.5%.
[00:02:30.880 --> 00:02:36.000]   So you're not getting the 4.45% as you could with a three-year.
[00:02:36.000 --> 00:02:38.520]   But you get that money back in three months.
[00:02:38.520 --> 00:02:42.220]   And it's nice to always feel liquid during times of uncertainty.
[00:02:42.220 --> 00:02:48.000]   It always feels off, folks, to deploy your capital during a bear market.
[00:02:48.000 --> 00:02:53.040]   It's a natural instinct to hold onto certainty, to hold onto what you have.
[00:02:53.040 --> 00:02:58.320]   But US treasuries, as you listened in my previous episode, are risk-free investments, especially
[00:02:58.320 --> 00:03:00.700]   if you invest on the short end of the curve.
[00:03:00.700 --> 00:03:06.720]   So I would utilize, at least take advantage of these higher rates for the cash that you
[00:03:06.720 --> 00:03:10.700]   plan to sit in your bank account and protect you from emergencies anyway.
[00:03:10.700 --> 00:03:16.120]   Because after three months or nine months or six months, you're going to be liquid on
