
[00:00:00.000 --> 00:00:11.520]   all right everyone welcome to the grace point what is this the official unofficial grace point
[00:00:11.520 --> 00:00:18.080]   podcast i have bad host this is a show where we talk about all things grace point the good
[00:00:18.080 --> 00:00:24.480]   the bad the ugly and today we are going to talk about the question why the hate why the hate why
[00:00:24.480 --> 00:00:30.800]   the hate so let's start yeah so i think isaiah why do you hate me we're not we're not talking about that
[00:00:30.800 --> 00:00:39.200]   here we can talk about that later outside the um i i think one thing that a lot of people whether that
[00:00:39.200 --> 00:00:43.760]   be our people or um i don't know people who are checking out our church for the first time and
[00:00:43.760 --> 00:00:48.000]   searching on us google us on google um one of the first questions i think a lot of people have is
[00:00:48.000 --> 00:00:54.320]   whoa this church has a lot of just hate online and a lot a lot of a lot of bad press yep and
[00:00:54.320 --> 00:01:00.880]   why does a church of this size have just proportionally like so much about them yep
[00:01:00.880 --> 00:01:05.280]   and so we want to talk about that and i mean i don't know exactly um so obviously there's
[00:01:05.280 --> 00:01:10.480]   you know i've read through a lot of it personally um okay so i haven't read you haven't very much of
[00:01:10.480 --> 00:01:15.360]   it yeah i just choose not to yeah i i like it actually it's kind of it's kind of interesting
[00:01:15.360 --> 00:01:18.960]   um so i mean as i've read through a bunch of it um and so i mean so obviously this is sort of our
[00:01:18.960 --> 00:01:23.440]   take on it like we're not the authorities on this but i do feel like might be helpful just to talk about
[00:01:23.440 --> 00:01:30.000]   that and um yeah so basically what we're gonna do is we're going to talk about our top three yeah
[00:01:30.000 --> 00:01:33.920]   what are the top top three reasons top three we're gonna give our top three we're gonna talk about it
[00:01:33.920 --> 00:01:40.320]   um and see how this goes yeah so how about this well we'll go from three to two to one sure save
[00:01:40.320 --> 00:01:47.920]   the most important one for last um and we'll just count down say it at the same time and see if we get
[00:01:47.920 --> 00:01:52.320]   the same things okay okay all right this is mind meld okay okay you count you can't okay all right
[00:01:52.320 --> 00:02:00.560]   one two three conservative korean culture oh okay very different okay how about you go first all right
[00:02:00.560 --> 00:02:05.440]   well yeah i mean i think one of the reasons why we get a lot of hate is because we're big target right so
[00:02:05.440 --> 00:02:10.400]   you said about like it's like disproportionate right um and i think to agree that's true it's it's sort of like
[00:02:10.400 --> 00:02:17.360]   i i you know like let's say you're you're a newcomer at like you know coming to one of our newer churches
[00:02:17.360 --> 00:02:23.360]   a church plant and it looks really small you you look us up online and it's like what is this torrential
[00:02:23.360 --> 00:02:28.160]   like outpouring of stuff right that is true but the thing is is like yeah maybe that person thinks like
[00:02:28.160 --> 00:02:33.680]   we're just one small new church of like 30 but the reality is that we're on like it's like 70 campuses
[00:02:33.680 --> 00:02:40.400]   now or something like that yeah so so it's really strange we we have the feel of a small family church
[00:02:40.400 --> 00:02:47.280]   close-knit community right but in actuality we are like a nationwide network this organization right but
[00:02:47.280 --> 00:02:52.560]   the nationwide work still feels very familial because like the leaders have years of relationship you and
[00:02:52.560 --> 00:02:57.760]   i know each other for 14 years right and in a lot of ways i think our church is going through like this
[00:02:57.760 --> 00:03:02.240]   transition where we like to think of ourselves and we conduct ourselves like a small family church but we
[00:03:02.240 --> 00:03:05.760]   are actually this big network this big institution yeah you know and there's a lot of things that
[00:03:05.760 --> 00:03:10.160]   haven't really caught up to that like systems and and and added in policies or best practices whatever
[00:03:10.160 --> 00:03:14.160]   it might be in a sense we kind of want to resist that too because we don't become institutionalized
[00:03:14.160 --> 00:03:17.600]   because that's not the greatest thing either because when there's like a movement when there's
[00:03:17.600 --> 00:03:22.400]   like anyway so we that that's like a whole other thing but i think that we are a big target
[00:03:22.400 --> 00:03:29.040]   and um and in some of our campuses we are the biggest target around and berkeley for sure oh yeah you
[00:03:29.040 --> 00:03:34.800]   know and um and i think that's why um we get all hate yeah that's a good one i didn't i didn't actually
[00:03:34.800 --> 00:03:41.280]   think about that um i'm curious about yours well i kind of cheated i kind of combined it into two things
[00:03:41.280 --> 00:03:48.000]   about our culture okay is uh conservative and very korean and i know nowadays i don't know if korean and
[00:03:48.000 --> 00:03:53.360]   conservative is sort of associated back in the day i think it certainly was um so i'll just talk about
[00:03:53.360 --> 00:03:56.640]   those a little bit but i think we're very conservative and i think most people like
[00:03:56.640 --> 00:04:02.080]   that's obvious right like we have a like we don't do we're kind of anti-media like we're like slightly
