
[00:00:00.000 --> 00:00:17.080]   Hey everybody, I'm here with the glute guy, Dr. Brett Contreras, who's an expert in all
[00:00:17.080 --> 00:00:22.480]   things resistance training. So getting stronger, hypertrophy, and these days he's best known
[00:00:22.480 --> 00:00:28.480]   for selective hypertrophy, how to direct muscle growth to particular muscles. And he's called
[00:00:28.480 --> 00:00:34.040]   the glute guy because he's developed a lot of movements and he's really the expert in how to
[00:00:34.040 --> 00:00:39.340]   build stronger, and if you want, bigger glutes. So today we're going to talk about how to train
[00:00:39.340 --> 00:00:43.820]   your legs, everything from your calves all the way up, your quadriceps, your glutes, and your
[00:00:43.820 --> 00:00:49.700]   hamstrings. And adductors. And adductors, I was just reminded. Everyone forgets the adductors and
[00:00:49.700 --> 00:00:53.740]   today Brett will tell us why you cannot forget to train your adductors and he'll show you how to do
[00:00:53.740 --> 00:00:59.000]   that. And we're also going to focus on something that everybody cares a lot about, which is how to
[00:00:59.000 --> 00:01:04.560]   get selective hypertrophy of muscles that, at least in your mind, you would like larger. Either because
[00:01:04.560 --> 00:01:09.440]   of genetics, right? You were just born with genes, let's say, gave you a shorter muscle belly of, say,
[00:01:09.440 --> 00:01:14.260]   your hamstrings, that would be me. Whereas you might be glute dominant, that would also be me. Or
[00:01:14.260 --> 00:01:18.660]   you might have a hard time activating and growing your glutes, but your hamstrings tend to take over
[00:01:18.660 --> 00:01:22.920]   everything or your quads tend to take over everything. Today's discussion is also relevant
[00:01:22.920 --> 00:01:28.100]   if you happen to have an injury of any kind, which has had you favor certain muscle groups or created
[00:01:28.100 --> 00:01:32.940]   asymmetries in your body. For instance, I would say I have a pretty decent calf on this side, but you'll
[00:01:32.940 --> 00:01:38.180]   notice because of an injury years ago, I have a harder time engaging this calf. So it's smaller.
[00:01:38.180 --> 00:01:43.480]   And as a consequence, I need to train it differently to bring it back up. Today, we're going to go through
[00:01:43.480 --> 00:01:48.580]   a workout that you could apply to any weak points. So even though we're going to focus a bit on bringing up
