
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:02.880]   It's Sam from Financial Samurai.
[00:00:02.880 --> 00:00:06.000]   And in this episode, I'm going to talk about a new property
[00:00:06.000 --> 00:00:10.160]   leading indicator that should give buyers confidence to buy.
[00:00:10.160 --> 00:00:14.000]   And I call it the FS20 property indicator.
[00:00:14.000 --> 00:00:16.240]   Not that original of a name, sorry.
[00:00:16.240 --> 00:00:19.840]   But I think the concept itself is quite original.
[00:00:19.840 --> 00:00:22.560]   And this is something that I think every property
[00:00:22.560 --> 00:00:24.000]   buyer, prospective property buyer,
[00:00:24.000 --> 00:00:26.800]   should think about when they're about to buy,
[00:00:26.800 --> 00:00:29.840]   because property prices have risen so aggressively
[00:00:29.840 --> 00:00:32.440]   in many parts of the country and the world
[00:00:32.440 --> 00:00:36.400]   since about 2010, 2012 period.
[00:00:36.400 --> 00:00:39.360]   So given real estate is relatively eliquid,
[00:00:39.360 --> 00:00:42.880]   there's huge room to get your property transaction right
[00:00:42.880 --> 00:00:44.040]   or wrong.
[00:00:44.040 --> 00:00:46.920]   So my hope is for all of you to get maximum value,
[00:00:46.920 --> 00:00:49.360]   whether you're buying or selling.
[00:00:49.360 --> 00:00:52.320]   But the FS20 indicator is more for folks
[00:00:52.320 --> 00:00:53.960]   who are going to be buying.
[00:00:53.960 --> 00:00:56.360]   So let me share with you some thoughts
[00:00:56.360 --> 00:00:58.360]   about what this indicator does.
[00:00:58.360 --> 00:01:00.640]   So FS stands for Financial Samurai.
[00:01:00.640 --> 00:01:02.600]   20 stands for 20%.
[00:01:02.600 --> 00:01:05.200]   The FS20 property indicator goes off
[00:01:05.200 --> 00:01:09.760]   when a home's final sales price is at least 20% higher
[00:01:09.760 --> 00:01:13.760]   than the online estimate in the neighborhood you want to buy.
[00:01:13.760 --> 00:01:17.680]   So by now, 2019, everybody should
[00:01:17.680 --> 00:01:19.800]   be leveraging technology and the internet
[00:01:19.800 --> 00:01:22.880]   to find properties, to analyze properties,
[00:01:22.880 --> 00:01:25.000]   and to make offers.
[00:01:25.000 --> 00:01:28.400]   Zillow and Redfin, they were both founded in 2004.
[00:01:28.400 --> 00:01:31.000]   So in the first 5, 10 years, they
[00:01:31.000 --> 00:01:34.320]   weren't that accurate, I would say.
[00:01:34.320 --> 00:01:36.960]   Their databases were still being formed.
[00:01:36.960 --> 00:01:41.040]   But now, 15 years later, their estimates
[00:01:41.040 --> 00:01:43.560]   are about as good as they've ever been.
[00:01:43.560 --> 00:01:45.800]   They probably are as good as they've ever been, right?
[00:01:45.800 --> 00:01:47.180]   They're publicly traded companies.
[00:01:47.180 --> 00:01:49.840]   They have to improve their algorithms
[00:01:49.840 --> 00:01:52.040]   to stay competitive and to stay relevant,
[00:01:52.040 --> 00:01:55.520]   or else their shareholders will revolt.
[00:01:55.520 --> 00:02:00.040]   So technology is key in your property hunt.
[00:02:00.040 --> 00:02:02.440]   And the FS20 property indicator is
[00:02:02.440 --> 00:02:04.840]   key when you're analyzing any property,
[00:02:04.840 --> 00:02:07.360]   because there are a lot of indicators out there
[00:02:07.360 --> 00:02:10.480]   on things you should follow to decide
[00:02:10.480 --> 00:02:12.480]   whether the property price is going
[00:02:12.480 --> 00:02:14.080]   to go up in the future or down.
[00:02:14.080 --> 00:02:17.280]   So some indicators include interest rates.
[00:02:17.280 --> 00:02:20.360]   If interest rates go down, like they are right now,
[00:02:20.360 --> 00:02:22.560]   property prices should go up, given
[00:02:22.560 --> 00:02:25.400]   it brings in more demand and more affordability.
[00:02:25.400 --> 00:02:29.680]   But you don't know exactly how much a property will appreciate
[00:02:29.680 --> 00:02:34.680]   or how much a property is worth for every 25 basis point
[00:02:34.680 --> 00:02:36.320]   drop in interest rate.
[00:02:36.320 --> 00:02:38.240]   It's just a derivative indicator that you
[00:02:38.240 --> 00:02:39.840]   can make educated guesses on.
[00:02:39.840 --> 00:02:41.200]   You just don't quite know.
