
[00:00:00.000 --> 00:00:05.800]   almost everyone in the AI space that I see with a microphone in front of them says,
[00:00:05.800 --> 00:00:12.800]   the US has to win the AI war. I don't know what that means. And if I guess as to what it means,
[00:00:12.800 --> 00:00:16.400]   I don't think it's possible. Because it's an infinite game.
[00:00:16.400 --> 00:00:23.120]   It's an infinite game. And no one that I talked to would argue, we're going to somehow prohibit
[00:00:23.120 --> 00:00:28.220]   them from moving forward in AI. Let's not forget, it wasn't that long ago that OpenAI,
[00:00:29.020 --> 00:00:34.680]   they'll say borrowed or copied the innovation that happened at Google and DeepSeek. Like,
[00:00:34.680 --> 00:00:36.400]   this is how innovation works.
[00:00:36.400 --> 00:00:53.080]   Bill, great to be back in person. Good to see you, sir. That was fun last night. We have to give a
[00:00:53.080 --> 00:00:57.980]   little shout out to our friends Vinny and Bill Lee and some others who we got together with in Austin
[00:00:58.040 --> 00:01:03.120]   last night for some poker. I think you did all right last night. You had some winnings. And you
[00:01:03.120 --> 00:01:06.660]   had some more winnings. In fact, I brought you some flowers. This is for your Florida Gators.
[00:01:06.660 --> 00:01:07.640]   You bring you your flowers.
[00:01:07.640 --> 00:01:13.120]   Thank you. I'm sure the listeners are tired of hearing. I started the last two podcasts,
[00:01:13.120 --> 00:01:17.180]   one before the Sweet 16 and one before getting into the final four. And then,
[00:01:17.180 --> 00:01:23.360]   of course, everyone knows the Gators went all the way. I had a bunch of friends out. We spent the whole
[00:01:23.360 --> 00:01:27.980]   day month, the Monday of the game day on the river walk outside the team hotel, saw a bunch of old
[00:01:27.980 --> 00:01:33.420]   friends. I know fandom is a weird thing because you don't actually do anything. You just go along for
[00:01:33.420 --> 00:01:39.700]   the ride. But it creates a very special experience. And I'm super proud of what they did in that team
[00:01:39.700 --> 00:01:44.400]   and how they won. I had talked about it before. And it was dramatic, too. But it was a great time.
[00:01:44.400 --> 00:01:45.980]   Just a great time. What have you been up to?
[00:01:45.980 --> 00:01:52.020]   Speaking of games, that was an exciting upset by the Warriors in game one over Houston the other night.
[00:01:52.180 --> 00:01:56.560]   I hope our guys make a run at it this year. Certainly looks like they're a totally different
[00:01:56.560 --> 00:01:58.100]   team with Jimmy Butler on the team.
[00:01:58.100 --> 00:01:58.860]   No doubt.
[00:01:58.860 --> 00:02:02.700]   I think they're 25 and four or something like that since the Jimmy Butler trade.
[00:02:02.700 --> 00:02:03.240]   Completely.
[00:02:03.240 --> 00:02:10.520]   I'll tell you, man, I'm thinking a lot. In fact, this is something you really drilled into me
[00:02:10.520 --> 00:02:19.200]   ages ago about thinking about just complex systems. When I look at all the things this new administration
[00:02:19.200 --> 00:02:24.940]   is trying to change simultaneously, you and I talked three months ago. I said I was worried about the
[00:02:24.940 --> 00:02:29.600]   markets. Discount rates had to go up. There was more uncertainty in the world. But when I start
[00:02:29.600 --> 00:02:34.860]   thinking about what's going on, what this administration is trying to accomplish, all at very large scale.
[00:02:34.860 --> 00:02:41.580]   So think about this. Whatever you think about each one of these individual things, they're trying to
[00:02:41.580 --> 00:02:48.740]   totally transform global trade. So that's trade negotiations with 100 countries. We effectively
[00:02:48.740 --> 00:02:57.560]   have an embargo between us and China today. 140% tariff, export controls. And so we have to renegotiate
[00:02:57.560 --> 00:03:03.720]   that deal. Besant said today it really hasn't even started. That's going to be a slog. On top of that,
[00:03:03.720 --> 00:03:09.540]   we have taxes. If we don't lock in the tax bill, it doubles at the end of the year. We have this
[00:03:09.540 --> 00:03:15.520]   reconciliation package. We have doge and deficit reduction. We have questions around the 10-year
[00:03:15.520 --> 00:03:20.780]   and whether or not deficit is going to actually be larger this year. We have the war in Ukraine,
[00:03:20.780 --> 00:03:26.720]   right, and lots of back and forth there. We have dealing with the volatile situation in the Middle
[00:03:26.720 --> 00:03:34.640]   East. I mean, it sounds like we were on the verge maybe of seeing an Israeli attack on Iran. And all
[00:03:34.640 --> 00:03:41.600]   of these things are happening simultaneously. And so one of the things that's just on my mind,
[00:03:41.600 --> 00:03:48.100]   if you look at the discounted rate of dealing with any of them successfully, and then you multiply those
[00:03:48.100 --> 00:03:53.700]   discounted rates together, right, the probability that you're going to land this plane and just a really
[00:03:53.700 --> 00:03:59.460]   smooth landing, I think is challenging to see, right? We're going to have some wins. We're going
[00:03:59.460 --> 00:04:05.420]   to have some losses. And so today, I know we want to revisit some of these conversations around
[00:04:05.420 --> 00:04:11.420]   tariffs and free trade and these export controls and kind of where we are in the market. But I would
[00:04:11.420 --> 00:04:17.840]   just say, we're attempting something very high difficulty level. And if this administration is
[00:04:17.840 --> 00:04:21.120]   able to land the plane on all these, it will be quite an accomplishment.
[00:04:21.120 --> 00:04:25.580]   Yeah. And you bring up complex systems. This is the reason I spend so much time down at the Santa
[00:04:25.580 --> 00:04:30.720]   Fe Institute because that's all we talk about. But a couple of features of those things that relate to
[00:04:30.720 --> 00:04:37.600]   exactly what you said. First, it's very hard to know which variables are dependent in a complex
[00:04:37.600 --> 00:04:44.380]   multi-variable system. And there may be one you don't know about that it flips and the whole system
[00:04:44.380 --> 00:04:49.820]   takes on a different shape. And this makes these things very hard to predict, which is why I don't
[00:04:49.820 --> 00:04:55.840]   like talking about macro for that exact very reason, that there's so many variables, it's very hard to be
[00:04:55.840 --> 00:05:00.380]   accurate and correct. And even if you are, it might just be by happenstance because you might not know
[00:05:00.380 --> 00:05:07.080]   the exact variable that caused it. So it is, it's difficult. And unfortunately, and I'll state again,
[00:05:07.120 --> 00:05:12.540]   I don't like talking about macro, but we're kind of forced into it because the market and even the
[00:05:12.540 --> 00:05:19.420]   destiny of many of the high-tech companies that we would prefer to focus on seem to be caught up in
[00:05:19.420 --> 00:05:23.880]   this whole thing. For sure. For sure. I mean, I just saw a random tweet before we came in here,
[00:05:23.880 --> 00:05:31.460]   you know, somebody estimating that the revenue hit to Meta this year from reduced advertising by
[00:05:31.460 --> 00:05:38.040]   the merchants, Chinese merchants on Meta like Timu is like $7 billion. Wow. Now think about that.
