
[00:00:00.000 --> 00:00:16.320]   Yogi Dhani: Hi, everyone.
[00:00:16.320 --> 00:00:17.240]   I'm Yogi.
[00:00:17.240 --> 00:00:21.320]   I work at FactSet, a financial data and software company.
[00:00:21.320 --> 00:00:24.160]   And today I'll be sharing some of my experience
[00:00:24.160 --> 00:00:27.200]   while building Agent.
[00:00:27.200 --> 00:00:29.560]   In last few years, we have seen tremendous growth
[00:00:29.560 --> 00:00:30.920]   in AI.
[00:00:30.920 --> 00:00:34.360]   And especially in last couple of years,
[00:00:34.360 --> 00:00:38.700]   we are on exponential curve of intelligence growth.
[00:00:38.700 --> 00:00:44.260]   And yet, it feels like when we develop AI applications,
[00:00:44.260 --> 00:00:46.680]   driving a monster truck through a crowded mall
[00:00:46.680 --> 00:00:48.320]   with the tiny joysticks.
[00:00:48.320 --> 00:00:53.720]   So AI applications have not seen its ChatGPT moment yet.
[00:00:53.720 --> 00:00:57.020]   There are many reasons why agents don't behave.
[00:00:57.020 --> 00:01:00.220]   But probably one reason that strikes out
[00:01:00.220 --> 00:01:03.920]   is it misses the right context.
[00:01:03.920 --> 00:01:06.160]   And in case of enterprises, often it
[00:01:06.160 --> 00:01:10.540]   means that it does not have knowledge of enterprise-specific
[00:01:10.540 --> 00:01:13.100]   workflows.
[00:01:13.100 --> 00:01:17.040]   But before that, we will see some common context.
[00:01:17.040 --> 00:01:20.680]   And just like agents, humans also need a common context.
[00:01:20.680 --> 00:01:24.920]   So let's start with some key definitions.
[00:01:24.920 --> 00:01:28.380]   So as you know, LLMs are limited by their knowledge
[00:01:28.380 --> 00:01:29.720]   at the time of training.
[00:01:29.720 --> 00:01:36.360]   So we enhance their functionality by increasing it by tool.
[00:01:36.360 --> 00:01:39.700]   And when you combine this LLM with tool and memory,
[00:01:39.700 --> 00:01:41.860]   we call it augmented LLM.
[00:01:41.860 --> 00:01:46.180]   When you place this augmented LLM on a static and predefined path,
[00:01:46.180 --> 00:01:48.080]   we call it a workflow.
[00:01:48.080 --> 00:01:53.340]   And if these augmented LLMs have high autonomy and feedback loop,
[00:01:53.340 --> 00:01:56.880]   we call it as an agent.
[00:01:56.880 --> 00:02:00.460]   Now workflows are controllable and reliable,
[00:02:00.460 --> 00:02:04.680]   while agents have flexibility and they are highly autonomous.
[00:02:04.680 --> 00:02:07.980]   So the question is, can we get best of both worlds?
[00:02:07.980 --> 00:02:09.620]   So the answer is yes.
[00:02:09.620 --> 00:02:12.980]   With agentic workflows, we can plan and execute
[00:02:12.980 --> 00:02:16.220]   the workflows based on the goal, context, and feedback.
[00:02:16.220 --> 00:02:22.140]   I see these terms being used very loosely,
[00:02:22.140 --> 00:02:24.800]   and at times interchangeably.
[00:02:24.800 --> 00:02:26.440]   So I would like to make a key distinction
[00:02:26.440 --> 00:02:31.740]   between workflow agent and agentic workflow.
[00:02:31.740 --> 00:02:37.360]   Workflow agent is a predefined workflow run by agent,
[00:02:37.360 --> 00:02:40.860]   while agentic workflow is a workflow planned
[00:02:40.860 --> 00:02:43.960]   and run by an agent.
[00:02:43.960 --> 00:02:46.220]   I know these terms are quite confusing,
[00:02:46.220 --> 00:02:49.560]   and in AI we are very bad at naming things.
[00:02:49.560 --> 00:02:52.860]   So if you are confused, don't worry.
[00:02:52.860 --> 00:02:54.940]   In case of workflow agent, just remember
[00:02:54.940 --> 00:02:58.460]   that workflow is in control and workflow is static.
[00:02:58.460 --> 00:03:02.780]   In case of agentic workflow, agent is always in control,
[00:03:02.780 --> 00:03:04.600]   and the workflow is dynamic.
[00:03:07.740 --> 00:03:11.680]   It is also important to view these systems as agentic system,
[00:03:11.680 --> 00:03:15.040]   as Andrewing pointed out correctly.
[00:03:15.040 --> 00:03:18.220]   On agentic spectrum, agentic workflows
[00:03:18.220 --> 00:03:21.460]   have more agenticness than workflow agents,
[00:03:21.460 --> 00:03:22.260]   generally speaking.
[00:03:22.260 --> 00:03:28.920]   So why all of this matter?
[00:03:28.920 --> 00:03:33.100]   Apart from control, reliability, predictability,
[00:03:33.100 --> 00:03:37.340]   for enterprises, agentic workflows provide a way
[00:03:37.340 --> 00:03:40.400]   to automate the workflows at scale.
[00:03:40.400 --> 00:03:45.520]   And perhaps most important thing is enterprises
[00:03:45.520 --> 00:03:50.520]   can use their existing enterprises microservices
[00:03:50.520 --> 00:03:52.680]   to build on top of it.
[00:03:52.680 --> 00:03:56.000]   And in some cases, these enterprises
[00:03:56.000 --> 00:03:59.120]   have invested years, if not decades.
[00:04:02.020 --> 00:04:03.620]   So before diving deep, I would like
[00:04:03.620 --> 00:04:05.120]   to say that even though I'm speaking
[00:04:05.120 --> 00:04:07.260]   in terms of enterprise context here,
[00:04:07.260 --> 00:04:08.960]   the concepts are generally applicable.
