
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:04.400]   It's Sam from the Financial Samurai Podcast.
[00:00:04.400 --> 00:00:09.760]   In this episode, I have with me a special guest, Dr. Daniel Shin from the Darwinian
[00:00:09.760 --> 00:00:10.760]   Doctor.
[00:00:10.760 --> 00:00:11.760]   Say hello.
[00:00:11.760 --> 00:00:12.760]   Hey, Sam.
[00:00:12.760 --> 00:00:13.760]   Really happy to be here.
[00:00:13.760 --> 00:00:14.760]   Thanks for having me.
[00:00:14.760 --> 00:00:20.320]   So, Daniel, you started your site a couple years ago or no, maybe four or five years
[00:00:20.320 --> 00:00:23.800]   ago after you became a doctor.
[00:00:23.800 --> 00:00:29.120]   It's interesting to me that I've seen a proliferation of doctors who are writing about personal
[00:00:29.120 --> 00:00:34.480]   finance when I was thinking to myself, "Why not just focus on being a doctor and make
[00:00:34.480 --> 00:00:40.160]   a lot of good doctor money, save, invest, and then you'll be set, good to go for the
[00:00:40.160 --> 00:00:43.720]   next -- for the rest of your life after, let's say, 20 years?"
[00:00:43.720 --> 00:00:50.800]   What inspired you to start your site as well as start a TikTok site and all this other
[00:00:50.800 --> 00:00:51.800]   stuff?
[00:00:51.800 --> 00:00:52.800]   Yeah, absolutely.
[00:00:52.800 --> 00:01:01.000]   I mean, there's a lot of credit that I think we have to give to Jim Dolley, who is the
[00:01:01.000 --> 00:01:04.840]   founder of the White Coat Investor blog.
[00:01:04.840 --> 00:01:10.240]   He's, I would say, considered by many to be sort of the progenitor of a lot of the physician
[00:01:10.240 --> 00:01:11.320]   finance blogs.
[00:01:11.320 --> 00:01:17.360]   But I think for me, it was more than just wanting to sort of copy that model.
[00:01:17.360 --> 00:01:23.880]   A couple of years into becoming a surgeon, it was really interesting for me because you
[00:01:23.880 --> 00:01:28.840]   have to understand that for doctors, you go for literally over a decade trying to achieve
[00:01:28.840 --> 00:01:32.360]   this goal of becoming a physician.
[00:01:32.360 --> 00:01:36.960]   It goes through college, through medical school, and through residency training, which for
[00:01:36.960 --> 00:01:41.200]   some people is as short as three years, but for most people can be four or five.
[00:01:41.200 --> 00:01:43.080]   In my case, it was six years of residency training.
[00:01:43.080 --> 00:01:47.120]   So you're talking about like a 14-year journey to become an attending.
[00:01:47.120 --> 00:01:52.080]   Then you get there, and all of a sudden, that's something that you're supposed to do for the
[00:01:52.080 --> 00:01:56.000]   next 30 or 40 or maybe even 50 years in some cases.
[00:01:56.000 --> 00:01:58.200]   So that was my experience.
[00:01:58.200 --> 00:02:04.040]   And then the first year or two was this incredible period of learning new skills and getting
[00:02:04.040 --> 00:02:09.240]   comfortable with being sort of in charge of my own medical direction.
[00:02:09.240 --> 00:02:14.100]   But then just a couple of years in, I went through this interesting period where I felt
[00:02:14.100 --> 00:02:16.760]   very secure in being a surgeon.
[00:02:16.760 --> 00:02:18.680]   I was good at my job.
[00:02:18.680 --> 00:02:19.760]   My patients loved me.
[00:02:19.760 --> 00:02:21.640]   I had a low complication rate.
[00:02:21.640 --> 00:02:23.000]   I felt that I was very good.
[00:02:23.000 --> 00:02:28.920]   And then I was looking and thinking about my life, and I didn't see any obvious goals
[00:02:28.920 --> 00:02:33.520]   or outlets for all the energy that I still had.
[00:02:33.520 --> 00:02:36.520]   And I think a lot of physicians kind of go through this, where you kind of reach the
[00:02:36.520 --> 00:02:40.840]   top of the hill, and then you look around, and then you just stay there.
[00:02:40.840 --> 00:02:42.600]   You're supposed to stay there for decades.
[00:02:42.600 --> 00:02:45.680]   And in my case, I sort of wanted a creative outlet.
[00:02:45.680 --> 00:02:51.760]   I thought that would be a good way of keeping life interesting.
[00:02:51.760 --> 00:02:54.200]   So I started the blog as sort of a creative outlet.
[00:02:54.200 --> 00:02:56.080]   I've always loved writing.
[00:02:56.080 --> 00:03:02.800]   And in terms of goals, I fixated on the goal of financial independence as a new goal, because
[00:03:02.800 --> 00:03:04.800]   I thought that was one that would be very interesting.
[00:03:04.800 --> 00:03:09.800]   And I thought it would be interesting writing about the ways that I was trying to achieve
[00:03:09.800 --> 00:03:10.800]   that.
[00:03:10.800 --> 00:03:12.400]   So that was really the start of my blog.
[00:03:12.400 --> 00:03:16.560]   It was a number of reasons, but it was for a creative outlet, and it was also to have
[00:03:16.560 --> 00:03:19.960]   sort of a new vehicle to express my goals.
[00:03:19.960 --> 00:03:20.960]   Got it.
[00:03:20.960 --> 00:03:24.120]   Yeah, I remember working in finance.
[00:03:24.120 --> 00:03:28.200]   And the only reason why I started Financial Samurai in 2009 was because I thought I was
[00:03:28.200 --> 00:03:34.240]   going to get laid off, and I needed something else to do, because it was pretty dicey times
[00:03:34.240 --> 00:03:35.240]   then.
[00:03:35.240 --> 00:03:39.640]   How many years were you as a attending-- not attending, or what's it called?
[00:03:39.640 --> 00:03:40.640]   Just a-- Attending, yeah.
[00:03:40.640 --> 00:03:44.240]   Just a practicing doctor before you started.
[00:03:44.240 --> 00:03:49.480]   And you hear all these stories about long hours during residency, and then a stressful
[00:03:49.480 --> 00:03:51.520]   job being a surgeon.
[00:03:51.520 --> 00:03:52.520]   Did you do surgery?
[00:03:52.520 --> 00:03:55.080]   Yeah, yeah, urologic surgery.
[00:03:55.080 --> 00:03:58.240]   So I treat sort of surgical conditions of the urinary tract.
[00:03:58.240 --> 00:04:02.240]   So if you get a kidney stone, you'll call someone like me to come take care of it, and
[00:04:02.240 --> 00:04:05.040]   you'll be-- we'll both be very happy once you're through that experience, because it's
