
[00:00:00.640 --> 00:00:14.880]   Hello, everyone.
[00:00:14.880 --> 00:00:17.040]   So, my name is Dima.
[00:00:17.040 --> 00:00:21.960]   As mentioned, unfortunately, my co-founder, Lin, who was on the schedule, couldn't make
[00:00:21.960 --> 00:00:24.320]   it today because of some personal emergency.
[00:00:24.320 --> 00:00:25.840]   So you got me.
[00:00:25.840 --> 00:00:31.940]   And as you saw, we don't have yet AI to figure out video projection, but we have AI for a
[00:00:31.940 --> 00:00:32.940]   lot of other things.
[00:00:32.940 --> 00:00:36.920]   So today I'm going to talk about Fireworks AI and generally I'm going to continue the theme
[00:00:36.920 --> 00:00:43.060]   which Katrin started about open models and how we basically focus on productionization
[00:00:43.060 --> 00:00:48.600]   and customization of open source models in inference at Fireworks.
[00:00:48.600 --> 00:00:52.140]   But first, as an introduction, what's our background?
[00:00:52.140 --> 00:00:58.280]   So the founding team of Fireworks comes from PyTorch leads at Meta and some veterans from
[00:00:58.280 --> 00:00:59.640]   Google AI.
[00:00:59.640 --> 00:01:03.660]   So we combined have, like, probably a decade of experience in productionizing AI in some
[00:01:03.660 --> 00:01:06.300]   of the biggest companies in the world.
[00:01:06.300 --> 00:01:11.520]   And I myself personally have been core maintainer of PyTorch for the past five years.
[00:01:11.520 --> 00:01:15.980]   So topic of open source is really close to my heart.
[00:01:15.980 --> 00:01:20.620]   And since we kind of led this revolution of open source tool chain for deep learning through
[00:01:20.620 --> 00:01:27.620]   our work on PyTorch and some of the Google technologies, we really believe that open source models are
[00:01:27.620 --> 00:01:31.580]   the future also for, like, for gen AI application.
[00:01:31.580 --> 00:01:36.800]   And our focus at Fireworks is precisely on that.
[00:01:36.800 --> 00:01:45.420]   So I mean, how many people in the audience actually, like, use GPT and deploy it for production?
[00:01:45.420 --> 00:01:50.460]   And how many people -- how many folks use open models for the production?
[00:01:50.460 --> 00:01:51.640]   Oh, okay.
[00:01:51.640 --> 00:01:56.360]   So I was about to convince you that share of open source models is going to grow over time,
[00:01:56.360 --> 00:01:59.820]   but it looks like in this audience it's already -- already sizable.
[00:01:59.820 --> 00:02:07.640]   But nevertheless, so why -- why basically this tradeoff, why go big or why go small?
[00:02:07.640 --> 00:02:12.040]   Currently still, like, bulk of production inference is still based on proprietary models.
[00:02:12.040 --> 00:02:17.700]   And the catch is that those are really good models and often frontier in many domains.
[00:02:17.700 --> 00:02:22.500]   However, the catch is that it's one model which is good in many, many sense.
[00:02:22.500 --> 00:02:26.220]   And it's often served in the same way regardless of the use case.
[00:02:26.220 --> 00:02:30.980]   Which means that it may be if you have batch inference on some narrow domain or you have
[00:02:30.980 --> 00:02:36.520]   some super real-time use case where you need to -- you need to do, like, voice assistant
[00:02:36.520 --> 00:02:41.140]   or something, those are often served from the same infrastructure without customization.
[00:02:41.140 --> 00:02:46.560]   In terms of model capabilities, it also means, yeah, like, GPT-4 is great or Claude is great
[00:02:46.560 --> 00:02:48.320]   and can handle a lot of sense.
[00:02:48.320 --> 00:02:53.460]   But you're often paying a lot for additional capabilities which are not needed in particular use case.
[00:02:53.460 --> 00:02:59.640]   You don't really need customer support chatbot to know about 150 Pokemons or be able to write
[00:02:59.640 --> 00:03:00.640]   your poetry.
[00:03:00.640 --> 00:03:06.360]   But you really want it to be really good in the particular narrow domain.
[00:03:06.360 --> 00:03:11.020]   So this kind of discrepancy for large models leads to several issues.
[00:03:11.020 --> 00:03:18.120]   One as I mentioned is high latency because using a big model means longer response times which
[00:03:18.120 --> 00:03:22.140]   is particularly important for real-time use cases like voice systems.
[00:03:22.140 --> 00:03:28.140]   It gets more and more important with agenting stuff because for stuff like, for example,
[00:03:28.140 --> 00:03:34.380]   next, right, like, you need to do a lot of steps for, like, something like agent-like application
[00:03:34.380 --> 00:03:36.140]   to do reasoning and call the model many times.
[00:03:36.140 --> 00:03:38.220]   So latency is really, really important.
[00:03:38.220 --> 00:03:44.400]   And often you see that you can pick smaller models like Lama or Gemma, which you just talked
[00:03:44.400 --> 00:03:50.400]   about, and achieve the -- for the narrow domain, same or better quality while being, you know,
[00:03:50.400 --> 00:03:52.240]   up to 10 times faster.
[00:03:52.240 --> 00:03:57.400]   For example, for some of the function calling use cases, like, externally benchmark from Berkeley,
[00:03:57.400 --> 00:04:03.520]   yeah, like, you get similar performance from fine-tuned Lama 3 at 10x the speed.
[00:04:03.520 --> 00:04:10.240]   Cost is also an issue if you're running a big model for -- on a lot of traffic, you know,
[00:04:10.240 --> 00:04:15.900]   even if you have perhaps, you know, 5K tokens prompt and 10,000 users, and each of them calls
[00:04:15.900 --> 00:04:21.420]   LLM 20 times per day, you know, on GPT-4, even on GPT-4O, it probably adds up to, like, 10K
[00:04:21.420 --> 00:04:27.580]   per day or something like several million per year, which is a sizable cost of a startup.
[00:04:27.580 --> 00:04:33.980]   You can easily cut that with much smaller models, and that often we see as a kind of motivation
[00:04:33.980 --> 00:04:39.180]   for reaching out for smaller and more customizable models.
[00:04:39.180 --> 00:04:45.360]   But really the -- like, where open models shine is domain adaptability, and that comes in two
[00:04:45.360 --> 00:04:46.360]   aspects.
[00:04:46.360 --> 00:04:49.440]   First, there are so many different fine-tunes and customizations.
[00:04:49.440 --> 00:04:54.780]   I think Katelyn was mentioning about, you know, Jemma built Indian languages adaptations.
[00:04:54.780 --> 00:04:57.500]   Like, there are models specialized for code or for medicine.
[00:04:57.500 --> 00:05:02.520]   If you had to -- there are, like, tens of thousands of different model variants, and because the
