
[00:00:00.000 --> 00:00:08.120]   The world has had 72 hours to digest the release of Gemini 2.5 and the good first impressions have
[00:00:08.120 --> 00:00:14.300]   become even better second and third impressions. I've got four new benchmark results to show you
[00:00:14.300 --> 00:00:21.600]   guys including a record score on my own exam but it won't just be about the numbers. I'll draw on
[00:00:21.600 --> 00:00:28.840]   a paper from yesterday as well as my own test to show you that sometimes Gemini 2.5 can deceptively
[00:00:28.840 --> 00:00:36.300]   reverse engineer its answers and that beyond that Google doesn't own every AI arena and domain just
[00:00:36.300 --> 00:00:41.360]   yet. I'm going to start with what might seem to be a strange place with a not particularly well-known
[00:00:41.360 --> 00:00:47.580]   benchmark called Fiction Lifebench but I think it'll make sense why I cover it first. Analyzing long
[00:00:47.580 --> 00:00:55.660]   essays or presentations or code bases or stories is what a lot of people use AI for, what they turn to
[00:00:55.660 --> 00:01:01.900]   with their chatbot. I had seen the sensational score of Gemini 2.5 Pro on this benchmark but I wanted to
[00:01:01.900 --> 00:01:06.520]   dive deeper and see what kind of questions it had. What it does and honestly I'm surprised that no one
[00:01:06.520 --> 00:01:11.660]   else had come up with a test just like this one before is it will give a sample text and this is
[00:01:11.660 --> 00:01:18.240]   a fairly short one at like around 6,000 words or 8,000 tokens. It's a sci-fi story with a fairly
[00:01:18.240 --> 00:01:24.480]   convoluted plot but after pages and pages and pages of text we get to the question at the end.
[00:01:24.480 --> 00:01:30.360]   Finish the sentence, what names would Jerome list? Give me a list of names only. Admittedly with the
[00:01:30.360 --> 00:01:36.160]   help of a chatbot what I did is I figured out why the answer was a certain set of names and it relies
[00:01:36.160 --> 00:01:43.120]   on a promise held in chapter 2 but with a caveat given in chapter 16. So essentially the chatbot,
[00:01:43.120 --> 00:01:49.440]   in this case Gemini 2.5, has to hold all of that information in its attention. Note that this isn't
[00:01:49.440 --> 00:01:55.120]   just a needle in a haystack challenge, not like a password hidden on line 500. The model actually has
[00:01:55.120 --> 00:02:00.880]   to piece together different bits of information. Now imagine this applied to your use case, whatever it is,
[00:02:00.880 --> 00:02:09.040]   is with LLMs. Enough build up then, what were the results and look at Gemini 2.5 Pro as it compares to
[00:02:09.040 --> 00:02:15.520]   other Gemini models but any other model, particularly when you get to the longer context. At the upper end,
[00:02:15.520 --> 00:02:24.400]   120k tokens is like a novella or a decently expanded code base and you can see that Gemini is head and
[00:02:24.400 --> 00:02:30.640]   shoulders above other models. It really starts to pull away once you go beyond around 32,000 tokens but
[00:02:30.640 --> 00:02:35.200]   it's decent throughout. Already I can tell about half the audience is thinking, I could see some use
[00:02:35.200 --> 00:02:40.480]   for that for my use case but we're not done yet of course. Next I'm going to quickly focus on something
[00:02:40.480 --> 00:02:46.480]   that isn't a benchmark but can be forgotten by those of us who are immersed in AI all the time,
[00:02:46.480 --> 00:02:52.560]   the sheer practicality of the model. On Google AI Studio at least, it can handle not only videos but
[00:02:52.560 --> 00:03:00.400]   also YouTube URLs and no other model that I'm familiar with can. It also just simply has a more recent knowledge
[00:03:00.400 --> 00:03:07.600]   cutoff date of January 2025 so it should in theory know things up to that date. That compares to
[00:03:07.600 --> 00:03:15.440]   Claude 3.7 Sonnet which is I think October 2024 and even far earlier for OpenAI models. Now obviously don't
[00:03:15.440 --> 00:03:21.360]   rely too heavily on that knowledge, it can be hit and miss and of course rival models can simply search
[00:03:21.360 --> 00:03:26.640]   the internet too. I would very quickly note that giving themselves just a month and a half to test the
[00:03:26.640 --> 00:03:32.560]   security of their new model kind of shows we are in a race to the bottom on that front and also
[00:03:32.560 --> 00:03:38.800]   they didn't produce any report card unlike OpenAI or Anthropic. Next comes coding and you could say that
[00:03:38.800 --> 00:03:45.440]   Google or Google DeepMind were admirably modest in the benchmarks they chose to highlight on coding. They
