
[00:00:00.040 --> 00:00:09.660]   caregiver
[00:00:09.660 --> 00:00:10.880]   talk and the
[00:00:28.600 --> 00:00:57.460]   process
[00:00:57.540 --> 00:01:07.660]  reme
[00:01:07.660 --> 00:01:17.560]   con,
[00:01:17.560 --> 00:01:26.720]   understand is not新 couldnük semaines
[00:01:26.820 --> 00:01:36.580]   wig likeep
[00:01:36.580 --> 00:01:37.640]   add I. That.
[00:01:37.640 --> 00:01:48.420]   get.bol. guess. would be, had, España,,,,,,,,,, precise interrupting下來 SM experiii Gan't love cr
[00:01:48.420 --> 00:01:55.240]   I'm last we I
[00:01:55.240 --> 00:01:55.820]   burned the love and I is the eye from the lead and the he and the�ез help the not the asked the worse the work theuso�G accepted the�Gいい theN, I�G**@I�G�GW anomaly perm�the�In the�G:A�L,�G;D,�C�G�F�G�G#G�G**Z;G, 26�W, --B, " Stell�G;\G=G=G�G@G gren=G;G, read--B, ^B_G--G, grande�, �--S,luence all�, --B, heavy:, Rum-Z, suppose對啊
[00:01:55.840 --> 00:01:58.860]   Anatole jumped up and danced Doucette around the room.
[00:01:58.860 --> 00:01:59.860]   Impossible?
[00:01:59.860 --> 00:02:00.860]   Perhaps not, ma petite.
[00:02:00.860 --> 00:02:01.860]   You have given me a wonderful idea.
[00:02:01.860 --> 00:02:16.860]   He sat down at the typewriter and typed thirty or forty signs that said, "Extra specially good, specially good, good, not so good, no good."
[00:02:16.860 --> 00:02:21.860]   Then he stuck a long pin through each sign and put them all away carefully in his briefcase.
[00:02:21.900 --> 00:02:30.840]   was
[00:02:30.840 --> 00:02:33.260]   K G feel
[00:02:33.260 --> 00:02:33.320]   bonuses, , ,,ห,
[00:02:33.320 --> 00:02:49.840]   quiet
[00:02:50.200 --> 00:03:00.240]   requ the
[00:03:00.240 --> 00:03:16.660]   only n the Ed garant
[00:03:19.180 --> 00:03:28.440]   Pro
[00:03:28.440 --> 00:03:29.600]   guard and
[00:03:29.600 --> 00:03:48.060]   gia
[00:03:49.200 --> 00:03:59.540]   change
[00:03:59.540 --> 00:04:00.500]   is e團
[00:04:00.500 --> 00:04:09.380]   pastry
[00:04:18.660 --> 00:04:24.820]   gather
[00:04:24.820 --> 00:04:47.480]   tell,
[00:04:48.600 --> 00:05:17.020]   đầu
[00:07:12.500 --> 00:07:23.560]   engine
[00:07:41.320 --> 00:07:51.700]   Cent
[00:07:51.700 --> 00:08:08.200]   limit, and,달� framework
[00:08:09.720 --> 00:08:18.380]   I
[00:08:18.380 --> 00:08:23.720]   even,
[00:08:23.720 --> 00:08:38.480]  овых實 YOU R S I I I con the 눌러 lleg Whoo de was, and, and, and, and, and, and, and, and, and, and, provide the, and, and, him, talk about the ' Museum of the '� Details are'. '.'.'.'. w'. demand en, haven Course,
[00:08:38.480 --> 00:08:39.660]  ,
[00:08:39.740 --> 00:08:41.500]   didnt you go out,
[00:08:41.500 --> 00:09:09.680]   and makes opportunities through service, or are you one who sits back and takes from others? We all have a choice. It's a daily choice. Are we going to be a maker, or a taker? A producer, or a consumer? Are we going to go out to the world looking for how we can serve, or for how we can be served?
[00:09:09.720 --> 00:09:39.700]  ,

