
[00:00:00.000 --> 00:00:05.000]   (Music)
[00:00:05.000 --> 00:00:07.000]   Here's a letter we received.
[00:00:07.000 --> 00:00:13.000]   "Hello Pastor John, my name is Mara and I am only a kid, but I know my faith matters even at my age.
[00:00:13.000 --> 00:00:19.000]   I know that I have a relationship with God and that I can talk to Him or rely on Him, but sometimes it's hard to tell.
[00:00:19.000 --> 00:00:26.000]   What I'm really asking is, is there some way for me to know how good of a relationship I have with God?
[00:00:26.000 --> 00:00:30.000]   I haven't had any really hard times that make me question my faith.
[00:00:30.000 --> 00:00:37.000]   I know my time will come when that will happen, but is there a way for me to know right now if I'm on the right track?
[00:00:37.000 --> 00:00:39.000]   Thank you, Pastor John."
[00:00:39.000 --> 00:00:43.000]   Mara, you have a very, very good question.
[00:00:43.000 --> 00:00:48.000]   And it isn't any different for an adult, by the way.
[00:00:48.000 --> 00:00:55.000]   Your question for a child is the same question lots of adults have, including me from time to time.
[00:00:55.000 --> 00:01:06.000]   Is there some way for me and you to know how good our relationship with God is?
[00:01:06.000 --> 00:01:13.000]   And the reason it's a good question is that the Bible itself asks the question.
[00:01:13.000 --> 00:01:22.000]   2 Corinthians 13, 5, "Examine yourselves to see whether you are in the faith. Test yourselves.
[00:01:22.000 --> 00:01:30.000]   Or do you not realize this about yourselves, that Jesus Christ is in you, unless indeed you fail to meet the test?"
[00:01:30.000 --> 00:01:36.000]   So you're absolutely right to raise the question, "Are there tests?
[00:01:36.000 --> 00:01:45.000]   Is there a way that I can think that would help me know if my relationship with God is a good one?"
[00:01:45.000 --> 00:01:48.000]   So here's the things that I want to point you to.
[00:01:48.000 --> 00:01:52.000]   Number one, you are saved, Mara.
[00:01:52.000 --> 00:02:01.000]   That is, you are forgiven for all the bad things you have done and will ever do, and you are accepted by God as his child.
[00:02:01.000 --> 00:02:13.000]   You are given eternal life by faith in Jesus, not by doing good things or being a good girl.
[00:02:13.000 --> 00:02:15.000]   That's so crucial.
[00:02:15.000 --> 00:02:25.000]   Being good is like fruit on a tree, but the tree is faith in Jesus.
