
[00:00:00.000 --> 00:00:07.520]   Less than six hours ago, Anthropic announced and released Claude 4 Opus and Claude 4 Sonnet,
[00:00:07.520 --> 00:00:13.160]   and they claim in certain settings they're the best language models in the world. I have read
[00:00:13.160 --> 00:00:20.420]   both the 120-page system card, yes, I do read fast, I am aware of that, and also the 25-page
[00:00:20.420 --> 00:00:25.940]   accompanying ASL Level 3 protections. This sub-report, I will admit, skimming maybe 10 of
[00:00:25.940 --> 00:00:30.340]   the pages. But I have also tested the model hundreds of times, and you guys might be like,
[00:00:30.340 --> 00:00:36.660]   how is that even possible in around six hours? Well, yes, on this front, I did get early access
[00:00:36.660 --> 00:00:42.640]   to the model. Yes, Claude 4 Opus seems to do better on my own benchmark, SimpleBench, than any other
[00:00:42.640 --> 00:00:48.700]   model, so should feel smarter. It gets questions right consistently that no other model does,
[00:00:48.700 --> 00:00:54.100]   but why do I say appears to do better? Well, while I did get early access to the model, I didn't get
[00:00:54.100 --> 00:00:59.640]   early API access, so I'll be running the full benchmark in the coming hours and days. I also
[00:00:59.640 --> 00:01:05.700]   tried something different, which is I gave both Gemini 2.5 Pro and Claude 4 Opus a codebase I've
[00:01:05.700 --> 00:01:10.220]   been working on the past few months. The results on which Bugfinding Mission was more successful,
[00:01:10.220 --> 00:01:16.000]   I found quite interesting. I'm going to first cover those juicy Twitter controversies that always happen
[00:01:16.000 --> 00:01:22.100]   and go viral. Then I'm going to cover the benchmark results, and then the meat, the highlights from the
[00:01:22.100 --> 00:01:27.940]   system card. What was the first controversy? Well, one anthropic researcher, Sam Bowman, said that
[00:01:27.940 --> 00:01:33.380]   Claude 4 Opus could at times be so diligent, so proactive, that if it felt you were doing something
[00:01:33.380 --> 00:01:38.960]   deeply ethically wrong, it would take countermeasures. This appeared, by the way, in the system card. This
[00:01:38.960 --> 00:01:43.600]   wasn't a revelation from him, nor was it the first time, actually, that models had done something like
[00:01:43.600 --> 00:01:49.260]   that. The tweet has since been deleted, but you can imagine that some people, like the former founder of
[00:01:49.260 --> 00:01:55.100]   Stability AI, felt like this was a bit of policing gone too far. You can imagine some developers nervously
[00:01:55.100 --> 00:02:00.540]   not using Claude 4 Opus, thinking it might call the cops. In the clarifying tweet, Sam Bowman confirmed
[00:02:00.540 --> 00:02:05.820]   that this isn't a new Claude feature, and it's not possible in normal usage. And if you have been following
[00:02:05.820 --> 00:02:11.100]   things closely, which you pretty much will have done if you're watching this channel, you'll know that Claude already
[00:02:11.100 --> 00:02:16.940]   could be coached into doing this. One reaction on Twitter that I found particularly interesting came
[00:02:16.940 --> 00:02:25.020]   from an anthropic researcher, Kyle Fish, who said that Claude's preference for avoiding harmful impact was so
[00:02:25.020 --> 00:02:30.940]   significant that he actually implored people, "cool it with the jailbreak attempts." We see this as a
[00:02:30.940 --> 00:02:36.780]   potential welfare concern and want to investigate further. I imagine both the idea that these models
[00:02:36.780 --> 00:02:43.420]   have welfare and the idea that we shouldn't be jailbreaking them will divide people pretty evenly.
[00:02:43.420 --> 00:02:47.820]   The next controversy, if you want to call it that, comes from the benchmark results. So it's a natural
[00:02:47.820 --> 00:02:52.940]   segue to talking about the benchmark results. Because unlike with many other model releases,
[00:02:52.940 --> 00:02:59.180]   Anthropic couldn't point to many benchmarks where their model was unambiguously better. By the way,
[00:02:59.180 --> 00:03:05.180]   that doesn't mean that it's actually not smarter, as things like Simplebench and my own tests in Cursor
[00:03:05.180 --> 00:03:10.860]   show, a model can sometimes feel smarter while not being officially smarter. But anyway, there was one
[00:03:10.860 --> 00:03:15.340]   exception to that, as you might be able to see at the top, Sweebench verified. Now, given that it's almost
[00:03:15.340 --> 00:03:20.380]   10 o'clock already, I'm not going to go into what that benchmark is all about. But notice that the record
[00:03:20.380 --> 00:03:25.180]   breaking scores on the bottom row, which are significantly better than the other models,
[00:03:25.180 --> 00:03:32.540]   have a footnote all the way down at the bottom. By the way, this is the benchmark that the CEO of
[00:03:32.540 --> 00:03:38.220]   Anthropic, Dario Amadei, touted in the launch video. Yes, I use double speed. But anyway, the footnote for
[00:03:38.220 --> 00:03:43.340]   Sweebench verified said, "We additionally report results that benefit from parallel test time compute." I'm not
[00:03:43.340 --> 00:03:48.540]   expecting you to read this, by the way, "by sampling multiple sequences and selecting the single best
[00:03:48.540 --> 00:03:54.940]   via an internal scoring model." And if you dig into the methodology section, you can see it's almost
[00:03:54.940 --> 00:04:01.020]   more than that. They discard patches that break the visible regression tests in the repo. So you do have
[00:04:01.020 --> 00:04:06.940]   to take any of those kind of benchmark records with a slight grain of salt. And Anthropic might well reply to
[00:04:06.940 --> 00:04:13.180]   me and say, "Well, look at what Gemini did with Pokemon." Google used elaborate scaffolding to beat a
[00:04:13.180 --> 00:04:19.500]   Pokemon game that Claude had been attempting. That made their model look better than Claude, which wasn't fair.
[00:04:19.500 --> 00:04:24.380]   Okay, the 120-page system card, and I am going to go pretty fast here, because there is a lot to get
[00:04:24.380 --> 00:04:29.820]   through, as you can imagine. I should say up front, by the way, that Claude Force Sonnet is available on the free tier,
[00:04:29.820 --> 00:04:35.180]   so anyone watching can try at least one of these models. But both of them were trained on internet
[00:04:35.180 --> 00:04:42.300]   data as of March 2025, so it's the most recently trained or the most up-to-date knowledge of any model.
[00:04:42.300 --> 00:04:48.220]   According to their own tests, it should falsely refuse to do things at a much lower rate than
[00:04:48.220 --> 00:04:53.180]   previous models like Sonnet 3.7. More critically though, and more interestingly for most of you,
[00:04:53.180 --> 00:05:00.380]   I think, will be the repeated claim in both presentations that both Sonnet 4 and Opus 4
[00:05:00.380 --> 00:05:06.620]   will reward hack less often and be less over-eager. Reward hacking, as the name implies, is where the
