
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:00:03.000 --> 00:00:07.000]   Take on more adventure in the strong and capable Chevy Silverado.
[00:00:07.000 --> 00:00:09.000]   More confidence in the Chevy Equinox.
[00:00:09.000 --> 00:00:14.000]   Winner of the J.D. Power Award for initial quality among compact SUVs two years running.
[00:00:14.000 --> 00:00:19.000]   And more value in the all-new Chevy Trax with an available 11-inch diagonal touchscreen.
[00:00:19.000 --> 00:00:21.000]   Bring the holidays together in a new Chevy.
[00:00:21.000 --> 00:00:23.000]   Click to learn more.
[00:00:23.000 --> 00:00:25.000]   Chevrolet. Together, let's drive.
[00:00:25.000 --> 00:00:30.000]   For J.D. Power 2023 U.S. Initial Quality Study Award information, visit JDPower.com/awards.
[00:00:30.000 --> 00:00:40.000]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:00:40.000 --> 00:00:42.000]   Welcome to the show. My name is Joshua Sheets. I am your host.
[00:00:42.000 --> 00:00:45.000]   Quick little in-between-a-sode today.
[00:00:45.000 --> 00:00:51.000]   Just a rather simple, straightforward show without any in-depth planning ideas.
[00:00:51.000 --> 00:00:56.000]   Thanks for your patience with lack of shows over the last few days.
[00:00:56.000 --> 00:00:59.000]   We were busy getting moved into a house.
[00:00:59.000 --> 00:01:04.000]   And then unfortunately, since moving into the house, I've been a little bit sick.
[00:01:04.000 --> 00:01:06.000]   Got the sniffles and whatnot.
[00:01:06.000 --> 00:01:12.000]   Thought maybe it might -- hope, hope -- maybe it's just some dust, you know, getting stuff out of the storage unit, cleaning up, et cetera.
[00:01:12.000 --> 00:01:21.000]   But I've got a mold inspector coming to check on things, but I haven't been able to get through a good podcast without sneezing, et cetera.
[00:01:21.000 --> 00:01:23.000]   So my apologies for that.
[00:01:23.000 --> 00:01:24.000]   Hope to get that resolved this week.
[00:01:24.000 --> 00:01:25.000]   We'll get a mold inspection.
[00:01:25.000 --> 00:01:27.000]   It's fairly common in Florida.
[00:01:27.000 --> 00:01:32.000]   By the way, I'm just kind of a part-time -- a quick interlude for you.
[00:01:32.000 --> 00:01:38.000]   Years ago, we did not appreciate how important keeping things dry is.
[00:01:38.000 --> 00:01:41.000]   Mold, et cetera, is a major, major problem.
[00:01:41.000 --> 00:01:55.000]   Over the last couple of years, it has become much better understood and increasingly popularized how important mold is in terms of the lack of mold, especially to health.
[00:01:55.000 --> 00:02:01.000]   And so if this is something that you've never looked into, I would strongly encourage you look into it.
[00:02:01.000 --> 00:02:04.000]   And there are a couple of aspects that are very important.
[00:02:04.000 --> 00:02:29.000]   Number one, if you ever have any kind of moisture in your house -- and I don't know if this is exactly the same in, say, Kansas or Nevada as it is in Florida, but if you live in any kind of moist climate and you ever have any kind of moisture in your house, a leak, anything, it needs to be dealt with with massive, massive action.
[00:02:29.000 --> 00:02:31.000]   Do not hang around.
[00:02:31.000 --> 00:02:33.000]   Do not take any chances.
[00:02:33.000 --> 00:02:41.000]   If you have wet drywall, it should be dried out immediately with tremendous haste and then possibly even removed.
[00:02:41.000 --> 00:02:47.000]   If you have carpet that gets wet or something like that, especially if you live in Florida, it has to be dealt with very quickly.
[00:02:47.000 --> 00:02:51.000]   Again, normally, most of us would say, "Oh, it's probably not that big of a deal.
[00:02:51.000 --> 00:02:55.000]   I should probably not worry too much about it.
[00:02:55.000 --> 00:02:57.000]   It'll dry out pretty quickly.
[00:02:57.000 --> 00:02:58.000]   I'll just fix it."
[00:02:58.000 --> 00:03:01.000]   But I'm here to tell you, you need to take it very, very seriously.
[00:03:01.000 --> 00:03:05.000]   I was ignorant on this in years past, and it's not just now.
[00:03:05.000 --> 00:03:09.000]   Over the last couple of years, I've educated myself on this topic, and it's very, very important.
[00:03:09.000 --> 00:03:12.000]   It's very important for your health and for the health of your family.
[00:03:12.000 --> 00:03:25.000]   And if there are certain types of mold that once they get going in the house, they can just be really, really bad and very, very harmful to you, to the house, and very difficult and expensive to eradicate.
[00:03:25.000 --> 00:03:31.000]   I've had a number of friends who have had to do mold claims in their homes and do mold remediation.
