
[00:00:00.000 --> 00:00:05.200]   [BLANK_AUDIO]
[00:00:05.200 --> 00:00:10.560]   So today, I'm delighted to introduce our first invited speaker,
[00:00:10.560 --> 00:00:12.800]   who's Dow Akila.
[00:00:12.800 --> 00:00:17.920]   Dow has also been, as well as being invited, and I'll tell his background.
[00:00:17.920 --> 00:00:23.840]   He's also in the Symbolic Systems program as being an adjunct professor and
[00:00:23.840 --> 00:00:26.680]   has been involved with some students in that role as well.
[00:00:26.680 --> 00:00:30.640]   But in his invited role, he's originally from the Netherlands,
[00:00:30.640 --> 00:00:34.760]   where he even learned some logic, among other things, back in the old days.
[00:00:34.760 --> 00:00:36.680]   But in more recent times,
[00:00:36.680 --> 00:00:41.160]   he's been a prominent deep learning researcher.
[00:00:41.160 --> 00:00:47.600]   For a number of years, he worked at Facebook, now Meta, in the FAIR unit,
[00:00:47.600 --> 00:00:52.520]   and was involved in various ideas, including retrieval augmented generation.
[00:00:54.000 --> 00:00:57.760]   After that, he then spent some time at Hugging Face.
[00:00:57.760 --> 00:01:01.560]   He's become interested in looking at multimodal models,
[00:01:01.560 --> 00:01:04.640]   which is what he's gonna be talking about today.
[00:01:04.640 --> 00:01:07.000]   And welcome, Dow, it's great to have you.
[00:01:07.000 --> 00:01:08.680]   >> Thank you very much.
[00:01:08.680 --> 00:01:15.560]   >> [APPLAUSE]
[00:01:15.560 --> 00:01:17.360]   >> All right, that works, right?
[00:01:17.360 --> 00:01:20.520]   Yes, yeah, thanks everyone for coming.
[00:01:20.520 --> 00:01:22.520]   I understand that you get points for being here, so
[00:01:22.520 --> 00:01:23.600]   you're not really here for me.
[00:01:23.600 --> 00:01:24.320]   >> [LAUGH]
[00:01:24.320 --> 00:01:27.160]   >> But thanks for coming anyway.
[00:01:27.160 --> 00:01:29.680]   So I'm gonna talk about multimodal deep learning.
[00:01:29.680 --> 00:01:32.800]   It's gonna have an NLP focus, of course, as for this course.
[00:01:32.800 --> 00:01:36.720]   But it's also because otherwise I would really be talking for
[00:01:36.720 --> 00:01:38.880]   many more hours than I have time for here.
[00:01:38.880 --> 00:01:43.120]   So I'll try to really keep it focused on the things that I think will be
[00:01:43.120 --> 00:01:44.760]   most useful for you to learn.
[00:01:44.760 --> 00:01:48.760]   And so the first thing you should understand is that this whole concept of
[00:01:48.760 --> 00:01:52.360]   multimodality is kind of ill-defined, actually.
[00:01:52.360 --> 00:01:56.160]   So if you go to the dictionary, you'll see that it means having or
[00:01:56.160 --> 00:02:00.720]   involving several modes or modalities or maxima.
[00:02:00.720 --> 00:02:06.080]   And so what mode here really means is, so it could be mode in the very generic sense,
[00:02:06.080 --> 00:02:11.240]   or it could be a very precise sense of the mode of a statistical distribution.
[00:02:11.240 --> 00:02:14.440]   And so depending on the paper you're reading, in some cases,
[00:02:14.440 --> 00:02:16.200]   people really mean the statistical sense.
[00:02:16.200 --> 00:02:20.920]   In other cases, people really mean this sort of very vague concept of a modality,
[00:02:20.920 --> 00:02:23.840]   where it really means the type of information that you're getting.
[00:02:23.840 --> 00:02:28.480]   So an example of modality in that case is an image or speech signal or
[00:02:28.480 --> 00:02:33.160]   audio in general, or even olfaction, so smell or things like that.
[00:02:33.160 --> 00:02:38.640]   So in this lecture, we're just gonna focus mostly on text,
[00:02:38.640 --> 00:02:42.640]   because this is an NLP course, and we're gonna focus on images mostly as
[00:02:42.640 --> 00:02:45.040]   the other modality to keep it simple.
[00:02:45.040 --> 00:02:48.400]   All right, so why does it matter?
[00:02:48.400 --> 00:02:50.880]   Why do we care about multimodality?
[00:02:50.880 --> 00:02:55.480]   And so there are a couple of really good reasons in general for this.
[00:02:55.480 --> 00:02:58.320]   The first one is about faithfulness.
[00:02:58.320 --> 00:03:01.200]   So if you look at how we humans understand the world,
[00:03:01.200 --> 00:03:06.720]   how we make sense of what happens in the world, that is very multimodal, right?
[00:03:06.720 --> 00:03:11.040]   So we perceive the world not just using vision or just audio, but
[00:03:11.040 --> 00:03:14.600]   we synthesize information across all of these different modalities, and
[00:03:14.600 --> 00:03:16.480]   that's how we understand the world and each other.
[00:03:17.800 --> 00:03:20.680]   There's also a very practical argument for doing it.
[00:03:20.680 --> 00:03:23.000]   It's because the Internet is multimodal, right?
[00:03:23.000 --> 00:03:27.080]   So if you go to, I don't know, Facebook or something like that,
[00:03:27.080 --> 00:03:29.760]   it rarely happens that it's just text or just an image.
[00:03:29.760 --> 00:03:33.160]   There's usually a combination of multiple modalities.
[00:03:33.160 --> 00:03:37.920]   And then the final good reason that we're just starting to hit now,
[00:03:37.920 --> 00:03:40.760]   if you're really following where the field is going,
[00:03:40.760 --> 00:03:44.000]   we're kind of running out of text data for these large language models.
[00:03:44.000 --> 00:03:48.200]   So one interesting way to keep scaling on the data side
[00:03:48.200 --> 00:03:51.000]   is to make use of all of these other modalities, right?
[00:03:51.000 --> 00:03:55.080]   So if you can have your language model also watch all of the videos of cats in
[00:03:55.080 --> 00:03:59.160]   the world, it's gonna understand the concept of cat much better.
[00:03:59.160 --> 00:04:00.760]   And that's what we want to have in these models.
[00:04:00.760 --> 00:04:05.040]   We want them to understand the world in the same way that humans understand it.
