
[00:00:00.000 --> 00:00:17.000]   Good afternoon.
[00:00:17.000 --> 00:00:19.000]   Hello.
[00:00:19.000 --> 00:00:21.000]   Hi.
[00:00:21.000 --> 00:00:24.000]   How are you doing.
[00:00:24.000 --> 00:00:25.000]   Good.
[00:00:25.000 --> 00:00:29.000]   Very good.
[00:00:29.000 --> 00:00:42.000]   I always look forward to APL time.
[00:00:42.000 --> 00:00:47.000]   I was him. Hi, Serrata.
[00:00:47.000 --> 00:00:49.000]   Hello.
[00:00:49.000 --> 00:00:57.000]   I want to say hi to Joelle but I don't know how to pronounce his name.
[00:00:57.000 --> 00:01:01.000]   Good enough. It's Joelle.
[00:01:01.000 --> 00:01:07.000]   What country is that name from?
[00:01:07.000 --> 00:01:10.000]   It's Portuguese and Brazilian.
[00:01:10.000 --> 00:01:12.000]   Okay.
[00:01:12.000 --> 00:01:14.000]   Great.
[00:01:14.000 --> 00:01:23.000]   Yeah, I came here because of a rate test though. I mean, if I had known that you were having these meetings open, I would have come in.
[00:01:23.000 --> 00:01:39.000]   Joining.
[00:01:39.000 --> 00:01:47.000]   Hi, Radek, how are you?
[00:01:47.000 --> 00:02:05.000]   I don't hear you.
[00:02:05.000 --> 00:02:14.000]   Great. Let's start. Anybody got anything they wanted to mention or talk about?
[00:02:14.000 --> 00:02:19.000]   Hopefully Radek doesn't because his microphone's not working.
[00:02:19.000 --> 00:02:28.000]   He can use sign language or chat or something, I suppose.
[00:02:28.000 --> 00:02:36.000]   I was really worried that I maybe missed a lesson or something, but apparently there wasn't any, so I was like, oh.
[00:02:36.000 --> 00:02:40.000]   My bad. I was talking to JJ Larey, we were doing...
[00:02:40.000 --> 00:02:51.000]   MBDev2 and Quoto were coming out in like a week's time, so I decided to do a two-way ask me anything with him, and that was...
[00:02:51.000 --> 00:03:01.000]   I scheduled it for like two hours before our time, and then we ended up going on for such a long time that I didn't really...
[00:03:01.000 --> 00:03:11.000]   Yeah, I was late enough that I then thought, okay, I may as well cancel it, otherwise people might have come and gone, and then they'd miss out.
[00:03:11.000 --> 00:03:13.000]   You still don't hear me.
[00:03:13.000 --> 00:03:15.000]   Yes, we do hear you. Hello.
[00:03:15.000 --> 00:03:17.000]   Oh, you can hear me. Oh, wow. Okay.
[00:03:17.000 --> 00:03:27.000]   What button did you press, Radek? I don't know. It just started to work. The technology continues to surprise me, but I just wanted to second what Tanishk said.
[00:03:27.000 --> 00:03:37.000]   I was also worried I missed a session because I couldn't come here on Friday, and I kept looking on the forums, but what a fabulous surprise.
[00:03:37.000 --> 00:03:51.000]   I don't need to diagnose a study session, but there will be also an interview with you to look forward to. That is what a way to start a Tuesday.
[00:03:51.000 --> 00:03:59.000]   I sent Hamel a preview of the interview, and he said he really enjoyed it, so hopefully people like it.
[00:03:59.000 --> 00:04:01.000]   Cool.
[00:04:01.000 --> 00:04:11.000]   All right, I will share my screen.
