
[00:00:00.000 --> 00:00:21.000]   Hi everybody, so I'm Christopher Lovejoy. I'm a medical doctor turned AI engineer and I'm going
[00:00:21.000 --> 00:00:26.280]   to share a playbook for building a domain native LLM application. So I spent about eight years
[00:00:26.280 --> 00:00:30.120]   training and working as a medical doctor and then I spent the last seven years
[00:00:30.120 --> 00:00:35.940]   building AI systems that incorporate medical domain expertise and I did that
[00:00:35.940 --> 00:00:39.420]   at a few different startups. So I worked at a health tech startup called Sarah Care
[00:00:39.420 --> 00:00:45.240]   doing tech-enabled home care. The startup recently hit 500 million ARR, worked at
[00:00:45.240 --> 00:00:51.420]   various other startups and I currently work at Anterior. And Anterior is a New
[00:00:51.420 --> 00:00:55.380]   York-based clinician-led company. We provide clinical reasoning tools to
[00:00:55.380 --> 00:01:01.860]   automate and accelerate health insurance and healthcare administration. We serve
[00:01:01.860 --> 00:01:05.280]   about 50 million, we serve health insurance providers that cover about 50 million
[00:01:05.280 --> 00:01:10.140]   lives in the US and we spend a lot of time thinking about what does it mean to build
[00:01:10.140 --> 00:01:16.300]   a domain native LLM application, whether it's in healthcare or otherwise. And that's
[00:01:16.300 --> 00:01:21.600]   what I'm going to talk about today. And in particular our bet really is that when it
[00:01:21.600 --> 00:01:27.360]   comes to vertical AI applications, the system that you build for incorporating your domain insights is far
[00:01:27.360 --> 00:01:31.500]   more important than the sophistication of your models and your pipelines. So the limitation these
[00:01:31.500 --> 00:01:36.960]   days is not like how powerful is your model and whether it can reason to the level you need it to,
[00:01:36.960 --> 00:01:43.440]   it's more it's more can your model understand the context in that industry for that particular customer
[00:01:43.440 --> 00:01:49.920]   and perform the reason that it needs to. And the way that you enable that and the way that you kind of
[00:01:49.920 --> 00:01:56.400]   iterate quickly with your customers is by building the system around it. And there's various components to that and that's what I'm going to talk about.
[00:01:56.400 --> 00:02:02.160]   So this is the kind of a high level schematic. And we're going to go through each of these parts throughout the talk.
[00:02:02.160 --> 00:02:11.160]   As you'll see right in the middle, there's the PM. And this is, you know, in our experience, it makes sense for this to be a domain expert product manager.
[00:02:11.160 --> 00:02:16.160]   So in our context, it's clinical. And I'm going to go through this in more detail shortly.
[00:02:16.160 --> 00:02:24.680]   But first, I think it's worth taking a quick step back and asking, you know, why is it so hard to successfully apply large language models to specialised industries?
[00:02:24.680 --> 00:02:42.440]   We think it's because of the last mile problem. And what I mean by the last mile problem is this problem that I kind of touched on just now around giving the model and your kind of AI system more generally context and understanding of the specific workflow for that customer, for that industry.
[00:02:42.440 --> 00:02:59.320]   And I'm going to illustrate that with an example from a clinical case that we've processed, our AI anteriors called Florence and a 78 year old female patient presented with right knee pain.
[00:02:59.320 --> 00:03:09.360]   The doctor recommended a knee arthroscopy. And as part of deciding whether this treatment was appropriate, whether the doctor made an appropriate decision, Florence needs to answer various questions.
[00:03:09.360 --> 00:03:15.200]   One of those questions is, is there documentation of unsuccessful conservative therapy for at least six weeks?
[00:03:15.200 --> 00:03:24.840]   And, you know, on the surface of it, that might seem relatively simple. I mean, I appreciate maybe not a lot of doctors in the room, so you might not know necessarily what conservative therapy is.
[00:03:24.840 --> 00:03:30.720]   But actually, there's a lot of kind of like hidden complexity in answering a question like this.
