
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:04.800]   It's Sam from Financial Samurai, and I hope everyone is doing great.
[00:00:04.800 --> 00:00:09.760]   In this podcast, I want to talk about the bull market checklist to living your best
[00:00:09.760 --> 00:00:10.760]   life today.
[00:00:10.760 --> 00:00:15.880]   And before I get started, there's some housekeeping items I'm going through right now.
[00:00:15.880 --> 00:00:22.480]   If you're an RSS subscriber to the blog articles and have been using my FeedBurner RSS feed,
[00:00:22.480 --> 00:00:26.980]   we're going to be making some changes and no longer using FeedBurner.
[00:00:26.980 --> 00:00:38.600]   And so I suggest you go on to Feedly or BlogLovin or other types of RSS readers and input www.financialsamurai.com/feed
[00:00:38.600 --> 00:00:43.680]   to switch things up because we're creating a new feed for the podcast.
[00:00:43.680 --> 00:00:49.160]   So again, if you want to be an RSS reader, check out Feedly and BlogLovin.
[00:00:49.160 --> 00:00:52.680]   But on to the main menu, bull market checklist.
[00:00:52.680 --> 00:00:54.520]   It is amazing right now, folks.
[00:00:54.520 --> 00:00:56.560]   It cannot get better than right now.
[00:00:56.560 --> 00:01:03.440]   If you're not feeling wealthy today, I'm sorry, but you're probably never going to feel wealthier.
[00:01:03.440 --> 00:01:07.320]   Every single asset class, if you look around, is at all-time highs.
[00:01:07.320 --> 00:01:11.080]   Real estate has rebounded quite nicely since 2018.
[00:01:11.080 --> 00:01:15.600]   The S&P 500 is almost at 3,000.
[00:01:15.600 --> 00:01:20.240]   Interest rates have come down to around 2% on the 10-year bond yield.
[00:01:20.240 --> 00:01:21.440]   Things are kind of nuts.
[00:01:21.440 --> 00:01:23.760]   You're saving money and you're making money.
[00:01:23.760 --> 00:01:27.080]   So when you can do that double under, things are looking pretty good.
[00:01:27.080 --> 00:01:31.460]   So I wanted to highlight 10 things we should all be doing during this bull market to make
[00:01:31.460 --> 00:01:32.980]   the best of the situation.
[00:01:32.980 --> 00:01:34.280]   Because you know what?
[00:01:34.280 --> 00:01:38.000]   It might not last forever and it probably won't last forever.
[00:01:38.000 --> 00:01:40.440]   So number one, take advantage of lower rates.
