
[00:00:00.040 --> 00:00:03.480]   We're really excited about all the possibilities that ask David
[00:00:03.480 --> 00:00:08.100]   and potentially bring to that paper. So now we dive deeper into the technical
[00:00:08.100 --> 00:00:13.020]   magic behind Ask David. I'll turn it over to Jane who will walk through the notes and bolts of
[00:00:13.020 --> 00:00:17.520]   how we are making our vision or reality. And she might even let you know what Ask David
[00:00:17.520 --> 00:00:22.280]   stands for because I promise you I didn't name this out for myself. Thank you.
[00:00:22.280 --> 00:00:29.000]   Thank you David. So Ask David is a human-specific QA agent. So let's start with
[00:00:29.000 --> 00:00:35.000]   epidemiology analysis. First of all, we have the database of structured data. Those are the
[00:00:35.000 --> 00:00:40.000]   backcodes of many other running production systems. Prior to the introduction of an agent,
[00:00:40.000 --> 00:00:44.000]   users have access to the same data. But they have to navigate through different
[00:00:44.000 --> 00:00:49.000]   systems and manually navigate their information. An agent can introduce
[00:00:49.000 --> 00:00:58.000]   efficiency and integrated user experience. Next, we have unstructured data. As a bank, we
[00:00:58.000 --> 00:01:05.000]   have a vast amount of documentation, including emails, emails, presentations. With the rise
[00:01:05.000 --> 00:01:12.000]   of virtual readings, we also have increasing amount of video and audio recordings. How do we make
[00:01:12.000 --> 00:01:40.000]   for use of data information? The advancement of LRRM really bring in tremendous opportunity in this area. Lastly, as a research team, we have applied proprietary models and analytics, which are designed to really provide insights and visualization to help disseminate it. Previously, it will require a human expert to conduct this kind of analysis and offering a write-off survey. With the help of an agent, we can scale the
[00:01:40.000 --> 00:01:47.000]   inside generation and we can make our service available to more of our clients.
[00:01:47.000 --> 00:01:57.000]   Now imagine, being a financial advisor in a planning meeting, and your clients suddenly bring out the fund and ask you why it's terminating.
[00:01:57.000 --> 00:02:16.000]   Believe me, it's actually a very loaded question. So, in the past, you would reach out to our investment research team, talk with real debate, and then you figure out what's the strategy and the history of the fund and what's the reason behind it. What's the research about this fund? What are similar funds? How do I encourage these answers?
[00:02:16.000 --> 00:02:43.000]   specific for this fund? And you will come up with that presentation yourself manually. With the help of an agent, we can get access to the same data, analytics, insights, and visualization, writing or reading, enable the real-time decision-making. That is our vision of us, David. And you probably guessed it. David stands for data, analytics, visualization, insights, and decision-making data.
[00:02:43.000 --> 00:02:50.000]   So, this is our approach to build us, David, which is a multi-agent system.
[00:02:50.000 --> 00:02:51.000]   So, we found our supervisor agent, which acts as an officer in talks with other users, understand their intention, and try to delegate the task to one or more of the staff agents in the team. The supervisor agents have access to both short-term and long-term libraries, so that they can customize the user experience. It also knows when to invoke you in the loop to ensure the highest level of accuracy and automation.
[00:02:51.000 --> 00:02:52.000]   And also reliability.
[00:02:52.000 --> 00:02:53.000]   So, we found it.
[00:02:53.000 --> 00:02:53.000]   So, it's a multi-agent system.
[00:02:53.000 --> 00:02:53.000]   So, it's a multi-agent system.
