
[00:00:00.400 --> 00:00:10.840]   I and many listeners of this podcast are obsessed with dopamine and what is dopamine? How does it
[00:00:10.840 --> 00:00:17.200]   work? We all hear that dopamine is this molecule associated with pleasure. I think the term
[00:00:17.200 --> 00:00:22.740]   dopamine hits, like I'm getting a dopamine hit from this, from Instagram or from likes or from
[00:00:22.740 --> 00:00:32.380]   praise or from whatever is now commonly heard. What is dopamine and what are maybe some things
[00:00:32.380 --> 00:00:36.700]   about dopamine that most people don't know and probably that I don't know either?
[00:00:36.700 --> 00:00:42.320]   So dopamine is a neurotransmitter and neurotransmitters are those molecules that
[00:00:42.320 --> 00:00:48.580]   bridge the gap between two neurons. So they essentially allow one neuron, the presynaptic
[00:00:48.580 --> 00:00:56.260]   neuron to communicate with the postsynaptic neuron. Dopamine is intimately associated with
[00:00:56.260 --> 00:01:01.320]   the experience of reward, but also with movement, which I think is really interesting because
[00:01:01.320 --> 00:01:07.980]   movement and reward are linked, right? If you think about, you know, early humans, you had
[00:01:07.980 --> 00:01:15.360]   to move in order to go seek out the water or the meat or whatever it was. And even in the
[00:01:15.360 --> 00:01:20.400]   most primitive organisms, dopamine is released when food is sensed in the environment. For
[00:01:20.400 --> 00:01:30.460]   example, C. elegans, a very primitive worm. So dopamine is this really powerful, important
[00:01:30.460 --> 00:01:38.380]   molecule in the brain that helps us experience pleasure. It's not the only neurotransmitter involved
[00:01:38.380 --> 00:01:44.240]   in pleasure, but it's a really, really important one. And if you want to think about something that
[00:01:44.240 --> 00:01:49.000]   most people don't know about dopamine, which I think is really interesting is that we are always
[00:01:49.000 --> 00:01:56.580]   releasing dopamine at a kind of tonic baseline rate. And it's really the deviation from that baseline
[00:01:56.580 --> 00:02:02.440]   rather than like hits of dopamine in a vacuum that make a difference. So when we experience pleasure,
[00:02:02.440 --> 00:02:09.400]   our dopamine release goes above baseline. And likewise, dopamine can go below that tonic baseline.
[00:02:09.400 --> 00:02:17.140]   And then we experience a kind of pain. Interesting. So is it fair to say that one's baseline levels of
[00:02:17.140 --> 00:02:24.420]   dopamine, how frequently we are releasing dopamine in the absence of some, I don't know, drug or food or
[00:02:24.420 --> 00:02:31.860]   experience just sitting, being, is that associated with how happy somebody is, their kind of baseline of
[00:02:31.860 --> 00:02:39.600]   happiness or level of depression? There is evidence that shows that people who are depressed may indeed
[00:02:39.600 --> 00:02:48.000]   have lower tonic levels of dopamine. So that's a really reasonable thought. And there's some evidence
[00:02:48.000 --> 00:02:54.680]   to suggest that that may be true. The other thing that we know, and this is, you know, really kind of
[00:02:54.680 --> 00:03:04.240]   what, what the book is about, is that if we expose ourselves chronically to substances or behaviors that
[00:03:04.240 --> 00:03:12.260]   repeatedly release large amounts of dopamine in our brain's reward pathway, that we can change our tonic
[00:03:12.260 --> 00:03:18.840]   baseline and actually lower it over time as our brain tries to compensate for all of that dopamine,
[00:03:18.840 --> 00:03:23.880]   which is more really than we were designed to, to experience.
[00:03:23.880 --> 00:03:30.180]   Interesting. And is it would, is it, um, the case that our baseline levels of dopamine are set by our genetics,
[00:03:30.180 --> 00:03:31.120]   by our heredity?
[00:03:31.120 --> 00:03:37.060]   Well, I think, you know, if you think about sort of, you know, the early stages of development in infancy,
[00:03:37.060 --> 00:03:42.900]   certainly that is true. You're kind of, you know, born with probably whatever is your baseline level,
[00:03:42.900 --> 00:03:51.780]   but obviously your experiences can have a huge impact on where your, your dopamine level ultimately settles
[00:03:51.780 --> 00:04:00.180]   out. So, um, if somebody's disposition is one of, um, constant excitement and anticipation or easily excited,
[00:04:00.180 --> 00:04:04.760]   these are, I think about the kind of people where you say, "Hey, do you want to check out this new place for tacos?"
[00:04:04.760 --> 00:04:10.200]   and they're like, "Yeah, that'd be great." And other people are, um, a little more cynical, harder to budge,
