
[00:00:00.000 --> 00:00:20.320]   All right, I need everybody to take a deep breath here because I'm about to stress you
[00:00:20.320 --> 00:00:25.360]   out. But hopefully at the end, I'll relieve that stress a little bit with some ideas and
[00:00:25.360 --> 00:00:30.960]   solutions for you. So I need everybody to just think for a second. Reflect on the past 45 days
[00:00:30.960 --> 00:00:35.440]   and think about all the possible things that have gone on in our industry and all the product
[00:00:35.440 --> 00:00:41.140]   launches. Let me highlight just a few for you. Notion launched a Granola, Glean, and ChatGPT
[00:00:41.140 --> 00:00:45.760]   competitors. Figma launched a Canva, Framer, Illustrator, and Lovable competitor. Atlassian
[00:00:45.760 --> 00:00:50.460]   launched a Granola, Glean competitor plus Claude integrations. Anthropic launches a Glean competitor
[00:00:50.460 --> 00:00:55.260]   with Claude integrations. Google launches Codex, Lovable, and many other competitors. OpenAI
[00:00:55.260 --> 00:01:02.400]   bought a Cursor competitor, launches Codex, and a lot more. Right? This is just one little
[00:01:02.400 --> 00:01:08.080]   microcosm of the entire tech industry. But if you look around at all the different categories
[00:01:08.080 --> 00:01:13.880]   of software right now, the same exact thing is happening. And I haven't even mentioned the
[00:01:13.880 --> 00:01:19.000]   horde of startups, well-funded startups, that are getting funded in every single one of these
[00:01:19.000 --> 00:01:25.140]   spaces as well. And among all of this chaos, we have companies that are essentially collapsing
[00:01:25.140 --> 00:01:30.500]   in months rather than years. Chegg was one of the first ones to go that declined over 90%
[00:01:30.500 --> 00:01:35.140]   in the matter of months. And of course, Stack Overflow was one of the early victims as well
[00:01:35.140 --> 00:01:41.060]   when ChatGPT launched. So this gets to the number one question that we all need to be answering.
[00:01:41.060 --> 00:01:46.000]   Right? A lot of people at this conference are talking about how product is doing more engineering,
[00:01:46.000 --> 00:01:50.060]   engineering is doing more product work, designs doing more product work, all the tactical, all the
[00:01:50.060 --> 00:01:55.220]   technical, all of those different infrastructure. But none of that matters. None of it matters unless
[00:01:55.220 --> 00:02:00.960]   you answer this question. What do I build and why will it win? And the interesting thing about this
[00:02:00.960 --> 00:02:08.160]   is this was always the job of product. It just happens to be that over the years, it got marred in all of
[00:02:08.160 --> 00:02:14.580]   this project management, agile process, all of this type of stuff. But this is what always separated
[00:02:14.580 --> 00:02:20.640]   great product managers from good product managers and product leaders. This is Sean Clouse. He's the
[00:02:20.640 --> 00:02:25.400]   chief product officer at Confluent. He was formerly chief product officer at MuleSoft. He was the first
[00:02:25.400 --> 00:02:30.380]   head of growth at Atlassian as well. And I thought he encapsulated well. He said, you're constantly trying to
[00:02:30.380 --> 00:02:34.640]   get ahead. You're trying to find the angle. The question that has not yet been asked that gives you an
[00:02:34.640 --> 00:02:39.580]   insight that is not being actioned by other people. It doesn't just have to be an insight. It has to be
[00:02:39.580 --> 00:02:43.940]   an insight that others are not actioning. Because if you find that insight and others aren't actioning it,
[00:02:43.940 --> 00:02:51.600]   that is your competitive advantage. Now, the problem is, is that this question has gotten 10x harder.
[00:02:51.600 --> 00:02:56.820]   This is a rough map of Gettysburg. And I thought it was a good analogy because this was one of the
[00:02:56.820 --> 00:03:02.480]   bloodiest battles in the Civil War. And this kind of represents the map that we are all playing in in the
[00:03:02.480 --> 00:03:08.020]   competitive environment right now. We have fast, huge moving incumbents like Microsoft, Google,
[00:03:08.020 --> 00:03:13.340]   and Meta. There are these new huge horizontal platforms like ChatGPT and Anthropic that are
[00:03:13.340 --> 00:03:19.280]   eating up major use cases. We have foundational shifts in the technology landscape, not on a yearly
[00:03:19.280 --> 00:03:26.080]   basis, on a monthly basis. And there are hordes and hordes of startups being funded, including five or
[00:03:26.080 --> 00:03:30.560]   six in every single category that has traction by YC, every single cohort.
[00:03:30.560 --> 00:03:40.040]   This is you sitting in the middle of all of this, right? And the question is, is how in the world do you find a
[00:03:40.040 --> 00:03:47.520]   seam among all of these players to potentially find some traction and win? That's the question we have to answer
[00:03:47.520 --> 00:03:53.000]   before any of the other stuff like technology, infrastructure, or even what our roles are
[00:03:53.000 --> 00:03:59.380]   in the organization. I'm Brian. I'm founder and CEO of Reforge. And if you notice, I have a little bit
[00:03:59.380 --> 00:04:04.220]   more gray hair and wrinkles from this picture because I've been around in tech for about 25 years, been doing
[00:04:04.220 --> 00:04:10.440]   startups the whole time. I played in some pretty competitive environments. I helped HubSpot launch their CRM
[00:04:10.440 --> 00:04:17.140]   almost a decade ago. And at that time, that was a crazy competitive category. People thought we were
[00:04:17.140 --> 00:04:22.340]   bonkers. My guess is if I took a raise of hand, probably over 50% of your companies are using that CRM
[00:04:22.340 --> 00:04:26.820]   today. Now, that was a competitive environment. But what I'm experiencing now and what we're all
