
[00:00:00.500 --> 00:00:03.360]   JASPREET BOOTH:
[00:00:03.360 --> 00:00:16.480]   Hi, I'm Jaspreet.
[00:00:16.480 --> 00:00:18.460]   I'm a senior staff engineer at Intuit.
[00:00:18.460 --> 00:00:21.040]   I work on Gen AI for TurboTax.
[00:00:21.040 --> 00:00:22.760]   And today, we'll be talking about how
[00:00:22.760 --> 00:00:28.240]   we use LLMs at Intuit to help you understand your taxes better.
[00:00:28.240 --> 00:00:33.820]   So I think just to understand the scale, right?
[00:00:33.820 --> 00:00:36.300]   Intuit TurboTax successfully processed
[00:00:36.300 --> 00:00:40.600]   44 million tax returns for tax year 23.
[00:00:40.600 --> 00:00:42.800]   And that's really the scale we're going for.
[00:00:42.800 --> 00:00:45.680]   We want everybody to have high confidence in how
[00:00:45.680 --> 00:00:48.480]   their taxes are filed and understand them,
[00:00:48.480 --> 00:00:52.640]   that they're getting the best deductions that they can.
[00:00:52.640 --> 00:01:01.440]   So this is the experience that we work on.
[00:01:01.440 --> 00:01:04.320]   So you go into TurboTax.
[00:01:04.320 --> 00:01:06.520]   You enter your information.
[00:01:06.520 --> 00:01:09.980]   Then you go through what credits you are eligible for and so on.
[00:01:09.980 --> 00:01:14.300]   And we basically help you expand on to how
[00:01:14.300 --> 00:01:16.400]   you are getting the tax breaks that you are,
[00:01:16.400 --> 00:01:18.900]   help you understand them better, and so on.
[00:01:18.900 --> 00:01:26.760]   And this is another example.
[00:01:26.760 --> 00:01:29.280]   This is basically the overall tax outcome.
[00:01:29.280 --> 00:01:31.500]   Like, what is your overall refund for this year?
[00:01:31.500 --> 00:01:41.340]   Now, Intuit's Gen AI experiences are built on top of our
[00:01:41.340 --> 00:01:42.360]   propriety Gen OS.
[00:01:42.360 --> 00:01:45.700]   That's the generative iOS that we have built as a platform
[00:01:45.700 --> 00:01:46.820]   capability.
[00:01:46.820 --> 00:01:52.980]   And it has a lot of different pieces that you see over here.
[00:01:52.980 --> 00:01:56.380]   The key goal is that we found that a lot of the Gen OS
[00:01:56.380 --> 00:01:59.000]   tooling that comes out of the box is not supporting
[00:01:59.000 --> 00:02:00.140]   all our use cases.
[00:02:00.140 --> 00:02:02.780]   We want to-- most prominently working in tax.
[00:02:02.780 --> 00:02:04.660]   We are in the regulatory business.
[00:02:04.660 --> 00:02:09.080]   Safety, security is very, very important.
[00:02:09.080 --> 00:02:10.420]   So we want to focus on that.
[00:02:10.420 --> 00:02:13.300]   At the same time, we want to build a piece that a company
[00:02:13.300 --> 00:02:15.800]   at the scale of Intuit can use end to end,
[00:02:15.800 --> 00:02:17.260]   a really large scale.
[00:02:17.260 --> 00:02:19.880]   So that's where Gen OS comes in.
[00:02:19.880 --> 00:02:21.020]   We have different pieces.
[00:02:21.020 --> 00:02:23.760]   There's on the UI side, which is the Gen UX.
[00:02:23.760 --> 00:02:24.860]   Then there's orchestrator.
[00:02:24.860 --> 00:02:27.260]   That's basically the piece where different teams are
[00:02:27.260 --> 00:02:29.480]   working on different components, different pieces,
[00:02:29.480 --> 00:02:30.620]   different LLM solutions.
[00:02:30.620 --> 00:02:32.000]   How do you find the right solution
[00:02:32.000 --> 00:02:33.800]   to answer the right question?
[00:02:33.800 --> 00:02:37.040]   And Intuit calls the entire experience
[00:02:37.040 --> 00:02:39.380]   that we powered through this Intuit Assist.
[00:02:39.380 --> 00:02:42.380]   So I'm going to deep dive into specific pieces
[00:02:42.380 --> 00:02:45.360]   that our team used to build out the experience
[00:02:45.360 --> 00:02:46.200]   for terror attacks.
[00:02:46.200 --> 00:02:54.120]   So as I said earlier, we have millions and millions of customers
[00:02:54.120 --> 00:02:54.860]   who are coming in.
[00:02:54.860 --> 00:02:56.920]   So we're trying to build a scalable solution that
[00:02:56.920 --> 00:02:58.440]   can work end to end.
[00:02:58.440 --> 00:02:59.660]   So on the slide here, I'm basically
[00:02:59.660 --> 00:03:01.660]   going to talk about different pieces that
[00:03:01.660 --> 00:03:03.820]   are powering the experience.
[00:03:03.820 --> 00:03:05.820]   Of course, to begin with, the first iteration
[00:03:05.820 --> 00:03:09.800]   was the prompt tooling, basically a prompt-based solution
[00:03:09.800 --> 00:03:12.700]   to try and go through what's your tax situation going on.
[00:03:12.700 --> 00:03:15.040]   Let's take an example of what I was showing earlier, which
[00:03:15.040 --> 00:03:16.660]   was your tax refund.
[00:03:16.660 --> 00:03:19.540]   So your tax refund has many constituents.
[00:03:19.540 --> 00:03:20.660]   These are your deductions.
[00:03:20.660 --> 00:03:21.460]   These are your credits.
[00:03:21.460 --> 00:03:24.860]   The standard deduction, W2B holding, and so on.
[00:03:24.860 --> 00:03:27.260]   So we want to make sure that you understand all of that.
[00:03:27.260 --> 00:03:30.280]   So we built a prompt-based solution around it
[00:03:30.280 --> 00:03:31.940]   and work from there.
[00:03:31.940 --> 00:03:34.240]   The production model that we went
[00:03:34.240 --> 00:03:37.500]   with is Claude for this use case.
[00:03:37.500 --> 00:03:41.580]   Intuit is one of the biggest users of Claude.
[00:03:41.580 --> 00:03:44.360]   We had a multimillion-dollar contract for this year as well.
[00:03:44.360 --> 00:03:46.700]   And you'll also see OpenAI over there.
[00:03:46.700 --> 00:03:50.620]   So OpenAI is where we used for other question and answering.
[00:03:50.620 --> 00:03:52.360]   So you'll see on the slide, we're talking
[00:03:52.360 --> 00:03:54.100]   about static and dynamic type of queries.
[00:03:54.100 --> 00:03:58.480]   So static queries would be what I was showing earlier,
[00:03:58.480 --> 00:04:01.660]   that we know you are looking at your summary.
[00:04:01.660 --> 00:04:04.260]   You want to see what happened overall.
[00:04:04.260 --> 00:04:05.740]   So that would be a static prompt.
[00:04:05.740 --> 00:04:08.740]   Think of it like a prepared statement.
[00:04:08.740 --> 00:04:11.240]   However, the additional information that we're gathering
[00:04:11.240 --> 00:04:13.660]   is the tax info for when the user comes in.
[00:04:13.660 --> 00:04:16.960]   Now, dynamic query would be users have questions
[00:04:16.960 --> 00:04:18.880]   about the tax situation.
[00:04:18.880 --> 00:04:20.360]   Can I deduct my dog?
[00:04:20.360 --> 00:04:22.700]   Well, you can't, but you can try.
[00:04:22.700 --> 00:04:24.820]   So things like that, that's what we're
[00:04:24.820 --> 00:04:27.980]   trying to answer more dynamically.
[00:04:27.980 --> 00:04:30.680]   OpenAI, as GPT-4 mini, had been the model of choice
[00:04:30.680 --> 00:04:31.820]   for until a few months ago.
[00:04:31.820 --> 00:04:34.120]   We are now iterating on the newer versions.
[00:04:34.120 --> 00:04:36.620]   Of course, models change every year--
[00:04:36.620 --> 00:04:38.600]   every month, I should say.
[00:04:38.600 --> 00:04:41.900]   So we're trying to focus on that.
[00:04:41.900 --> 00:04:43.620]   Same for the dynamic piece again.
[00:04:43.620 --> 00:04:47.520]   Another important aspect is tax information.
[00:04:47.520 --> 00:04:49.680]   IRS changes forms every year.
[00:04:49.680 --> 00:04:52.920]   Intuit has proprietary tax information, tax engines
[00:04:52.920 --> 00:04:54.240]   that we want to use.
[00:04:54.240 --> 00:04:56.860]   So we have a rack-based and, of course,
[00:04:56.860 --> 00:04:59.200]   graph-rack-based solutions around it as well.
[00:04:59.200 --> 00:05:03.240]   So they help us answer users' questions much better.
[00:05:03.240 --> 00:05:06.420]   And one thing that we also piloted recently
[00:05:06.420 --> 00:05:08.700]   was actually having a fine-tuned LLM.
[00:05:08.700 --> 00:05:11.880]   So we went to Claude because that's
[00:05:11.880 --> 00:05:13.620]   the primary one we are using there.
[00:05:13.620 --> 00:05:15.780]   And we stuck to static queries, and we tested it out.
[00:05:15.780 --> 00:05:18.840]   And it does well.
[00:05:18.840 --> 00:05:20.520]   It definitely does well.
[00:05:20.520 --> 00:05:22.020]   Quality is there.
[00:05:22.020 --> 00:05:25.200]   It takes effort to fine-tune the model.
[00:05:25.200 --> 00:05:28.140]   However, we found that it was a little too specialized
[00:05:28.140 --> 00:05:29.820]   in the specific use case.
[00:05:29.820 --> 00:05:33.180]   And one thing I want to highlight a deep dive further on
[00:05:33.180 --> 00:05:34.340]   is evals.
[00:05:34.340 --> 00:05:38.840]   So you want to make sure that we evaluate everything we do.
[00:05:38.840 --> 00:05:40.900]   You want to make sure what's happening in production.
[00:05:40.900 --> 00:05:43.360]   You want to make sure in the development lifecycle,
[00:05:43.360 --> 00:05:45.320]   you're doing everything you need to do to make sure
[00:05:45.320 --> 00:05:48.620]   that you have the best prompts out there.
[00:05:48.620 --> 00:05:52.160]   And with that, moving on to the next slide.
[00:05:52.160 --> 00:05:54.440]   So I'll just summarize it a little bit.
