
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.040]   Welcome, friends, to this episode
[00:00:06.040 --> 00:00:08.580]   of the Everyday Educator podcast.
[00:00:08.580 --> 00:00:10.280]   I'm your host, Lisa Bailey,
[00:00:10.280 --> 00:00:13.940]   and I am excited to spend some time with you today
[00:00:13.940 --> 00:00:17.360]   as we encourage one another, learn together,
[00:00:17.360 --> 00:00:20.340]   and ponder the delights and challenges
[00:00:20.340 --> 00:00:23.720]   that make homeschooling the adventure of a lifetime.
[00:00:23.720 --> 00:00:25.960]   Whether you're just considering
[00:00:25.960 --> 00:00:28.120]   this homeschooling possibility
[00:00:28.120 --> 00:00:32.220]   or deep into the daily delight of family learning,
[00:00:32.220 --> 00:00:36.140]   I believe you'll enjoy thinking along with us.
[00:00:36.140 --> 00:00:40.980]   But don't forget, although this online community is awesome,
[00:00:40.980 --> 00:00:45.980]   you'll find even closer support in a local CC community.
[00:00:45.980 --> 00:00:50.420]   So go to classicalconversations.com
[00:00:50.420 --> 00:00:54.180]   and find a community near you today.
[00:00:55.380 --> 00:00:58.800]   Well, listeners, I'm so excited to be with you today.
[00:00:58.800 --> 00:01:02.480]   As we begin the second semester,
[00:01:02.480 --> 00:01:07.480]   as we're all kinda getting back into our routines, we hope,
[00:01:07.480 --> 00:01:09.800]   after the long Christmas break,
[00:01:09.800 --> 00:01:13.920]   I was thinking the other day,
[00:01:13.920 --> 00:01:18.920]   so many of us fully believe that big goals
[00:01:18.920 --> 00:01:24.360]   or big dreams have to involve big plans
[00:01:24.480 --> 00:01:28.600]   and big changes and big steps.
[00:01:28.600 --> 00:01:31.620]   Somehow, we have bought into the thinking
[00:01:31.620 --> 00:01:36.620]   that being successful involves changing our whole mindset
[00:01:36.620 --> 00:01:39.460]   or shifting our whole way of living
[00:01:39.460 --> 00:01:41.640]   and that it has to be really hard
[00:01:41.640 --> 00:01:44.440]   and that there are all these steps that you have to follow.
[00:01:44.440 --> 00:01:47.800]   Well, I am here to tell you that that kind of thinking
[00:01:47.800 --> 00:01:52.140]   can discourage us before we even get started,
[00:01:52.140 --> 00:01:55.400]   especially in the gray days of January
[00:01:55.400 --> 00:02:00.400]   or really, y'all, any time that we have gotten off track.
[00:02:00.400 --> 00:02:05.960]   So today, I want to explore a different way of thinking.
[00:02:05.960 --> 00:02:11.560]   I want us to consider the power of small habits
[00:02:11.560 --> 00:02:15.000]   on our roads to success.
[00:02:15.000 --> 00:02:17.480]   I have one of my bestest friends,
[00:02:17.480 --> 00:02:21.280]   one of my best classical educator friends with me today,
[00:02:21.280 --> 00:02:25.720]   and we are gonna be really honest right in front of you
[00:02:25.720 --> 00:02:28.260]   and talk about the power of small habits.
[00:02:28.260 --> 00:02:29.860]   Kelly Wilt, I am so glad
[00:02:29.860 --> 00:02:32.000]   that you agreed to be with me today.
[00:02:32.000 --> 00:02:33.460]   - Oh, absolutely, Lisa.
[00:02:33.460 --> 00:02:36.480]   This is a topic that, as our homeschooling journey
