
[00:00:00.800 --> 00:00:10.840]   TAN BANG: Hello, everyone.
[00:00:10.840 --> 00:00:15.200]   My name is Tan, and it's very hard to follow a full-blown
[00:00:15.200 --> 00:00:16.800]   researcher from UC Berkeley, like,
[00:00:16.800 --> 00:00:20.360]   figuring out how to do the best prompt in the world.
[00:00:20.360 --> 00:00:22.560]   But I'm excited to talk about NewBank here.
[00:00:22.560 --> 00:00:23.640]   My name is Tan.
[00:00:23.640 --> 00:00:26.680]   As I said, I have been at NewBank for the last 40 years.
[00:00:26.680 --> 00:00:30.340]   We are building the AI private banker for all of our customers.
[00:00:30.340 --> 00:00:34.180]   And the idea is that people are notoriously
[00:00:34.180 --> 00:00:36.300]   bad at making financial decisions.
[00:00:36.300 --> 00:00:38.180]   Like, which subscription to cancel
[00:00:38.180 --> 00:00:40.580]   is a difficult decision for many people itself.
[00:00:40.580 --> 00:00:44.960]   So imagine how you think about loan investment,
[00:00:44.960 --> 00:00:47.400]   especially the situation like NewBank,
[00:00:47.400 --> 00:00:51.860]   where we are the third largest bank in Brazil, the largest--
[00:00:51.860 --> 00:00:54.360]   the fastest growing bank in Mexico and Colombia.
[00:00:54.360 --> 00:00:57.660]   We have given first credit card access to 21 million people
[00:00:57.660 --> 00:01:00.120]   in Brazil in the last five years alone.
[00:01:00.120 --> 00:01:02.080]   And just to be sure, these numbers are actually
[00:01:02.080 --> 00:01:04.860]   outdated because we just released our numbers yesterday
[00:01:04.860 --> 00:01:06.920]   in our earnings call.
[00:01:06.920 --> 00:01:09.020]   And these all numbers have gone up since then.
[00:01:09.020 --> 00:01:12.400]   But the interesting part is that from the very beginning,
[00:01:12.400 --> 00:01:16.060]   we ran into the world of ChatGPT.
[00:01:16.060 --> 00:01:17.540]   We got into it.
[00:01:17.540 --> 00:01:20.400]   And we have been working very closely with Langchain, Langsmith,
[00:01:20.400 --> 00:01:21.580]   and all the teams here.
[00:01:21.580 --> 00:01:24.400]   And I'm excited to talk about a few things we have built
[00:01:24.400 --> 00:01:25.580]   and how we have built it.
[00:01:25.580 --> 00:01:31.240]   And also how you can evaluate them effectively.
[00:01:31.240 --> 00:01:33.420]   So just to be clear, I'm going to talk
[00:01:33.420 --> 00:01:34.880]   about two different applications here.
[00:01:34.880 --> 00:01:36.060]   First one is the chatbot.
[00:01:36.060 --> 00:01:37.540]   No surprise.
[00:01:37.540 --> 00:01:40.340]   We have 120 million almost users, right?
[00:01:40.340 --> 00:01:44.800]   And we get almost 8 and 1/2 million contacts every month.
[00:01:44.800 --> 00:01:48.640]   And out of that, Chat is our main channel.
[00:01:48.640 --> 00:01:50.980]   And in that channel right now, 60% of them
[00:01:50.980 --> 00:01:53.280]   are first dealt with LLMs.
[00:01:53.280 --> 00:01:55.140]   The results are improving.
[00:01:55.140 --> 00:01:57.580]   And we are building agents for different situations.
[00:01:57.580 --> 00:01:59.260]   And I'll talk about them.
[00:01:59.260 --> 00:02:01.140]   And the next one is actually more interesting.
[00:02:01.140 --> 00:02:02.940]   And I'll talk about these two applications.
[00:02:02.940 --> 00:02:05.980]   Because in the world of finance, as you heard from Hervey,
[00:02:05.980 --> 00:02:09.980]   that the complexity of the legal matters are important.
[00:02:09.980 --> 00:02:13.440]   For finance, every single dollar, every single penny matters.
[00:02:13.440 --> 00:02:16.000]   And that is important because it creates trust.
[00:02:16.000 --> 00:02:18.860]   It makes sure the users are happy with our service,
[00:02:18.860 --> 00:02:19.920]   one and so forth.
[00:02:19.920 --> 00:02:22.740]   So just for a second, let's look at this application.
[00:02:22.740 --> 00:02:23.900]   So in this application, you can see
[00:02:23.900 --> 00:02:27.200]   that we have built an agentic system
[00:02:27.200 --> 00:02:32.360]   that can do money transfer over voice, image, and chat
[00:02:32.360 --> 00:02:34.360]   at very low inaccuracy.
[00:02:34.360 --> 00:02:35.960]   That will show you the numbers really soon.
[00:02:35.960 --> 00:02:38.460]   Here, you can see that the user is connecting their account
[00:02:38.460 --> 00:02:40.220]   with WhatsApp.
[00:02:40.220 --> 00:02:42.640]   We are asking them multiple times about their password,
[00:02:42.640 --> 00:02:45.020]   et cetera, to make sure the right contact.
[00:02:45.020 --> 00:02:46.760]   And once they do all of them, they
[00:02:46.760 --> 00:02:50.480]   can give a very simple instruction in a bit that, hey,
[00:02:50.480 --> 00:02:54.060]   make a transfer to Jose for 100 reais.
[00:02:54.060 --> 00:02:56.960]   We confirm this is the one that users want.
[00:02:56.960 --> 00:03:01.140]   And then once it confirms, it makes the transfer.
[00:03:01.140 --> 00:03:02.860]   Early it is to take around 70 seconds
[00:03:02.860 --> 00:03:05.140]   to make this transfer to nine different screens.
[00:03:05.140 --> 00:03:07.220]   It's taking less than 30 seconds now.
[00:03:07.220 --> 00:03:12.640]   And you can see the CSAT is more than 90%, less than 0.5%
[00:03:12.640 --> 00:03:14.740]   inaccuracy, so on and so forth.
[00:03:14.740 --> 00:03:16.660]   And we are doing that at scale.
[00:03:16.660 --> 00:03:19.820]   And I will talk about that where evaluations matter
[00:03:19.820 --> 00:03:21.640]   and what kind of things matter.
[00:03:21.640 --> 00:03:25.380]   So just to be on the same page, the experience
[00:03:25.380 --> 00:03:27.500]   of building the chatbot and building an application
[00:03:27.500 --> 00:03:29.020]   like this is very different.
[00:03:29.020 --> 00:03:30.840]   Because you need to iterate.
[00:03:30.840 --> 00:03:32.760]   But at the same time, you need to think
[00:03:32.760 --> 00:03:36.240]   about how to not build one-off solution.
[00:03:36.240 --> 00:03:39.520]   Because if you are building it for one application of this kind,
[00:03:39.520 --> 00:03:42.720]   imagine in a finance world, you are doing hundreds of these operations
[00:03:42.720 --> 00:03:45.000]   to make these changes, or to make money movement,
[00:03:45.000 --> 00:03:46.800]   or make micro decisions.
[00:03:46.800 --> 00:03:50.340]   Then you are building hundreds of separate systems and agents, which
[00:03:50.340 --> 00:03:52.440]   is just not scalable.
[00:03:52.440 --> 00:03:57.140]   So taking a step back, what does Newbank LLM ecosystem look like?
[00:03:57.140 --> 00:04:02.080]   Newbank LLM ecosystem has four different layers.
[00:04:02.080 --> 00:04:04.540]   The first one is core engine, testing and evals, tools,
[00:04:04.540 --> 00:04:05.940]   and developer experience.
[00:04:05.940 --> 00:04:08.720]   I don't have time, unfortunately, to go over each one of them.
[00:04:08.720 --> 00:04:11.060]   But you can see that in three of them right now,
[00:04:11.060 --> 00:04:13.880]   we are working very closely with LangChain and LangSmith.
[00:04:13.880 --> 00:04:15.760]   And testing and evals is something we'll talk about.
[00:04:15.760 --> 00:04:19.000]   LLM as a judge, and also online quality evaluation.
[00:04:19.000 --> 00:04:20.900]   And also in the developer experience side,
[00:04:20.900 --> 00:04:25.000]   we are using LangGraph and from the very beginning from LangChain,
[00:04:25.000 --> 00:04:26.020]   now to LangGraph.
[00:04:26.020 --> 00:04:28.040]   We are using all of them.
[00:04:28.040 --> 00:04:31.940]   Now, how do we use it and why it matters?
[00:04:31.940 --> 00:04:32.480]   Let's see.
[00:04:32.480 --> 00:04:37.640]   OK, so the first thing that happens is that without LangGraph,
[00:04:37.640 --> 00:04:40.400]   we cannot do more faster iterations
[00:04:40.400 --> 00:04:45.320]   and cannot make it very standard that what's
[00:04:45.320 --> 00:04:49.080]   a canonical approach we can take to build agentic systems
[00:04:49.080 --> 00:04:51.500]   or any kind of lag systems even.
[00:04:51.500 --> 00:04:54.240]   So the learnings there is that complex LLM flows
[00:04:54.240 --> 00:04:56.240]   can be hard to analyze.
[00:04:56.240 --> 00:04:59.360]   Centralized LLM logs and repository and graphical interface
[00:04:59.360 --> 00:05:01.420]   helps people to make faster decisions.
[00:05:01.420 --> 00:05:04.360]   Because we don't want only our developers to make decisions.
[00:05:04.360 --> 00:05:08.640]   We want our business users to also contribute to it.
