
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:29.000]   Exclusions apply.
[00:00:29.000 --> 00:00:30.000]   See website for details.
[00:00:30.000 --> 00:00:34.000]   What if I gave you a $200,000 budget and free reign
[00:00:34.000 --> 00:00:36.000]   over your child's education?
[00:00:36.000 --> 00:00:38.000]   What would you do?
[00:00:38.000 --> 00:00:41.000]   Well, today I'm going to tell you what I would do.
[00:00:41.000 --> 00:00:44.000]   [MUSIC PLAYING]
[00:00:57.000 --> 00:00:59.000]   Welcome to the Radical Personal Finance Podcast.
[00:00:59.000 --> 00:01:03.000]   My name is Joshua Sheets, and today is Monday, November 10,
[00:01:03.000 --> 00:01:05.000]   2014.
[00:01:05.000 --> 00:01:07.000]   Today we're going to talk about education--
[00:01:07.000 --> 00:01:10.000]   elementary school, middle school, high school,
[00:01:10.000 --> 00:01:11.000]   those years.
[00:01:11.000 --> 00:01:14.000]   And I'm going to share with you some of my plans
[00:01:14.000 --> 00:01:16.000]   for my son's education and share with you
[00:01:16.000 --> 00:01:18.000]   some of the philosophy and the thoughts and the ideas
[00:01:18.000 --> 00:01:22.000]   that I have behind cracking that $200,000 question.
[00:01:22.000 --> 00:01:25.000]   [MUSIC PLAYING]
[00:01:26.000 --> 00:01:28.000]   Now, I've started a lot of series on this show.
[00:01:28.000 --> 00:01:31.000]   I've started an estate planning series, an insurance series,
[00:01:31.000 --> 00:01:33.000]   an investment series, education series.
[00:01:33.000 --> 00:01:35.000]   I am determined to finish one of these series.
[00:01:35.000 --> 00:01:37.000]   Some of them, I think, are going to be series of 50, 60,
[00:01:37.000 --> 00:01:38.000]   100, 1,000 episodes.
[00:01:38.000 --> 00:01:39.000]   Who knows?
[00:01:39.000 --> 00:01:42.000]   But I'm determined to finish this education series.
[00:01:42.000 --> 00:01:44.000]   And so today is a continuation of that series.
[00:01:44.000 --> 00:01:46.000]   And today I'm going to be sharing with you
[00:01:46.000 --> 00:01:49.000]   my ideas for some of the thoughts
[00:01:49.000 --> 00:01:52.000]   and the considerations that I have
[00:01:52.000 --> 00:01:55.000]   in designing my son's education.
[00:01:55.000 --> 00:01:58.000]   And if you are interested in today's show,
[00:01:58.000 --> 00:02:00.000]   you would probably want to start by listening
[00:02:00.000 --> 00:02:04.000]   to episode 89 and 90 of the show, which
[00:02:04.000 --> 00:02:07.000]   I've entitled those episodes, "The Untold History of School
[00:02:07.000 --> 00:02:09.000]   That You Probably Don't Know."
[00:02:09.000 --> 00:02:12.000]   That is some important historical background
[00:02:12.000 --> 00:02:14.000]   and context for today's show.
[00:02:14.000 --> 00:02:16.000]   So if you haven't listened to those shows, start there.
[00:02:16.000 --> 00:02:21.000]   Go to radicalpersonalfinance.com/89 and listen to those episodes.
[00:02:21.000 --> 00:02:26.000]   Go to radicalpersonalfinance.com/89/90 and listen to that show for today
[00:02:26.000 --> 00:02:27.000]   to make sense.
