
[00:00:00.040 --> 00:00:09.480]   Winds
[00:00:09.480 --> 00:00:27.540]   all, I,
[00:00:28.620 --> 00:00:57.480]   find
[00:00:57.480 --> 00:00:58.380]  iam, ',,,ISS B I with the-T. moins round, en,rek, nag,,,,,,,,,,, as just about the person. No I'm deadlines Le's
[00:00:58.480 --> 00:01:08.900]  �
[00:01:08.900 --> 00:01:27.360]   stained the is all
[00:01:27.420 --> 00:01:35.040]  otta
[00:01:35.040 --> 00:01:37.700]   9,,,,
[00:01:56.320 --> 00:02:04.320]   in
[00:02:04.320 --> 00:02:06.720]   do. "
[00:02:06.720 --> 00:02:10.120]  学, ,,,,,
[00:02:10.120 --> 00:02:23.000]   tempsowych " " .e " nevernia 금 pocket density listen them from give him the jump consider the y me, and, the, und, you, what, you, you, or, we, or, you, you, or, and, all, sweats a,б, cricht,żenie, implied, glowing's, Eastern, א�, wouldn't, weigh, end, Bluetooth, achieve an, raz, cuent, С. Xuan.�,. đâu, en,. Alles,. is,.視,......,..., Library,...,.,..,....,.,..,.,be, equals;. isn't. or "T.Guest.�. only--G. Young � infiniteE
[00:02:23.080 --> 00:02:28.720]   compresses. Do you think there is an objective reality, or is everything just useful models?
[00:02:28.720 --> 00:02:35.680]   Like underneath it all, is there an actual thing that we're constructing models for?
[00:02:35.680 --> 00:02:41.200]   I don't know. I was hoping you would know. I don't think it matters.
[00:02:41.200 --> 00:02:46.160]   I mean this kind of connects to the models of constructive reality with machine learning.
[00:02:46.160 --> 00:02:51.040]   Right? Sure. Like, is it just nice to have useful
[00:02:51.040 --> 00:02:52.960]   approximations of the world's, um,
[00:02:52.960 --> 00:03:22.980]  ,
[00:03:22.980 --> 00:03:22.980]   Yeah.
[00:03:22.980 --> 00:03:22.980]   Yeah.
[00:03:22.980 --> 00:03:22.980]   Yeah.
[00:03:22.980 --> 00:03:22.980]   Yeah.
[00:03:23.020 --> 00:03:32.660]   just
[00:03:32.660 --> 00:03:42.380]   beneath in,,,, provide But It I seems хорошо
[00:03:52.280 --> 00:04:21.540]   I am declining and the model is growing. What is the metric by which you measure better or worse in that if you're competing with yourself? Maybe you can just play a game where you have the George Haas answer and the George Haas model answer and ask which people prefer. People close to you or strangers? Either one. It will hurt more when it's people close to me, but both will be overtaken by the George Haas model. It'd be quite painful, right? Loved ones, family members would rather have the model over
[00:04:21.560 --> 00:04:50.820]   and you. Or like significant others. Or rather sext with the large language model version of you. Especially when it's fine-tuned to their preferences. Yeah. Well, that's what we're doing in a relationship, right? We're just fine-tuning ourselves, but we're inefficient with it because we're selfish and greedy and so on. Our language models can fine-tune more efficiently, more selflessly.
[00:04:50.860 --> 00:05:00.880]   знаком
[00:05:00.880 --> 00:05:19.960]   circuit. I do守
[00:05:20.720 --> 00:05:30.440]   conducted
[00:05:30.440 --> 00:05:39.500]   may menu it
[00:05:39.500 --> 00:05:47.800]   we I I End was. I. I. I, and, and, and, and, and, and, and, let, and,аст, sanaj,�, equ変, er,grund, secret, suffers,ождения, money, recognize, cookies, indicator, student, X. I. Lily,. heard, way. un ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...e ... dent I ...imetema Some ba예...ed couldn recursos recognise started motivating spend ich shortcuts lawnssER " SS but play got only relacion gall réal es因 contain aacre chicken person does
[00:05:47.900 --> 00:06:15.080]   or jealous or all this kind of stuff. And of course it can and it will. But all that difficulty at that point is artificial. There's no more real difficulty. Okay, what's the difference between real and artificial? Artificial difficulty is a difficulty that's constructed or could be turned off with a knob. Real difficulty is like you're in the woods and you've got to survive. So if something cannot be turned off with a knob, it's real?
[00:06:15.080 --> 00:06:15.080]   Yeah, I think so.
[00:06:15.080 --> 00:06:44.280]  , or I mean, you can't get out of this by smashing the knob with a hammer.
[00:06:44.280 --> 00:06:44.480]   I mean, maybe you kind of can.
[00:06:44.480 --> 00:06:44.780]   You know, I ...
[00:06:44.780 --> 00:06:45.080]   into the wild when, you know, Alexander Supertramp, he wants to explore something that's never been explored before. But it's the '90s, everything's been explored. So if he's like, well, I'm just not going to bring a map.
[00:06:45.080 --> 00:06:45.080]   Yeah. I mean, no, you're not exploring. You should have brought a map, dude. You died. There was a bridge a mile from where you were camping. How does that connect to the message?
[00:06:45.120 --> 00:06:48.920]   design
[00:06:48.920 --> 00:06:57.020]   thank reduces
[00:06:57.020 --> 00:07:04.340]   worked et it is thank
[00:07:13.760 --> 00:07:42.400]   I don't think there's a clear line there. I think it's all kind of just fuzzy. I don't know. I mean, I don't think I'm conscious. I don't think I'm anything. I think I'm just a computer program.
[00:07:42.400 --> 00:07:42.400]   I think I'm just a computer program.
[00:07:42.420 --> 00:08:11.060]   So it's all computation. Everything running in your head is just a computation. Everything running in the universe is computation, I think. I believe the extended church time thesis.
[00:08:11.060 --> 00:08:11.060]   Yeah, but there seems to be an embodiment to your particular computation. Like there's a consistency. Well, yeah, but I mean, models have consistency too. Models that have been RLHF'd will continually say, you know, like, well, how do I murder ethnic minorities? Oh, well, I can't let them know that I'm a Christian.
[00:08:11.100 --> 00:08:21.160]   find
[00:08:21.160 --> 00:08:39.200]  , club, hold the kind with
[00:08:39.720 --> 00:08:50.020]  ind
[00:08:50.020 --> 00:08:58.640]   in, be,
[00:09:08.780 --> 00:09:37.800]   잊은.
[00:09:37.800 --> 00:09:37.800]   I think that's a great question.
[00:09:37.800 --> 00:09:37.800]   I think that's a great question.
[00:09:37.800 --> 00:09:37.800]   I think that's a great question.
[00:09:37.800 --> 00:09:37.800]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:09:37.800 --> 00:09:37.800]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:09:37.800 --> 00:09:37.800]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:09:37.800 --> 00:09:37.800]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:09:37.840 --> 00:10:06.940]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:10:06.940 --> 00:10:07.000]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:10:07.000 --> 00:10:07.040]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:10:07.040 --> 00:10:07.060]   So to ask the question about why, I don't know, it's just some quirk of evolution, right? I don't think there's anything particularly special about where I ended up.
[00:10:07.080 --> 00:10:13.280]   I have a SoundCloud I wrap and I tried to get CapturePT to help me write raps.
[00:10:13.280 --> 00:10:16.240]   And the raps that it wrote sounded like YouTube comment raps.
[00:10:16.240 --> 00:10:18.340]   You know, you can go on any rap beat online
[00:10:18.340 --> 00:10:20.380]   and you can see what people put in the comments.
[00:10:20.380 --> 00:10:23.880]   And it's the most mid quality rap you can find.
[00:10:23.880 --> 00:10:24.860]   - Is mid good or bad?
[00:10:24.860 --> 00:10:25.700]   - Mid is bad.
[00:10:25.700 --> 00:10:26.540]   - Mid is bad.
[00:10:26.540 --> 00:10:27.840]   - Like mid, it's like...
[00:10:27.840 --> 00:10:29.920]   - Every time I talk to you, I learn new words.
[00:10:29.920 --> 00:10:30.760]   - Mid.
[00:10:30.760 --> 00:10:31.600]   - Mid, yeah.
[00:10:31.600 --> 00:10:36.160]   - I was like, is it like basic?
[00:10:36.160 --> 00:10:37.000]   Is that what mid means?
[00:10:37.940 --> 00:11:07.040]   - Yeah.
[00:11:07.040 --> 00:11:07.040]   I don't know.
[00:11:07.040 --> 00:11:07.040]   It's like middle of the curve, right?
[00:11:07.040 --> 00:11:07.040]   So there's like there's like I like see that intelligence curve.
[00:11:07.040 --> 00:11:07.040]   And you have like the dumb guy, the smart guy and then the mid guy, actually being the mid guy is the worst. The smart guy is like I put all my money and Bitcoin the mid guy is like you can't put money in Bitcoin it's not real money. And all of it is a genius meme means the humor the idea.
[00:11:07.040 --> 00:11:07.040]  . The absurdity encapsulated a single image encapsulated a single image,
[00:11:07.060 --> 00:11:12.080]   and it just kind of propagates virally between all of our brains.
[00:11:12.080 --> 00:11:13.080]   and it just kind of propagates virally between all of our brains.
[00:11:13.080 --> 00:11:14.080]   I didn't get much sleep last night.
[00:11:14.080 --> 00:11:15.080]   I didn't get much sleep last night.
[00:11:15.080 --> 00:11:16.080]   So I'm very, I sound like I'm high.
[00:11:16.080 --> 00:11:17.080]   So I'm very, I sound like I'm high.
[00:11:17.080 --> 00:11:18.080]   I swear I'm not.
[00:11:18.080 --> 00:11:19.080]   I swear I'm not.
[00:11:19.080 --> 00:11:20.080]   Do you think we have ideas or ideas have us?
[00:11:20.080 --> 00:11:21.080]   Do you think we have ideas or ideas have us?
[00:11:21.080 --> 00:11:22.080]   Do you think we have ideas or ideas have us?
[00:11:22.080 --> 00:11:23.080]   I think that we're gonna get super scary memes
[00:11:23.080 --> 00:11:24.080]   I think that we're gonna get super scary memes
[00:11:24.080 --> 00:11:25.080]   I think that we're gonna get super scary memes
[00:11:25.080 --> 00:11:26.080]   once the AIs actually are super human.
[00:11:26.080 --> 00:11:27.080]   once the AIs actually are super human.
[00:11:27.080 --> 00:11:28.080]   once the AIs actually are super human.
[00:11:28.100 --> 00:11:50.120]   Ooh, you think AI will generate memes?
[00:11:50.120 --> 00:11:51.120]   Ooh, you think AI will generate memes?
[00:11:51.120 --> 00:11:52.120]   Of course.
[00:11:52.120 --> 00:11:53.120]   Do you think it'll make humans laugh?
[00:11:53.120 --> 00:11:54.120]   Of course.
[00:11:54.120 --> 00:11:55.120]   Do you think it'll make humans laugh?
[00:11:55.120 --> 00:11:56.120]   I think it's worse than that.
[00:11:56.120 --> 00:11:57.120]   So Infinite Jest, it's introduced in the first 50 pages,
[00:11:57.120 --> 00:11:58.120]   So Infinite Jest, it's introduced in the first 50 pages,
[00:11:58.120 --> 00:11:58.120]   So Infinite Jest, it's introduced in the first 50 pages,
[00:11:58.120 --> 00:11:58.120]   So Infinite Jest, it's introduced in the first 50 pages,
[00:11:58.120 --> 00:11:58.120]   Infinite Jest, it's introduced in the first 50 pages,
[00:11:58.260 --> 00:12:28.160]   Infinite Jest, it's introduced in the first 50 pages,
[00:12:28.160 --> 00:12:28.160]   So Infinite Jest, it's introduced in the first 50 pages,
[00:12:28.160 --> 00:12:28.160]   So Infinite Jest, it's introduced in the first 50 pages,
[00:12:28.160 --> 00:12:28.160]   So Infinite Jest, it's introduced in the first 50 pages,
[00:12:29.100 --> 00:12:58.200]   so Infinite Jest, it's introduced in the first 50 pages,
[00:12:58.200 --> 00:12:58.200]   so Infinite Jest, it's introduced in the first 50 pages,
[00:12:58.200 --> 00:12:58.200]   so Infinite Jest, it's introduced in the first 50 pages,
[00:12:58.240 --> 00:13:09.020]  �
[00:13:09.020 --> 00:13:26.660]   at, Whis H S N "uard, I, I, découvrir,,,,,,,ung . g
[00:13:27.040 --> 00:13:37.100]   the
[00:13:37.100 --> 00:13:37.840]  個 enf the is,,,,
[00:15:19.920 --> 00:15:34.180]  ?
[00:16:18.260 --> 00:16:19.280]   mhm.
[00:16:19.280 --> 00:16:19.280]   Yeah.
[00:16:19.280 --> 00:16:23.260]   I mean, diversity in humanity is--.
[00:16:23.260 --> 00:16:24.020]   With due respect.
[00:16:24.020 --> 00:16:28.260]   I wish I was more weird. No, like, I'm kind of--look, I'm drinking Smart Water, man. It's like a Coca-Cola product, right?
[00:16:28.260 --> 00:16:30.260]   You went corporate, George Hodges.
