
[00:00:00.000 --> 00:00:19.440]   welcome welcome you all to this launch and learn I hope you are enjoying lunch
[00:00:19.440 --> 00:00:27.840]   right now that the conference brought you we are going to be talking about our recent product that
[00:00:27.840 --> 00:00:34.080]   we announced at Heroku which is the Heroku Manage Inference and Agents or part of the Heroku AI
[00:00:34.080 --> 00:00:39.360]   offering and we will be talking about the fundamentals of building authentic applications
[00:00:39.360 --> 00:00:45.720]   with this service this is not a session this is a workshop so if you want to follow along
[00:00:45.720 --> 00:00:51.420]   just bring your laptop you only need a browser you are not going to install anything in your computer
[00:00:51.420 --> 00:00:58.860]   I swear that is going to be easy to follow along also this content is going to be available for you if
[00:00:58.860 --> 00:01:06.540]   you want to continue learning at home and having access to the Heroku platform during the event and
[00:01:06.540 --> 00:01:16.780]   the weekend so initially we are going to do the setup while you get ready by signing up to an Heroku
[00:01:16.780 --> 00:01:22.260]   account or if you already have an Heroku account you can just get access into the platform I will
[00:01:22.260 --> 00:01:28.620]   give you a link for you to follow then my friend here is going to give you an overview of what we
[00:01:28.620 --> 00:01:34.860]   release and then we will go and do the hands-on my name is Julian Duque I'm a principal developer advocate
[00:01:34.860 --> 00:01:40.700]   for Heroku I'm here I am with Anoush yeah hi my name is Anoush I work as a product manager for Heroku AI
[00:01:40.700 --> 00:01:47.100]   thank you everyone for joining us very excited to talk to you guys as well as walk you through how simple Heroku is
[00:01:48.140 --> 00:01:57.580]   of course and let's get the started you can join the workshop Heroku AI channel in the AI engineer slack
[00:01:57.580 --> 00:02:05.740]   workspace there I share the slides and some links also this is the QR code that is going to take you
[00:02:05.740 --> 00:02:13.500]   through the workshop side so in the workshop side you are going to find a link that has the content
[00:02:13.500 --> 00:02:21.340]   and a form when you enter your Heroku account email if you already have an Heroku account just enter your
[00:02:21.340 --> 00:02:27.580]   email that you use to sign up to Heroku if you don't have an Heroku account go ahead sign up for one
[00:02:27.580 --> 00:02:35.020]   you don't need to put like any credit card information and with that form you are going to get access to
[00:02:35.020 --> 00:02:41.900]   Heroku you will be able to deploy applications use our services during the duration of this week
[00:02:42.700 --> 00:02:48.780]   if you have any problems with the sign up process let us know we are here to help and this is a follow
[00:02:48.780 --> 00:02:56.700]   along workshop what are we going to do is deploy a Jupyter notebook to Heroku and then we are going to
[00:02:56.700 --> 00:03:03.820]   load all of the workshop contents into this Jupyter notebook and from there I will take you with the
[00:03:03.820 --> 00:03:09.900]   workshop material so let's take a picture of this also make sure you join the slack channel there is the
[00:03:09.900 --> 00:03:17.180]   information in there and while you are doing the setup my friend Anush here is going to give you an
[00:03:17.180 --> 00:03:26.940]   overview of Heroku AI and what we release okay thank you for joining us friends how many of you are familiar
[00:03:26.940 --> 00:03:37.900]   with Heroku have you used Heroku before show of hands oh nice so to set the stage this is the most exciting time to
[00:03:37.900 --> 00:03:45.180]   be building right now and especially building with AI and this point has come before right there have been
[00:03:45.180 --> 00:03:49.980]   inflection points of technology that have fundamentally changed the way we build things there was the
[00:03:49.980 --> 00:03:56.060]   internet there was the cloud there were web apps and now there's AI previously when Heroku started
[00:03:56.060 --> 00:04:02.060]   we took a similar challenge people wanted to build and deploy their apps especially with Ruby on rails but
[00:04:02.060 --> 00:04:07.500]   it was hard it was hard to operate it it was hard to deploy it it was hard to scale it Heroku made that
[00:04:07.500 --> 00:04:14.060]   super simple with get push Heroku main and a whole new host of developers could easily build push and scale
[00:04:14.060 --> 00:04:19.980]   their apps we are doing a similar thing right now where we have taken on the challenge with AI we have seen
[00:04:19.980 --> 00:04:25.340]   that people want to build with AI they want to build agentic applications they want to build agents that scale and
[00:04:25.340 --> 00:04:32.620]   operate in a way that is very simple we want to make sure that every software engineer right now is an AI engineer
[00:04:32.620 --> 00:04:40.860]   and it is simple as attaching agents and AI to your apps so how are you doing that currently a lot of
[00:04:40.860 --> 00:04:46.700]   solutions are only for the day one problems but what happens on day two how do you operate it how do you
[00:04:46.700 --> 00:04:52.940]   scale it there are so many models out there how do you know this is the right model for your problem how
[00:04:52.940 --> 00:04:58.060]   do you know your tools are running safely Heroku has taken a very opinionated and curated sort of
[00:04:58.060 --> 00:05:05.020]   models that we believe work best for our customers and developers will enjoy we have expanded that
[00:05:05.020 --> 00:05:11.100]   folder by deeply entrenching these models in an agentic control loop that runs on Heroku that has access
[00:05:11.100 --> 00:05:18.060]   to tools like code execution access to your data all under the trust layer of Heroku and for these extension
[00:05:18.060 --> 00:05:24.620]   of agents we are using the model context protocol you might have seen online that people keep asking
[00:05:24.620 --> 00:05:31.660]   that who's going to build the Heroku of AI or who this is the Heroku of x so the question for who's
[00:05:31.660 --> 00:05:39.260]   building the Heroku of AI it's Heroku of course why wouldn't we okay so what are the challenges right
[00:05:39.260 --> 00:05:45.260]   now people are facing one of the things that i can see is that how do you how do you figure out that
[00:05:45.260 --> 00:05:50.860]   this model works best for you how do you know that it's evaluated and traced and has the right
[00:05:50.860 --> 00:05:56.060]   technologies to make sure that it is performing the way you want it to perform so these are the
[00:05:56.060 --> 00:06:00.300]   challenges that we're taking on we are curating these things such that whenever you work with the agentic
[00:06:00.300 --> 00:06:05.820]   applications you don't feel like it's a bunch of knobs and bells and whistles like a plane but it's
[00:06:05.820 --> 00:06:11.820]   actually pretty simple by taking on the opinionated approach of having those defaults for you you can get
[00:06:11.820 --> 00:06:19.020]   started with as simple as one cli command you just do Heroku AI models create and that attaches AI to
[00:06:19.020 --> 00:06:26.700]   your app as a resource moving on to the next slide of course okay so we have three major things that
[00:06:26.700 --> 00:06:33.740]   work great for our AI application or building agentic applications one is we offer primitives like inference
[00:06:33.740 --> 00:06:39.740]   where you can curate and take a set of models and access this in your apps we also have model context
[00:06:39.740 --> 00:06:45.740]   protocol to extend your apps you can build remote mcp servers on Heroku simplified way and you can also
[00:06:45.740 --> 00:06:51.820]   build standard i/o mcp servers that run in Heroku's trusted compute and they can also scale to zero so
[00:06:51.820 --> 00:06:58.380]   that you do not pay for things that you're not using and we also have had pg vector which is a great vector
[00:06:58.380 --> 00:07:04.060]   database for embeddings so all these together give you all the primitives that you need
[00:07:04.060 --> 00:07:14.380]   to build agentic applications so how do we do this Heroku has a trusted compute layer called dynos
[00:07:14.380 --> 00:07:23.740]   and these computers were the one that runs tools for you so example we provide first party tools like code
[00:07:23.740 --> 00:07:30.060]   execution that run on Heroku's compute and these can run on the compute and stream the data back to you and
[00:07:30.060 --> 00:07:36.940]   solve your problems we plan to offer our additional first party tools such as web source for grounding
[00:07:36.940 --> 00:07:42.140]   memory memory is really important right now so in the future we'll probably offer memory
[00:07:42.140 --> 00:07:46.860]   and other compute tools that can run on Heroku's compute and provide to you you can bring your own
[00:07:46.860 --> 00:07:54.860]   tools as well using mcp that can run on our compute and stream things back to agents okay with that i'll
[00:07:54.860 --> 00:08:00.940]   hand over to julian for a more hands-on workshop and you can build all the things i spoke about within the
[00:08:00.940 --> 00:08:07.820]   next 30 minutes okay let's go back to this last uh picture for the folks that just joined so you get
[00:08:07.820 --> 00:08:15.260]   access to the workshop content and remember we have the slack channel in the ai.engineer workspace
[00:08:15.260 --> 00:08:20.460]   where i already shared these slides and the link so you can follow along you can follow along with me
