
[00:00:00.000 --> 00:00:21.000]   Hi, everyone. Thank you for coming to our talk. So, he was kind enough to already introduce us.
[00:00:21.000 --> 00:00:25.680]   So, I'm the CEO. Matthew was the first person who joined us. If you have any difficult questions,
[00:00:25.680 --> 00:00:32.120]   please direct it towards Matt. If you think about the three major categories of software
[00:00:32.120 --> 00:00:35.780]   engineering, at least as we see it, there's three things that show up to me. The system
[00:00:35.780 --> 00:00:40.560]   design, where you think about how do you actually architect a system. A lot of the talks we saw
[00:00:40.560 --> 00:00:45.420]   in this track have been about that in some sense at a high level. Second is actually developing
[00:00:45.420 --> 00:00:49.480]   software, putting in the business logic of your particular company and all of the DevOps
[00:00:49.480 --> 00:00:54.020]   that comes with it. And then when your software actually hits production, invariably it's going
[00:00:54.020 --> 00:00:57.460]   to break and then troubleshooting of these production incidents. At the heart of it, those are
[00:00:57.460 --> 00:01:01.460]   the three things interspersed with each other as you think about developing production-grade
[00:01:01.460 --> 00:01:07.700]   software. Now, what's been happening with the magic of AI software engineering tools like
[00:01:07.700 --> 00:01:12.580]   Cursor or Windsor or GitHub Copilot and many more others, the part around development is getting
[00:01:12.580 --> 00:01:16.400]   narrowed. That's the part we're relying on all these different systems to do it for us and
[00:01:16.400 --> 00:01:21.580]   increasingly so. Over the next year, I'd say more and more of what we see is going to make
[00:01:21.580 --> 00:01:25.660]   the development part of it really seamless. The question is what happens to the other
[00:01:25.660 --> 00:01:30.460]   two parts of this entire software engineering workflow? The first one being system design
[00:01:30.460 --> 00:01:36.200]   and the other one being troubleshooting. Now, what is the promise that is, as we think about
[00:01:36.200 --> 00:01:39.900]   what software engineering could look like, is that we'll get to focus on just the most high
[00:01:39.900 --> 00:01:44.700]   impact and creative work that happens in engineering, which is system design. So, we're hoping that
[00:01:44.700 --> 00:01:48.940]   AI will write our code for us and also troubleshoot all the production incidents. So, we just get to
[00:01:48.940 --> 00:01:52.300]   focus on the fun stuff, which is the creative work of how we put all these different pieces together.
[00:01:52.300 --> 00:01:56.940]   That's the hope. I actually think that to make that happen, there's something missing, right,
[00:01:56.940 --> 00:02:01.500]   which is the problem of troubleshooting. How do you automate that part of it? And I think if we just
[00:02:01.500 --> 00:02:05.580]   continue in the way we're going, it's actually going to look at the opposite. It's that most of our time,
[00:02:05.580 --> 00:02:10.300]   I think, is going to be spent doing on-call for the vast majority of us. And why is that? I think
[00:02:10.300 --> 00:02:15.580]   troubleshooting is going to get more and more complex as we go along. First is that as we write,
[00:02:15.580 --> 00:02:19.820]   as these software engineering, AI software engineering systems write more and more of our code,
[00:02:19.820 --> 00:02:23.420]   humans are going to have less context about what happened. They don't understand the inner workings
[00:02:23.420 --> 00:02:27.660]   of the code. They don't have all the context in their minds, right? Second, we're going to push these
[00:02:27.660 --> 00:02:31.100]   systems to the limits. We're going to write more and more complex systems, just like the things we saw in
