
[00:00:00.040 --> 00:00:09.480]   ち
[00:00:09.480 --> 00:00:10.840]   que came,,,
[00:00:10.840 --> 00:00:13.320]   present there ir
[00:00:13.320 --> 00:00:26.420]  assen Many He H Or Not Red on 1939in, to serve my. I, I, I, I, I, I, I, I, w, of, de, voyez, property.urez. porte. .. .. way. :. .. is a .. .. ,. ., Ang. cor .. meaning . Ce機. , Gray - show the -
[00:00:26.420 --> 00:00:27.840]   thank uh.иваем a
[00:00:27.840 --> 00:00:28.580]   scap
[00:00:28.700 --> 00:00:40.200]   is
[00:00:40.200 --> 00:00:56.200]   buy was,,,,
[00:00:56.280 --> 00:01:06.380]   lived
[00:01:06.380 --> 00:01:16.280]   have "iled oh Th I Just
[00:01:16.280 --> 00:01:26.180]   or свой
[00:02:26.200 --> 00:02:56.000]   Cinnamon: Hello everyone. My name is Chris Moody. I was the journalist in Washington DC and in New York. I covered politics for several different outlets and we were living in New York City and I was laid off and that led us to a lot of soul searching and Christy and I decided to give away and sell almost all of our possessions, get rid of our Manhattan penthouse apartment on the Upper West Side and move into a cargo van.
[00:02:56.140 --> 00:03:05.940]   Sam: A used 2017 Ram Promaster cargo van and we built a tiny home inside the cargo van in one month by ourselves.
[00:03:05.940 --> 00:03:20.340]   So that you guys, some people move into a van because they're broke and they can't afford it. But it sounds like you guys have made the big switch from from the posh, posh part of New York and living in a van down by the river.
[00:03:20.340 --> 00:03:24.940]   Did it, does this feel a little bit weird or is this just life as normal in today's world?
[00:03:24.940 --> 00:03:25.940]   Sam:
[00:03:26.080 --> 00:03:55.880]   and I think it's a little bit more interesting to see what's going on in the world.
[00:03:55.880 --> 00:03:55.880]   Sam:
[00:03:55.880 --> 00:03:55.880]   I think it's a little bit more interesting to see what's going on in the world.
[00:03:55.880 --> 00:03:55.880]   Well, Jeff, we kind of saw Chris getting laid off as an opportunity to do something different ourselves and to pursue this passion project, which I've had maybe for about two years. I've been working on this idea of traveling the country and telling stories about people who are choosing to live very intentionally and to opt out of the mainstream, we'd say maybe American dream of having your traditional nine to five job, your house, and more.
[00:03:55.880 --> 00:03:55.880]   Sam:
