
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:10.760]   (upbeat music)
[00:00:10.760 --> 00:00:19.460]   - Welcome back to Portfolio Rescue,
[00:00:19.460 --> 00:00:21.740]   the show where we take questions from you, the viewers,
[00:00:21.740 --> 00:00:24.660]   at askthecompoundshow@gmail.com.
[00:00:24.660 --> 00:00:27.660]   Duncan, question number one, how do I look for the tan?
[00:00:27.660 --> 00:00:28.740]   - You look really good.
[00:00:28.740 --> 00:00:29.580]   - Thank you. - It's a good tan.
[00:00:29.580 --> 00:00:30.560]   - Yeah. - All right.
[00:00:30.560 --> 00:00:33.500]   I was in the sun for a few days in Florida.
[00:00:33.500 --> 00:00:36.880]   - Which was more relaxing, the Miami Vices or the sun?
[00:00:36.880 --> 00:00:41.180]   - Miami Vices in the sun, I think, was a nice,
[00:00:41.180 --> 00:00:44.180]   that's like a balanced portfolio right there.
[00:00:44.180 --> 00:00:45.860]   Yeah, I didn't think about the markets very much at all.
[00:00:45.860 --> 00:00:47.260]   But if you go through,
[00:00:47.260 --> 00:00:49.620]   I've been catching up on our inbox here.
[00:00:49.620 --> 00:00:52.100]   It's interesting because during a bear market,
[00:00:52.100 --> 00:00:53.740]   there's two types of questions.
[00:00:53.740 --> 00:00:56.860]   One is, what's my strategy for catching the bottom
[00:00:56.860 --> 00:00:58.420]   or what do I do during this bear market?
[00:00:58.420 --> 00:00:59.620]   How do I take advantage?
[00:00:59.620 --> 00:01:01.460]   And two is basically,
[00:01:01.460 --> 00:01:03.140]   I need to blow up my whole financial plan
[00:01:03.140 --> 00:01:04.260]   or I don't have one.
[00:01:04.260 --> 00:01:07.100]   And I think that's the dichotomy right now is,
[00:01:07.100 --> 00:01:08.620]   oh no, I thought I knew what I was doing
[00:01:08.620 --> 00:01:10.420]   because I was in a bull market and now I don't
[00:01:10.420 --> 00:01:11.700]   and now what do I do?
[00:01:11.700 --> 00:01:12.880]   So there's a lot of that
[00:01:12.880 --> 00:01:13.860]   and then there's a lot of what do I do?
[00:01:13.860 --> 00:01:17.340]   So that's the theme today, right?
[00:01:17.340 --> 00:01:18.600]   Blow up my financial plan
[00:01:18.600 --> 00:01:21.100]   or how do I handle this bear market?
[00:01:21.100 --> 00:01:22.540]   So let's do it.
[00:01:22.540 --> 00:01:24.500]   - Okay, actually, before we do that, though,
