
[00:00:00.080 --> 00:00:04.560]   man we're here at the puma flagship store about to do a little shopping and i love puma i've been
[00:00:04.560 --> 00:00:08.800]   with puma ever since i got in the league seven eight years now today we're shopping for their
[00:00:08.800 --> 00:00:14.400]   lifestyle gear i think off of the court their drip is the best in the business we're about to
[00:00:14.400 --> 00:00:20.000]   go crazy with the puma drip today gonna take care of my guy sean behind the camera gonna take care
[00:00:20.000 --> 00:00:27.200]   my guy nick over here and we're about to go crazy let me put my camera away so i can really get busy
[00:00:27.200 --> 00:00:36.240]   look at this big suede shoe right here and it's like actual real suede it's like a real shoe i know
[00:00:36.240 --> 00:00:42.240]   like like what made them collab with squiggins puma got the most creative collabs i think they're fresh
[00:00:42.240 --> 00:00:48.400]   the teenage mutant ninja turtles collection i think they're fire different i got the weekend off so we
[00:00:48.400 --> 00:00:53.680]   had to do a little shopping definitely had to stop by puma had to pull up as you can see we went crazy
[00:00:54.480 --> 00:00:59.680]   my guys got right i got right so we good yes sir

