
[00:00:00.040 --> 00:00:05.060]   Despite having dozens of cards and millions of points, I recently went deep on Citibank,
[00:00:05.060 --> 00:00:10.140]   which led me to opening a few new Citi cards. And now I'm thinking that Citi might be one of
[00:00:10.140 --> 00:00:14.980]   the most underrated issuers for earning points on your spending. So today I'm going to go deep
[00:00:14.980 --> 00:00:19.040]   on the entire Citi card lineup, highlighting the ones you might want to consider and putting them
[00:00:19.040 --> 00:00:23.260]   in a tier list. I'll break down Citi's thank you points program and the best ways to use those
[00:00:23.260 --> 00:00:27.300]   points. I'll share a bunch of tips and tricks I've picked up from my experience with Citi.
[00:00:27.300 --> 00:00:32.320]   And finally, I'll be putting Citi's top two card combo up against the best two card combos from
[00:00:32.320 --> 00:00:36.400]   every other major issuer. And I think you will be shocked at what I learned. I'm Chris Hutchins.
[00:00:36.400 --> 00:00:40.700]   And if you enjoy this episode, please share with a friend or leave a comment or review. And if you
[00:00:40.700 --> 00:00:45.880]   want to keep upgrading your life, money and travel, click follow or subscribe. As I mentioned in the
[00:00:45.880 --> 00:00:50.600]   intro, I've been really excited about Citi lately. So that's why I'm going to do a deep dive into their
[00:00:50.600 --> 00:00:56.060]   card lineup. And as I do it, I'm going to be filling out a tier list where I rank all the cards. So for
[00:00:56.060 --> 00:01:00.820]   those not familiar with tier lists, the highest tier is S. Maybe that means special or super. It's
[00:01:00.820 --> 00:01:05.800]   not entirely clear. Followed by a traditional A, B, C, D letter grade. And if anyone out there is
[00:01:05.800 --> 00:01:10.540]   asking if I'm just doing this episode because Citi is having some big affiliate deal where I get paid
[00:01:10.540 --> 00:01:14.980]   lots of money for referrals, that unfortunately couldn't be farther from the truth because despite
[00:01:14.980 --> 00:01:20.580]   that I do have links for Citi cards on the website, none of them are affiliate links or even referral
[00:01:20.580 --> 00:01:25.620]   links. So even if every single one of you listening opens up a Citi card, I won't earn a thing or get
[00:01:25.620 --> 00:01:30.860]   any benefit. I genuinely just wanted to do this episode because I opened two Citi cards after going
[00:01:30.860 --> 00:01:35.440]   deep on the program and I feel like I was missing out. Finally, in addition to Citi, I think I'm going
[00:01:35.440 --> 00:01:40.920]   to make this a recurring series where I break down all the cards from every major issuer. So please,
[00:01:40.920 --> 00:01:45.560]   if you have feedback on that concept, you can send me an email, podcast at allthehacks.com or
[00:01:45.560 --> 00:01:50.200]   on the website, use the contact form. So let's get into it. Citi has a ton of cards. According to their
[00:01:50.200 --> 00:01:55.460]   website, there are 24 of them. I'm going to focus on the ones that are most interesting because there
[00:01:55.460 --> 00:02:01.240]   are a ton of cards where it's random stuff like the L.L. Bean MasterCard, the Dillard's card and those
[00:02:01.240 --> 00:02:06.160]   things. It's not that you might not get value if you really care about those retailers, but they're a
[00:02:06.160 --> 00:02:10.460]   little bit of an edge case. So I'm going to skip those and start with the thank you points earning
[00:02:10.460 --> 00:02:15.480]   cards. I think Citi thank you points is a really competitive program. They've got a ton of
[00:02:15.480 --> 00:02:21.040]   transfer partners, some that are unique and have better earning rates or transfer rates than other
[00:02:21.040 --> 00:02:27.260]   programs. So the marquee card in the thank you point ecosystem is the Citi Strata Premier card.
[00:02:27.260 --> 00:02:33.220]   This is one of the two cards I recently opened up and I've been pretty impressed with its earning.
[00:02:33.220 --> 00:02:38.220]   So two big highlights for this card is the signup bonus, which is often 75,000 points,
[00:02:38.220 --> 00:02:43.960]   though right now at recording, it's 60,000 points after spending 4K in three months. And then the big
[00:02:43.960 --> 00:02:51.020]   other one is the earnings. You get 3x points on groceries, gas, dining, hotel, and airfare. I think
[00:02:51.020 --> 00:02:57.000]   those are a few of the major categories that people spend money on. You do also get 10x points on hotels,
[00:02:57.000 --> 00:03:01.520]   car rentals, and attractions through Citi travel, which is a bit of a recurring theme in a lot of
[00:03:01.520 --> 00:03:06.640]   these cards. But as I've talked about in a lot of previous episodes, I don't love booking in the travel
[00:03:06.640 --> 00:03:13.260]   portal unless there's a bigger incentive. So I kind of write that off. The card does have a $95 annual fee.
[00:03:13.520 --> 00:03:19.520]   To make up for that, they give you a $100 credit towards a hotel stay in Citi travel,
[00:03:19.520 --> 00:03:25.080]   as long as you spend more than $500. I have not yet decided whether I'm ever even going to use that
[00:03:25.080 --> 00:03:31.800]   credit. I don't know if, you know, 20% off one stay ends up, and obviously that's only if you hit
[00:03:31.800 --> 00:03:36.940]   exactly $500. I don't know if that ends up being worth the downsides of booking in the travel portal.
[00:03:36.940 --> 00:03:45.060]   It earns 1x points on everything else. It has no foreign transaction fees. And while many Citi cards,
[00:03:45.060 --> 00:03:50.100]   I will knock for not having travel protections and purchase protections, this card does have some.
[00:03:50.360 --> 00:03:56.320]   They are not as strong as the ones you'll see from other major issuers. But they do have trip delay,
[00:03:56.320 --> 00:04:02.020]   trip interruption, lost luggage, damaged luggage, and rental car coverage, though that rental car
[00:04:02.020 --> 00:04:07.180]   coverage is secondary to your primary insurance. And then they do have purchase protection, but it's
[00:04:07.180 --> 00:04:12.580]   also limited. They've got extended warranty of an additional two years, and then damage and theft
[00:04:12.580 --> 00:04:19.000]   protection for 90 days. So it has some protections, but not nearly as much as other cards. But the real
[00:04:19.000 --> 00:04:22.920]   marquee thing is that you're earning 3x on groceries, gas, dining, hotel, and airfare.
[00:04:22.920 --> 00:04:31.740]   So for me, if I jump into my little tier list, I think this is a really, really great card. I'm
[00:04:31.740 --> 00:04:38.040]   putting this one in the S tier because those categories, earning 3x transferable points in a
[00:04:38.040 --> 00:04:44.600]   program for a $95 fee card with a decent signup bonus is just about everything I'm looking for. And I've
[00:04:44.600 --> 00:04:48.980]   been using the card a ton in the last few weeks, both to hit the signup bonus and because
[00:04:48.980 --> 00:04:53.240]   3x in those categories is pretty compelling. Interestingly enough, despite that City has a
[00:04:53.240 --> 00:05:00.640]   ton of cards, only three of them really earn thank you points that are transferable. The
[00:05:00.640 --> 00:05:06.120]   others earn are marketed as cash back. But if you have the City Strata Premier, you can transfer those
[00:05:06.120 --> 00:05:11.300]   points. The next few cards on the list are sometimes marketed as earning thank you points, sometimes
[00:05:11.300 --> 00:05:15.780]   marketed as earning cash back, but they don't always come with the ability to transfer unless they're
[00:05:15.780 --> 00:05:20.040]   paired with the Strata Premier. Or if you're a legacy City card holder and you have the
[00:05:20.040 --> 00:05:23.860]   City Prestige card, they're also able to be transferred to airlines. And that's where you
[00:05:23.860 --> 00:05:27.880]   get a lot of the value out of it. I think you could get a ton of value from City as just a
[00:05:27.880 --> 00:05:32.800]   pure cash back play. And we'll get to that. But the transfer partners are pretty interesting,
[00:05:32.800 --> 00:05:35.040]   especially when you pair up a couple cards.
[00:05:35.040 --> 00:05:39.760]   The next card I'm going to mention is a surprisingly interesting one. And that is the AT&T points plus
[00:05:39.760 --> 00:05:43.800]   card. This one is marketed as earning thank you points, which is why I'm doing it next.
[00:05:44.040 --> 00:05:50.540]   It is not that compelling. The signup bonus is $200 on $1,000 of spend in three months.
[00:05:50.540 --> 00:05:56.960]   There is no annual fee, does have a 3% foreign transaction fee. You get 3x points on gas and
[00:05:56.960 --> 00:06:02.080]   EV charging and 2x on grocery. I think you do better than that on a lot of cards. If you are
[00:06:02.080 --> 00:06:08.920]   an AT&T customer, you do save $20 a month up to $240 a year on this card. So I could make an argument
[00:06:08.920 --> 00:06:17.580]   that a card that earns you $240 a year is interesting with no annual fee. But one, you're
[00:06:17.580 --> 00:06:21.860]   probably spending way more than $240 a year having AT&T in the first place. So you'd be better
[00:06:21.860 --> 00:06:27.900]   switching. But it is a points earning card. So I feel like it is worth mentioning in the list.
[00:06:28.160 --> 00:06:36.260]   But I am unfortunately going to put this card in the C tier list. And you'll see what D entails in a
[00:06:36.260 --> 00:06:40.540]   moment. But you know, C tier for the purposes of this episode is not a compelling place to live.
[00:06:40.540 --> 00:06:48.420]   Next card, there was a Sears card for a long time that Citi had. It actually had a bunch of
[00:06:48.420 --> 00:06:52.860]   interesting benefits. I'm not going to go deep into those because on April 12, they kind of
[00:06:52.860 --> 00:06:57.640]   effectively killed that card and said it is now going to be what's called the Citi Thank You Master
[00:06:57.640 --> 00:07:02.580]   Card. Now you can't get that card. So there's not an interesting website about it. And a lot of the
[00:07:02.580 --> 00:07:07.860]   interesting deals from that card are no longer going to be issued. So if you like these earning
[00:07:07.860 --> 00:07:11.980]   perks that it had, the Citi Shop Your Way card is going to be interesting. And we'll get to that.
[00:07:11.980 --> 00:07:15.380]   This card is not that interesting. I'm going to go ahead and put it in the D tier because
[00:07:15.380 --> 00:07:20.880]   there's really nothing about this card that's compelling anymore at all. But the next card I'm
[00:07:20.880 --> 00:07:25.920]   really big fan of. And in fact, if I get another Citi card, this one's what's coming next. And that is the
[00:07:25.920 --> 00:07:33.620]   Citi Double Cash card. Now you've probably seen tons of ads for this card. It is a 2% unlimited cashback
[00:07:33.620 --> 00:07:38.860]   card. It's marketed as you get 1% when you spend the money and 1% when you pay it off. So I guess if you
[00:07:38.860 --> 00:07:43.020]   don't pay off your credit card, it's only a 1% card. But if you don't pay off your credit card, you should
[00:07:43.020 --> 00:07:48.340]   ignore this entire episode. Stop listening and focus your strategy on paying down credit cards
[00:07:48.340 --> 00:07:54.840]   because unless they're a 0% interest card, credit card debt is just not worth any amount of rewards,
[00:07:54.840 --> 00:08:01.240]   any amount of points. In addition to that, it is no annual fee. It has a minor signup bonus. You get
[00:08:01.240 --> 00:08:06.560]   $200 after spending $1,500 in six months, at least as of recording this, though it does come with a
[00:08:06.560 --> 00:08:11.220]   foreign transaction fee. So while it's a great everything card, it is not a great everything card when
[00:08:11.220 --> 00:08:18.080]   you're traveling overseas. And if you have the Citi Strata Premier card, then the cashback can be
[00:08:18.080 --> 00:08:24.460]   converted into points that can be transferred. So really great card to pair. In a way, if you have
[00:08:24.460 --> 00:08:31.080]   the Strata Premier, it's similar to the Capital One Venture X card or Venture card in that you get
[00:08:31.080 --> 00:08:37.260]   2x transferable points on every purchase. It has no travel protection and the only purchase protection
[00:08:37.260 --> 00:08:42.880]   it has is an extended warranty. So not the best card to be using for those kinds of purchase
[00:08:42.880 --> 00:08:47.360]   protections at all. And definitely not a card to put a lot of travel on it. Though for this year,
[00:08:47.360 --> 00:08:53.280]   they're offering 5% back on stuff booked in city travel, hotel, rental car and attractions, not airfare.
[00:08:54.240 --> 00:09:02.680]   So on its own, 2% cashback card, you know, with Robinhood out there with the Smartly card, though, it just kind of got
[00:09:02.680 --> 00:09:07.700]   knocked down pretty hard with Bank of America with Platinum Honors. There's a ton of cards out there that you could be
[00:09:07.700 --> 00:09:15.040]   earning more than 2%. But if you get the Premier and you get 2x transferable points, kind of interesting, not even kind of
[00:09:15.040 --> 00:09:21.400]   interesting, really interesting. So I'm going to put this in A tier because I think that it is a compelling card to have if you're in the
[00:09:21.400 --> 00:09:28.400]   city ecosystem. And then last one in this group is the city custom cash card. On the surface, this card looks amazing
[00:09:28.400 --> 00:09:36.560]   because you get 5% back on whatever category you spend the most in. And the categories are really wide ranging restaurants, gas,
[00:09:36.560 --> 00:09:43.840]   grocery, travel, transit, streaming, drug stores, home improvement, fitness clubs and live entertainment. And home improvement is
[00:09:43.840 --> 00:09:49.920]   probably the most notable one in here for me because I'm not aware of any other card that has a elevated earnings potential for that
[00:09:49.920 --> 00:09:59.220]   category. However, you're capped at only earning that 5% back on up to $500 per billing cycle, which means that you're only
[00:09:59.220 --> 00:10:08.840]   getting it on $6,000 a year. And so if you look at earning 5% on $6,000 or earning 5% on a 2x unlimited card, you're just
[00:10:08.840 --> 00:10:18.320]   getting a bonus of 3%. And so that's really just a max of $180 a year. Now, if you have the City Strata Premier, then that could be
[00:10:18.320 --> 00:10:25.420]   18,000 points a year over having the double cash. But where this kind of gets interesting, and we'll talk later about how City allows you to
[00:10:25.420 --> 00:10:32.140]   product change between different cards, you could have multiple of these custom cash cards. So I do know a few people who ended up with
[00:10:32.140 --> 00:10:39.780]   two or three or four of them. And they're like, this is my gas card. This is my travel card. This is my transit card. And if you figure you
[00:10:39.780 --> 00:10:48.560]   don't spend more than $500 during a billing cycle on gas, then this is effectively a 5x points on gas card. And I'm not familiar with
[00:10:48.560 --> 00:10:58.020]   another 5x transferable points gas card. So I do think that if you're in the City ecosystem, the City custom cash card is
[00:10:58.020 --> 00:11:08.520]   pretty good. I'm going to put it at B tier, because it's not quite that exciting with the cap of earning only $500 of 5x a month. But it does
[00:11:08.520 --> 00:11:15.540]   have no annual fee. So that's nice. Similar, you get no travel or purchase protection except extended warranty to the double cash
[00:11:15.540 --> 00:11:25.180]   also has a 3% foreign transaction fee. And I'm not sure why this card is different in this way. But you do get 5x or 5% back on all the
[00:11:25.180 --> 00:11:32.820]   same hotel rental car attractions and city travel. But for this card, it's through June 30th, 2026. I have no idea why they're doing these
[00:11:32.820 --> 00:11:41.640]   promotions on different schedules. So those are the main cards in the City thank you point or cashback ecosystem. The next I'm
[00:11:41.640 --> 00:11:49.580]   going to go into is the American Airlines ecosystem. So if you have no interest in American, though, maybe I will change your mind. You
[00:11:49.580 --> 00:11:56.840]   could skip through this time. Timestamps are in the show notes. But I will say one two things. One, as I've dug into Alaska Airlines, I've
[00:11:56.840 --> 00:12:04.420]   noticed that American Airlines status is also pretty beneficial to Alaska Airlines. And American Airlines is one of the
[00:12:04.420 --> 00:12:10.880]   easiest statuses to earn without needing to ever fly American. So if you don't fly a lot, or you're always flying on cheap
[00:12:10.880 --> 00:12:17.280]   seats, you don't think you're ever going to earn the status, you can spend your way to American status better than almost any
[00:12:17.280 --> 00:12:24.080]   other program out there. And if you fly Alaska a lot, American status gives you very, very similar comparable
[00:12:24.080 --> 00:12:30.320]   benefits. Whereas Alaska is much harder to spend your way to status, especially because they cap how many elite
[00:12:30.320 --> 00:12:35.520]   qualifying points you can even earn using an Alaska card to earn status. So I'll run through the four city
[00:12:35.520 --> 00:12:44.740]   cards. And I'll tell you why one of them is the second card I got, and is very lucrative in 2025. And I'm
[00:12:44.740 --> 00:12:49.520]   actually really excited about it. And I'll get there. This episode is brought to you by Thrive Market. You know that
[00:12:49.520 --> 00:12:53.800]   feeling when you're standing in the grocery store, staring at labels, trying to figure out what's actually
[00:12:53.800 --> 00:12:58.960]   healthy, but that ingredient list is so confusing. With two young kids, we are constantly trying to
[00:12:58.960 --> 00:13:03.780]   make sure the whole family eats clean, healthy food, but it can be a lot of work to make that happen.
[00:13:03.780 --> 00:13:09.180]   And that's why I love Thrive Market. They're my go-to online grocery store for getting healthy
[00:13:09.180 --> 00:13:14.600]   essentials delivered straight to our door without ever having to leave the house. Unfortunately, there
[00:13:14.600 --> 00:13:20.080]   are over 10,000 food additives allowed in the US, and it's hard to know what's actually safe. So I love
[00:13:20.080 --> 00:13:25.360]   that Thrive Market bans over a thousand harmful ingredients. Their team does all the hard work and
[00:13:25.360 --> 00:13:30.220]   make sure every product meets high quality clean standards. For example, one product we love from
[00:13:30.220 --> 00:13:35.740]   Thrive is Simple Mills. We feel so good giving it to our kids. Their sea salt almond flour crackers are
[00:13:35.740 --> 00:13:41.900]   fantastic, but lately I just can't stop snacking on their sweet thins. Also, Thrive Market has tons of
[00:13:41.900 --> 00:13:46.160]   filters so you can easily shop by whatever you need. Whether you want to find what's on sale,
[00:13:46.160 --> 00:13:51.020]   you're looking for gluten-free snacks, or you want some high protein meals. I especially love that
[00:13:51.020 --> 00:13:56.740]   last one because I find the more protein I get, the less likely I am to binge on those Simple Mills
[00:13:56.740 --> 00:14:03.680]   sweet thins. Ready to make the switch? Head to chrishutchins.com slash Thrive Market to get 30%
[00:14:03.680 --> 00:14:10.880]   off your first order plus a free $60 gift. This episode is brought to you by Facet. Finding good and
[00:14:10.880 --> 00:14:16.040]   actionable financial advice is not easy, especially if you want it to come from someone who's acting in
[00:14:16.040 --> 00:14:20.780]   your best interest. So let me save you some time because when I shut down my financial planning firm
[00:14:20.780 --> 00:14:26.460]   a few years ago, we did a ton of research on who to recommend to our clients, and we landed on Facet.
[00:14:26.460 --> 00:14:32.420]   Facet makes professional financial advice actionable to everyone, and instead of charging a high percentage
[00:14:32.420 --> 00:14:38.040]   of your assets, they only charge a flat annual membership fee with investment management included.
[00:14:38.740 --> 00:14:43.960]   With Facet, you'll get access to a team of CFP professionals and specialists providing guidance
[00:14:43.960 --> 00:14:49.260]   across retirement planning, tax strategy, estate planning, and more. So head on over to
[00:14:49.260 --> 00:14:56.380]   chrishutchins.com slash facet, F-A-C-E-T, to learn more about which membership option is best for you.
[00:14:56.380 --> 00:15:02.220]   That's chrishutchins.com slash facet. So the first one's the mile up card. You get a
[00:15:02.220 --> 00:15:10.300]   paltry 15,000 bonus miles, though only after spending $500 in three months. It's a no annual fee card with
[00:15:10.300 --> 00:15:17.220]   3% foreign transaction fees. You get an extra 2x points on groceries and American Airlines, 1x on
[00:15:17.220 --> 00:15:22.660]   everything else. And you get 25% off food and beverage on American. You don't get checked bags.
[00:15:22.660 --> 00:15:28.420]   You don't get priority boarding. There's really not a lot to like about this card. The only argument I
[00:15:28.420 --> 00:15:34.820]   could make for this card is if you are really trying to earn American Airlines status, and you need a card
[00:15:34.820 --> 00:15:40.120]   to spend on, and you're doing it for the loyalty points. Because the way American Airlines status works
[00:15:40.120 --> 00:15:47.000]   is you earn loyalty points. Base gold tier is $40,000 all the way up to $200,000 for executive
[00:15:47.000 --> 00:15:52.840]   platinum. And every dollar you spend on your card, you get a loyalty point. If you were a major spender
[00:15:52.840 --> 00:15:57.380]   at grocery stores, or there were gift cards or things that you were buying at grocery stores,
[00:15:57.380 --> 00:16:04.800]   and your primary spending category is groceries, then if you were also trying to get American status,
[00:16:05.260 --> 00:16:09.980]   then spending on this card would be more lucrative than the other cards because you'd be earning 2x
[00:16:09.980 --> 00:16:14.460]   American points. Now you're not earning 2x loyalty points, but you're getting two American miles for
[00:16:14.460 --> 00:16:18.420]   every dollar. So that's the only case I could make for this. But I don't know a lot of people who are
[00:16:18.420 --> 00:16:24.160]   spending a tremendous amount of money on groceries and trying to get American status. So I'm going to put
[00:16:24.160 --> 00:16:28.660]   the mile up card down in C tier because I really just don't think it's that compelling compared to the
[00:16:28.660 --> 00:16:35.620]   other options from American. So the next card is the platinum card has a much more interesting signup
[00:16:35.620 --> 00:16:42.340]   bonus. Right now, it's 50,000 points on 2500 and spend in three months does have a $99 annual fee,
[00:16:42.340 --> 00:16:47.160]   but at least right now they're waiving it for the first year, no foreign transaction fees, and you get
[00:16:47.160 --> 00:16:54.140]   2x American miles on restaurants, gas and American purchases. So similarly, all that said, not that
[00:16:54.140 --> 00:16:59.600]   compelling for anything other than if you want to earn American status, where it does start to have a
[00:16:59.600 --> 00:17:05.200]   benefit is if you fly American a decent amount, you get your first bag free for up to four people on the
[00:17:05.200 --> 00:17:10.120]   same reservation. And I think American bag fees are something like $40. So if you're doing round trip with a
[00:17:10.120 --> 00:17:17.800]   family of four checking four bags, that's $320 saved, you get preferred boarding and another 25% off food and
[00:17:17.800 --> 00:17:22.560]   beverage on American. So interesting if you're going for status interesting if you want to sign up bonus,
[00:17:22.560 --> 00:17:28.760]   though I'd hold out for something like 75,000 points on this card. But if you do fly American a lot, but not
[00:17:28.760 --> 00:17:36.600]   enough to earn status, I would say getting free checked bags is a decent perk for this card. But if you fly American
[00:17:36.600 --> 00:17:42.640]   a lot, I imagine you would have status or you'd want one of the other cards in this platform. So I'm going to put this
[00:17:42.640 --> 00:17:49.940]   at a C tier. I think it's better than the mile up card, but not nearly as good as the next two on the list. So on the
[00:17:49.940 --> 00:17:55.740]   personal side, the next one's the city executive American card, much higher signup bonus, though much
[00:17:55.740 --> 00:18:03.360]   higher annual fee. So it's $595 for the card. It's got a 70,000 point signup bonus right now on spending
[00:18:03.360 --> 00:18:09.880]   $7,000 in three months has no foreign transaction fees. But it's pretty interesting for a few reasons.
[00:18:09.880 --> 00:18:16.180]   So not necessarily on the earning, because the only elevated earning is 5x on American if you
[00:18:16.180 --> 00:18:23.280]   spend $150,000 on the card, but that's a tremendous amount. It does also earn 10x on hotels and car
[00:18:23.280 --> 00:18:28.360]   rentals through the city portal. I'm going to kind of exclude that right now. And then 1x on everything
[00:18:28.360 --> 00:18:35.560]   else. The reason to get this card is twofold. One, you get an Admirals Club membership. So if you travel
[00:18:35.560 --> 00:18:40.340]   American a lot, because one of the requirements for an Admirals Club membership to go in is to
[00:18:40.340 --> 00:18:46.100]   be flight American, or if you fly on Alaska, because the Admirals Club membership also allows you access
[00:18:46.100 --> 00:18:50.460]   to the Alaska lounge, and there's currently not a credit card that gives you access to Alaska lounge,
[00:18:50.460 --> 00:18:54.720]   this could be a really interesting card. You can go into those lounges with your family, adult spouse,
[00:18:54.720 --> 00:19:00.940]   and children, or up to two guests. And the really interesting thing about this card, if you have a few
[00:19:00.940 --> 00:19:07.360]   friends that are all interested, is you can add up to three authorized users on the card for $175 total.
[00:19:07.360 --> 00:19:13.160]   So if you had one person and three authorized users, and you all split the total annual fees,
[00:19:13.160 --> 00:19:21.080]   you'd be spending $192 a year for American Admirals Club access. Now, if you don't fly on
[00:19:21.080 --> 00:19:26.580]   American or Alaska, having Admirals Club access is not that interesting. And one caveat is the Admirals Club
[00:19:26.580 --> 00:19:33.740]   access you get as an authorized user does not allow you into the Alaska lounge. So only the primary user
[00:19:33.740 --> 00:19:40.780]   gets that Alaska lounge perk. So it's pretty interesting if you want Admirals Club access or Alaska lounge
[00:19:40.780 --> 00:19:49.160]   access, because otherwise, the cost of an Admirals Club membership is $750 to $850 a year. Other perks, you get
[00:19:49.160 --> 00:19:54.460]   your first bag free this time for up to eight travelers. One nice thing about the bag perk on
[00:19:54.460 --> 00:19:58.620]   American is you don't even have to pay for the flight with your card. Some other airlines do have
[00:19:58.620 --> 00:20:04.200]   that requirement. You get priority check-in, screening, and boarding. And then they have a bunch of coupon
[00:20:04.200 --> 00:20:10.320]   style credits. And this is not uncommon for premium cards these days. I'm going to say these credits are
