
[00:00:00.000 --> 00:00:18.160]   Hello, everyone. Who's excited to chat about MCP today?
[00:00:18.160 --> 00:00:23.340]   Okay, we can work on that. We can get it a little bit better by the end of this talk.
[00:00:24.340 --> 00:00:35.340]   But I'm Theo. I am a product manager at Anthropic, work on MCP. Prior to this, was also a startup founder, working in the AI space.
[00:00:35.340 --> 00:00:48.680]   Couple fun facts about me, because everyone says make yourself a little bit more personable, is I like playing poker, mostly losing money at poker, not making money at poker, and I also really like coffee.
[00:00:48.680 --> 00:00:56.680]   If you're a huge coffee fan and want to talk about the best coffee in San Francisco, hit me up after the talk.
[00:00:56.680 --> 00:01:04.680]   But you didn't come here to talk about me. You came here to learn about MCP. So let's talk about MCP.
[00:01:04.680 --> 00:01:15.680]   I was told not to say MCP is the best thing since sliced bread, which I won't say, but mostly because I don't actually think it's the best thing since sliced bread.
[00:01:15.680 --> 00:01:28.680]   My goal here today is to really walk you through the origin story of MCP, why we launched it, give you a better sense of where it can actually help you in your workflow,
[00:01:28.680 --> 00:01:37.680]   And then ultimately give you a sense of the types of questions that I'm frequently hearing, where I think there's a lot of value to build in the ecosystem.
[00:01:37.680 --> 00:01:44.680]   And let you decide for yourself whether or not it is actually the best thing since sliced bread.
[00:01:44.680 --> 00:01:53.680]   So scrolling all the way back to mid last year, the co-creators of MCP, David and Justin, had this idea.
[00:01:53.680 --> 00:01:58.680]   They were seeing that, you know, classic two engineers in a garage style.
[00:01:58.680 --> 00:02:06.680]   They were seeing that they were constantly copying and pasting context from outside of the context window into the context window.
[00:02:06.680 --> 00:02:15.680]   So you're doing your workflow and suddenly you're remembering that there was a Slack message that was really important that had a lot of context that you could just copy in.
[00:02:15.680 --> 00:02:18.680]   So you're constantly kind of copying things back and forth from Slack.
[00:02:18.680 --> 00:02:22.680]   Maybe you're copying things in from Sentry, your error logs.
[00:02:22.680 --> 00:02:33.680]   But they were kind of realizing, hey, it would be so great if Claude or any LLM could just kind of climb out of its box, reach out into the real world,
[00:02:33.680 --> 00:02:37.680]   and bring that context and those actions to the model.
[00:02:37.680 --> 00:02:46.680]   And so the genesis of MCP was really around this big question of not just context but model agency.
[00:02:46.680 --> 00:02:52.680]   How do you actually give the model the ability to interact with the outside world?
[00:02:52.680 --> 00:03:01.680]   And so as they started thinking about this, they came to the conclusion that it had to be an open source standardized protocol
[00:03:01.680 --> 00:03:05.680]   in order for this to make sense at scale.
[00:03:05.680 --> 00:03:20.680]   And the reason is, of course, as you all know, if you want to build an integration and the actor or the client in this case that has to leverage that integration is using a closed source ecosystem,
[00:03:20.680 --> 00:03:28.680]   then you need maybe a BD or partnerships angle with that client to actually get access to the team, to integrate with them.
[00:03:28.680 --> 00:03:34.680]   You then have to align on the right interface, and then you get to actually build the thing itself.
[00:03:34.680 --> 00:03:45.680]   And so the idea here was that model agency was the biggest thing that was stopping LLMs from actually reaching the next stage of usefulness and intelligence,
[00:03:45.680 --> 00:03:52.680]   as we saw that reasoning models were becoming more and more the future, that tool calling was getting better.
[00:03:52.680 --> 00:04:04.680]   We really wanted to make sure that we were making it possible for everyone to get involved in that ecosystem and actually allow the models to, again, have agency.
[00:04:04.680 --> 00:04:15.680]   So they form a small tiger team internally, work on this protocol, and launch it at our company Hack Week in November of last year.
[00:04:15.680 --> 00:04:18.680]   And this was really the first turning point of MCP.
[00:04:18.680 --> 00:04:20.680]   It went viral, as you can imagine.
[00:04:20.680 --> 00:04:26.680]   Engineers from various teams were working on building MCPs to automate their own workflows.
[00:04:26.680 --> 00:04:30.680]   They were working on MCPs to automate other teams' workflows.
[00:04:30.680 --> 00:04:36.680]   This was really kind of a cool moment to see how it went from, again, like two engineers in a garage,
[00:04:36.680 --> 00:04:45.680]   all the way to this is a major moment and turning point where we think we actually unlocked some true value for other people.
[00:04:45.680 --> 00:04:50.680]   And so we ultimately ended up open sourcing MCP in November of last year,
[00:04:50.680 --> 00:04:53.680]   and that's when we introduced it to the rest of the world.
[00:04:53.680 --> 00:04:59.680]   But as most builders know, when you build something zero to one,
[00:04:59.680 --> 00:05:02.680]   you think the launch moment is going to be really impactful.
[00:05:02.680 --> 00:05:05.680]   But it actually usually is not.
[00:05:05.680 --> 00:05:10.680]   At launch, most people were saying things like, what's MCP?
[00:05:10.680 --> 00:05:14.680]   Or even worse, or maybe, you know, rightfully so, what's MPC?
[00:05:14.680 --> 00:05:18.680]   And more often than not, we got this question of,
[00:05:18.680 --> 00:05:21.680]   I don't really understand why you need a new protocol.
[00:05:21.680 --> 00:05:24.680]   I don't really understand why it has to be open source.
[00:05:24.680 --> 00:05:27.680]   Can't models call tools already?
[00:05:27.680 --> 00:05:35.680]   This was the slew of questions that kind of came again and again for probably from the era of November,
[00:05:35.680 --> 00:05:39.680]   all the way even to early this year.
[00:05:39.680 --> 00:05:53.680]   And it really took making it possible for builders to kind of get their hands dirty with building MCPs to automate their own workflow for this to take off.
[00:05:53.680 --> 00:05:59.680]   And so the next turning point, as Henry alluded to, was when Cursor kind of adopted MCP.
[00:05:59.680 --> 00:06:03.680]   And after that, a lot of other coding tools also adopted MCP.
[00:06:03.680 --> 00:06:08.680]   VS Code, Source Graph, et cetera.
[00:06:08.680 --> 00:06:12.680]   We had a lot of coding IDEs start adopting MCP.
[00:06:12.680 --> 00:06:23.680]   And that's really where that next stage of momentum came in where agency was given to builders to actually build MCPs for themselves.
[00:06:23.680 --> 00:06:33.680]   And more recently, we've seen kind of another turning point where Google, Microsoft, OpenAI, and many others have also adopted MCP.
[00:06:33.680 --> 00:06:37.680]   So we're really excited to see this kind of become more and more the standard.
[00:06:37.680 --> 00:06:44.680]   But ultimately, standards become standards because they are actually useful to builders.
[00:06:44.680 --> 00:06:49.680]   And so I kind of want to ask all of you to keep us honest.
[00:06:49.680 --> 00:06:56.680]   Contribute when you see issues with the way that the protocol is built today.
[00:06:56.680 --> 00:07:05.680]   Or if you even want to take that one step further and submit a PR directly to the GitHub repo and fix the issue, that would be even better.
