
[00:00:00.520 --> 00:00:08.120]   My name is Karina. Recently I've been working on CLOD, which is like a large
[00:00:08.120 --> 00:00:14.700]   language model trained by Anthropik. And most recently I was working on like
[00:00:14.700 --> 00:00:21.760]   reducing hallucinations, how to make CLOD self-correct its answers, and many
[00:00:21.760 --> 00:00:27.720]   other features that went into CLOD2 launch. And so I'm going to talk today
[00:00:27.720 --> 00:00:31.920]   about the writing principles for task-tuned prompt engineering, and kind of
[00:00:31.920 --> 00:00:38.880]   sort of like help you if you want to use CLOD API, help you to guide with the best
[00:00:38.880 --> 00:00:46.740]   practices and tips that I found and we found most effective. So first of all, I
[00:00:46.740 --> 00:00:53.040]   would like to talk about why prompting is hard. And to understand why prompting is
[00:00:53.040 --> 00:00:57.660]   hard, we should understand what prompting is in the first place. So this model
[00:00:57.660 --> 00:01:02.460]   estimate the probability of each subsequent word given the preceding
[00:01:02.460 --> 00:01:08.820]   words. So in a way, a well-crafted prompt can increase the probability of generated
[00:01:08.820 --> 00:01:15.600]   desired and accurate phrases. Due to attention mechanisms in large language
[00:01:15.600 --> 00:01:22.140]   models, the models can focus on specific parts of the input text, and so effective
[00:01:22.140 --> 00:01:27.600]   prompts ensure that the attention is directed properly for desired outputs, and
[00:01:27.600 --> 00:01:32.400]   and so it's important to incorporate task-specific keywords and context and
[00:01:32.400 --> 00:01:38.560]   examples within the prompt to activate the relevant portions of the model's internal
[00:01:38.560 --> 00:01:44.900]   knowledge. And lastly, prompting leads to better results because without the need of
[00:01:44.900 --> 00:01:52.600]   like computational, like other compute, you just like, without like model retraining, so you can like leverage
[00:01:52.600 --> 00:02:22.580]   inference time test compute for this. And so like why prompting is hard? And I think I found, based on like my conversations with customers and like developers, I think prompting is hard because of like three different reasons. First, people know, humans know what they want, but they don't know how to get the best performance from the model. And I think that's what we're going to focus on today. The second reason is that they vaguely know what they want, but they don't know how to explain what they want, but they don't know how to explain what they want.
[00:02:22.580 --> 00:02:36.580]   So they don't know how to explain the best to explain the best to the model. And so the model gets confused what the human wants from the task. And the third reason is like they don't know what they want. So the humans don't know what they want. So it's pretty bad.
