
[00:00:00.000 --> 00:00:05.840]   Welcome back everyone.
[00:00:05.840 --> 00:00:08.960]   This is part two in our series on contextual representations.
[00:00:08.960 --> 00:00:10.160]   We've come to the heart of it,
[00:00:10.160 --> 00:00:11.960]   the transformer architecture.
[00:00:11.960 --> 00:00:13.840]   While we're still feeling fresh,
[00:00:13.840 --> 00:00:17.040]   I propose that we just dive into the core model structure.
[00:00:17.040 --> 00:00:20.200]   I'm going to introduce that by way of a simple example.
[00:00:20.200 --> 00:00:22.040]   I've got that at the bottom of the slide here.
[00:00:22.040 --> 00:00:24.220]   Our sentence is the rock rules,
[00:00:24.220 --> 00:00:26.440]   and I've paired each one of those tokens with
[00:00:26.440 --> 00:00:30.040]   a token representing its position in the string.
[00:00:30.040 --> 00:00:32.820]   The first thing that we do in this model is look up
[00:00:32.820 --> 00:00:36.820]   each one of those tokens in its own embedding space.
[00:00:36.820 --> 00:00:40.360]   For word embeddings, we look those up and get things like x47,
[00:00:40.360 --> 00:00:43.380]   which is a vector corresponding to the word the.
[00:00:43.380 --> 00:00:47.040]   That representation is a static word representation
[00:00:47.040 --> 00:00:49.600]   that's very similar conceptually to what we had in
[00:00:49.600 --> 00:00:53.420]   the previous era with models like word2vec and GloVe.
[00:00:53.420 --> 00:00:55.220]   We do something similar for
[00:00:55.220 --> 00:00:59.300]   these positional tokens here and get their vector representations.
[00:00:59.300 --> 00:01:03.460]   Then to combine them, we simply add them together dimension-wise
[00:01:03.460 --> 00:01:06.360]   to get the representations that I have in green here,
[00:01:06.360 --> 00:01:09.220]   which you could think of as the first contextual
[00:01:09.220 --> 00:01:12.380]   representations that we have in this model.
[00:01:12.380 --> 00:01:15.380]   On the right here, I've depicted that calculation
[00:01:15.380 --> 00:01:18.860]   for the C input part of the sequence.
[00:01:18.860 --> 00:01:21.900]   That's a pattern that I'm going to continue all the way up as we
[00:01:21.900 --> 00:01:24.420]   build this transformer block just showing
[00:01:24.420 --> 00:01:27.140]   the calculations for the C dimension because
[00:01:27.140 --> 00:01:31.340]   the calculations are entirely parallel for A and for B.
[00:01:31.340 --> 00:01:35.540]   To get C input, we simply add together x34 with P3,
[00:01:35.540 --> 00:01:38.260]   and that gives us C input.
[00:01:38.260 --> 00:01:41.360]   The next layer is the attention layer.
[00:01:41.360 --> 00:01:43.420]   This is the part of the model that gives rise to
[00:01:43.420 --> 00:01:46.860]   that famous paper title, attention is all you need.
[00:01:46.860 --> 00:01:50.060]   The reason the paper has the title attention is all you need is
[00:01:50.060 --> 00:01:52.860]   that the author saw what was happening in
[00:01:52.860 --> 00:01:55.500]   the previous era with recurrent neural networks
[00:01:55.500 --> 00:01:57.580]   where people had recurrent mechanisms,
[00:01:57.580 --> 00:01:59.260]   and then they added a bunch of
[00:01:59.260 --> 00:02:01.280]   attention mechanisms on top of
[00:02:01.280 --> 00:02:04.980]   those recurrences to further connect everything to everything else.
[00:02:04.980 --> 00:02:06.940]   What the paper title is saying is,
[00:02:06.940 --> 00:02:09.620]   you can get rid of those recurrent connections
[00:02:09.620 --> 00:02:12.180]   and rely entirely on attention.
[00:02:12.180 --> 00:02:13.940]   Hence, attention is all you need.
[00:02:13.940 --> 00:02:15.720]   That's an important historical note because
[00:02:15.720 --> 00:02:19.060]   the transformer has many other pieces as you'll see,
[00:02:19.060 --> 00:02:20.860]   but they were saying in particular,
[00:02:20.860 --> 00:02:24.780]   I believe, that you could drop the recurrent mechanisms.
[00:02:24.780 --> 00:02:28.420]   The attention mechanism that the transformer uses is
[00:02:28.420 --> 00:02:30.220]   essentially the same one that I
[00:02:30.220 --> 00:02:32.200]   introduced in the previous lecture
[00:02:32.200 --> 00:02:34.440]   coming from the pre-transformer era.
[00:02:34.440 --> 00:02:38.300]   It is a dot product-based approach to attention.
[00:02:38.300 --> 00:02:39.740]   I've summarized that here.
[00:02:39.740 --> 00:02:40.940]   You can see in the numerator,
[00:02:40.940 --> 00:02:43.640]   we have C input dot product with A input,
[00:02:43.640 --> 00:02:46.340]   and C input dot product with B input.
[00:02:46.340 --> 00:02:48.260]   Let me show you what those look like.
[00:02:48.260 --> 00:02:53.280]   Here, I've got depicted each dot product is a dot,
[00:02:53.280 --> 00:02:55.720]   and the arrows going into it correspond to
[00:02:55.720 --> 00:02:58.500]   the components that feed into that calculation.
[00:02:58.500 --> 00:03:01.880]   This dot here corresponds to A input combined with
[00:03:01.880 --> 00:03:05.420]   C input and this one, A input with B input.
[00:03:05.420 --> 00:03:08.020]   We do that same thing for the B step,
[00:03:08.020 --> 00:03:10.500]   and then we do the same thing for the C step.
[00:03:10.500 --> 00:03:13.580]   The two dots that are depicted here correspond
[00:03:13.580 --> 00:03:16.780]   to the two dot products that are in this numerator.
[00:03:16.780 --> 00:03:19.780]   One new thing that they did in the transformer paper is
[00:03:19.780 --> 00:03:24.300]   normalize those dot products by the square root of DK.
[00:03:24.300 --> 00:03:26.860]   DK is the dimensionality of the model.
[00:03:26.860 --> 00:03:28.220]   It is the dimensionality of
[00:03:28.220 --> 00:03:31.380]   all the representations that we have talked about so far.
[00:03:31.380 --> 00:03:34.540]   That's a really important element of the transformer.
[00:03:34.540 --> 00:03:35.660]   We're going to do a lot of
[00:03:35.660 --> 00:03:37.780]   additive combinations in this model,
[00:03:37.780 --> 00:03:39.660]   and that means that essentially,
[00:03:39.660 --> 00:03:41.880]   every representation has to have
[00:03:41.880 --> 00:03:44.220]   the same dimensionality and that is DK.
[00:03:44.220 --> 00:03:47.160]   There is one exception to that which I will return to,
[00:03:47.160 --> 00:03:49.220]   but all the states that I depict on
[00:03:49.220 --> 00:03:52.220]   this slide need to have dimensionality DK.
[00:03:52.220 --> 00:03:55.740]   What the transformer authors found is that they got
[00:03:55.740 --> 00:03:57.860]   better scaling for the dot products when they
[00:03:57.860 --> 00:04:00.140]   normalized by the square root of
[00:04:00.140 --> 00:04:03.500]   that model dimensionality as a heuristic.
[00:04:03.500 --> 00:04:06.780]   Those normalized dot products give us a new vector,
[00:04:06.780 --> 00:04:08.720]   alpha with a tilde on top.
[00:04:08.720 --> 00:04:10.820]   We softmax normalize that,
[00:04:10.820 --> 00:04:12.340]   and that gives us alpha,
[00:04:12.340 --> 00:04:15.700]   which you could think of as attention scores.
[00:04:15.700 --> 00:04:18.580]   To get the actual attention representation
[00:04:18.580 --> 00:04:20.640]   corresponding to this block here,
[00:04:20.640 --> 00:04:24.440]   we take each component of this vector alpha and
[00:04:24.440 --> 00:04:26.260]   multiply it by each one
[00:04:26.260 --> 00:04:28.580]   of the representations that we're attending to.
[00:04:28.580 --> 00:04:30.500]   Alpha 1 by A input,
[00:04:30.500 --> 00:04:32.300]   alpha 2 by B input,
[00:04:32.300 --> 00:04:36.660]   and then we sum those values together to get C attention.
[00:04:36.660 --> 00:04:39.100]   As a reminder, we have all these
[00:04:39.100 --> 00:04:41.460]   dense connections for all of these different states.
[00:04:41.460 --> 00:04:45.500]   I'm just showing you the calculations for C attention.
[00:04:45.500 --> 00:04:48.600]   That's important because all those lines that are now on
[00:04:48.600 --> 00:04:51.980]   the slide are really the only place at which we knit
[00:04:51.980 --> 00:04:54.380]   together all of these columns which will
[00:04:54.380 --> 00:04:57.320]   otherwise be operating independently of each other.
[00:04:57.320 --> 00:05:00.480]   This really gives us all the dense connections that we think
[00:05:00.480 --> 00:05:03.360]   are so powerful for the transformer learning,
[00:05:03.360 --> 00:05:05.360]   what sequences are like.
[00:05:05.360 --> 00:05:07.140]   Now, I do think that
[00:05:07.140 --> 00:05:09.620]   the representations that I have in orange are
[00:05:09.620 --> 00:05:12.940]   attention representations but they're raw materials
[00:05:12.940 --> 00:05:16.260]   because they're really just recording the similarity
[00:05:16.260 --> 00:05:18.400]   between our target representation
[00:05:18.400 --> 00:05:20.580]   and the representations around it.
[00:05:20.580 --> 00:05:23.900]   To get an actual attention representation in the transformer,
[00:05:23.900 --> 00:05:26.340]   what we do is add together
[00:05:26.340 --> 00:05:28.420]   these contextual representations down
[00:05:28.420 --> 00:05:30.940]   here with these attention values,
[00:05:30.940 --> 00:05:33.500]   and that gives us the representations in yellow,
[00:05:33.500 --> 00:05:36.180]   see a layer, and those are
[00:05:36.180 --> 00:05:40.020]   full-fledged attention-based representations.
[00:05:40.020 --> 00:05:42.260]   I've depicted the calculation over here and that
[00:05:42.260 --> 00:05:44.300]   includes a nice reminder that we actually apply
[00:05:44.300 --> 00:05:48.980]   dropout to the sum of the orange and the green.
[00:05:48.980 --> 00:05:52.220]   Dropout is a simple regularization technique that will help
[00:05:52.220 --> 00:05:53.340]   the model to learn
