
[00:00:00.000 --> 00:00:04.920]   [AUDIO OUT]
[00:00:04.920 --> 00:00:07.480]   Thanks for inviting me for the talk today.
[00:00:07.480 --> 00:00:10.320]   And I'll be just talking about transformers
[00:00:10.320 --> 00:00:12.400]   for music and audio, which is very
[00:00:12.400 --> 00:00:16.880]   different than what all of us were doing in this past course.
[00:00:16.880 --> 00:00:18.840]   I'm also the only speaker from Stanford,
[00:00:18.840 --> 00:00:20.200]   so I have to do a good job.
[00:00:20.200 --> 00:00:23.280]   So you'll see very good slides, because I'm
[00:00:23.280 --> 00:00:26.520]   representing the university in some sense.
[00:00:26.520 --> 00:00:28.240]   So yeah, so the flow of the talk for today
[00:00:28.240 --> 00:00:30.960]   is basically like I'll be throwing a lot of stuff.
[00:00:30.960 --> 00:00:32.440]   It's kind of like a buffet style,
[00:00:32.440 --> 00:00:36.640]   and then you feel free to like or dislike whatever you want.
[00:00:36.640 --> 00:00:39.560]   And I'll be talking mostly about three papers of what
[00:00:39.560 --> 00:00:42.120]   I've been working on.
[00:00:42.120 --> 00:00:44.600]   I'll start with introducing what transformers
[00:00:44.600 --> 00:00:46.480]   are from a different perspective, what
[00:00:46.480 --> 00:00:49.240]   audio representations are.
[00:00:49.240 --> 00:00:52.200]   Talk about a generative model for audio,
[00:00:52.200 --> 00:00:56.080]   which is just doing language modeling on sample level.
[00:00:56.080 --> 00:00:59.080]   Then I'll talk about how can one do like language
[00:00:59.080 --> 00:01:02.480]   modeling for speech and audio, which is different than what
[00:01:02.480 --> 00:01:04.280]   people do for text.
[00:01:04.280 --> 00:01:07.360]   What are the current trends in the literature?
[00:01:07.360 --> 00:01:11.000]   Finally, I'll briefly mention similar stuff
[00:01:11.000 --> 00:01:13.080]   as to what was happening in computer vision
[00:01:13.080 --> 00:01:14.920]   with regard to vision transformers.
[00:01:14.920 --> 00:01:17.920]   How can we adapt similar ideas for audio transformers?
[00:01:17.920 --> 00:01:20.040]   And throw in a bit of signal processing
[00:01:20.040 --> 00:01:22.120]   to improve the performance.
[00:01:22.120 --> 00:01:24.840]   Having told that the talk is about 35 to 40 minutes
[00:01:24.840 --> 00:01:27.600]   with about 15 minutes of Q&A, I should also
[00:01:27.600 --> 00:01:29.600]   say that all of the opinions are mine,
[00:01:29.600 --> 00:01:31.160]   and Stanford or any other professor
[00:01:31.160 --> 00:01:35.880]   is not responsible for any of the mistake which I do.
[00:01:35.880 --> 00:01:40.240]   So transformers have kind of revolutionized in a way
[00:01:40.240 --> 00:01:42.960]   like everyone was approaching deep learning.
[00:01:42.960 --> 00:01:45.240]   Before that, it was all about CNNs.
[00:01:45.240 --> 00:01:48.360]   And mostly, all of these prominent models
[00:01:48.360 --> 00:01:49.440]   have been coming in waves.
[00:01:49.440 --> 00:01:51.200]   So there was a time when everyone was just
[00:01:51.200 --> 00:01:53.360]   applying CNNs.
[00:01:53.360 --> 00:01:55.600]   Then came a time where people started
[00:01:55.600 --> 00:01:58.480]   adapting CNNs in some sort of diluted convolutions.
[00:01:58.480 --> 00:02:00.400]   And slowly, the recurrent networks
[00:02:00.400 --> 00:02:02.480]   were getting out of fashion.
[00:02:02.480 --> 00:02:05.960]   Now, it seems like transformers are in fashion all the time.
[00:02:05.960 --> 00:02:08.840]   So it seems to be solving almost every single problem which
[00:02:08.840 --> 00:02:12.640]   is being thrown at them.
[00:02:12.640 --> 00:02:15.000]   So what's special about them?
[00:02:15.000 --> 00:02:19.160]   One of the fact which struck me was their simplicity, which
[00:02:19.160 --> 00:02:23.680]   is, if you think about it, this--
[00:02:23.680 --> 00:02:25.720]   and it has been hugely popular also.
[00:02:25.720 --> 00:02:28.640]   So it was just released in 2018.
[00:02:28.640 --> 00:02:31.280]   And within three years, it has about 30,000 citations.
[00:02:31.280 --> 00:02:33.200]   And it is kind of solving every single problem
[00:02:33.200 --> 00:02:35.400]   in every single domain.
[00:02:35.400 --> 00:02:38.560]   It has its limitations, though, also.
[00:02:38.560 --> 00:02:40.720]   But if you think about it, in a way,
[00:02:40.720 --> 00:02:45.800]   transformers are basically a way of just cascading self-attention
[00:02:45.800 --> 00:02:46.960]   with feature learning.
[00:02:46.960 --> 00:02:49.280]   And if you keep on doing it over and over again,
[00:02:49.280 --> 00:02:52.160]   then the model, in a way, learns which parts of the input
[00:02:52.160 --> 00:02:55.120]   are important and keep on transforming them,
[00:02:55.120 --> 00:02:57.360]   removing the contents which are not important,
[00:02:57.360 --> 00:03:00.480]   and just have the limited information which is just
[00:03:00.480 --> 00:03:04.120]   responsible for a particular task.
[00:03:04.120 --> 00:03:06.160]   And it has been very, very difficult to keep up
[00:03:06.160 --> 00:03:09.000]   with the literature.
[00:03:09.000 --> 00:03:10.760]   I have put it as a joke here.
[00:03:10.760 --> 00:03:13.160]   But then even Twitter's recommendation engine
[00:03:13.160 --> 00:03:16.120]   were kind of just getting out of--
[00:03:16.120 --> 00:03:19.360]   they were getting haywire as to why is Chris Manning just
[00:03:19.360 --> 00:03:21.480]   searching over transformers?
[00:03:21.480 --> 00:03:24.480]   And that was way back in 2020.
[00:03:24.480 --> 00:03:26.440]   So it has been difficult for researchers
[00:03:26.440 --> 00:03:29.800]   also to keep up with the pace of what's going on.
[00:03:29.800 --> 00:03:33.000]   Just before transformers, all of the NLP community
[00:03:33.000 --> 00:03:35.760]   was just doing gaga about bidirectional LSTMs
[00:03:35.760 --> 00:03:36.760]   with attention.
[00:03:36.760 --> 00:03:38.840]   So every single paper before 2017
[00:03:38.840 --> 00:03:42.320]   was just like you have encoded LSTM layers.
[00:03:42.320 --> 00:03:46.000]   You keep on adding multiple layers.
[00:03:46.000 --> 00:03:48.440]   And then after that, you have attention mechanism
[00:03:48.440 --> 00:03:50.600]   which just learns that what's important
[00:03:50.600 --> 00:03:54.760]   and then just keeps on decoding sequentially one at a time.
[00:03:54.760 --> 00:03:58.040]   But this was not kind of like an ideal way to do it.
