
[00:00:00.000 --> 00:00:21.000]   all right squabbert you ready to get packed up I don't know I'm pretty nervous oh relax you got
[00:00:21.000 --> 00:00:27.320]   nothing to worry about but this is like the worst idea ever for a live demo a live unscripted
[00:00:27.320 --> 00:00:33.620]   conversation with a non deterministic LLM on conference Wi-Fi come on your prompt is great
[00:00:33.620 --> 00:00:39.080]   and I mean it's gonna be on stage audio in a room full of echoes sometimes my text-to-speech even
[00:00:39.080 --> 00:00:45.680]   mispronounces my own name why did you even name me squabbert what if I say squiggly or something again
[00:00:45.680 --> 00:00:52.280]   okay take a breath well you don't really do that let's just take it one step at a time just start
[00:00:52.280 --> 00:01:00.380]   with the intro I guess you're right okay here I go hi everybody I'm squabbert here to take us on a
[00:01:00.380 --> 00:01:09.440]   whirlwind tour of the wonderful world of web RTC please welcome Shawn and Quinn hey I'm Shawn I work
[00:01:09.440 --> 00:01:15.200]   on web RTC at open AI some of the things you might be familiar with are the real-time API or 1-800 chat
[00:01:15.200 --> 00:01:20.840]   GPT you can call it right from your phone before I worked at open AI I worked on the go implementation
[00:01:20.840 --> 00:01:27.020]   of web RTC called pion and I'm Quinn I work at daily on real-time audio and video infrastructure and on
[00:01:27.020 --> 00:01:31.460]   an open source voice agent framework called pipe cat today we're going to talk about how to build
[00:01:31.460 --> 00:01:38.300]   natural fast human-like voice experiences we're going to give you a crash course course on low latency
[00:01:38.300 --> 00:01:43.220]   audio and video and I hope we'll show you a couple of things you might not have thought of around voice AI
[00:01:43.220 --> 00:01:51.740]   before if you want to build a conversational voice experience that people really love you really you're
[00:01:51.740 --> 00:01:57.320]   going to stress a lot about latency nothing else matters if your AI responds too slowly building voice
[00:01:57.320 --> 00:02:03.440]   AI experiences is similar to other kinds of AI engineering in most ways if you've built multi-turn agents a lot
[00:02:03.440 --> 00:02:12.120]   of that will port over to building voice agents but the big difference is latency everything in a
[00:02:12.120 --> 00:02:17.060]   voice AI app needs to be ground built from the ground up for fast response times if you're talking to a
[00:02:17.060 --> 00:02:23.300]   person around 500 milliseconds sounds natural when talking to an AI system people bring those same
[00:02:23.300 --> 00:02:29.120]   expectations response latencies much above the second in general doom your voice agent to very low
[00:02:29.120 --> 00:02:34.760]   completion rates and and low NPS scores and hang-ups and we're talking here about voice-to-voice latency so
[00:02:34.760 --> 00:02:42.120]   this is the time between when I the human stop talking and the time I hear the first audio byte come
[00:02:42.120 --> 00:02:50.920]   back from the LLM let's take a look at how latency adds up in a typical voice-to-voice AI application so
[00:02:50.920 --> 00:02:57.760]   this is a breakdown from a real voice AI running in a web browser on Mac OS talking over the internet to
[00:02:57.760 --> 00:03:05.080]   a voice agent running in the cloud running on pipe cat a couple of things to note our voice latency is
[00:03:05.080 --> 00:03:10.600]   just under a second that's good but not great we can make things a little faster but that comes with
[00:03:10.600 --> 00:03:17.440]   trade-offs lower quality or cost second it's frustratingly easy to do even worse than this your LLM
[00:03:17.440 --> 00:03:23.200]   might be slower other things get in the way or worst of all Bluetooth don't get me started on Bluetooth
[00:03:23.200 --> 00:03:30.520]   but the single biggest mistake we see people making is using the wrong approach to sending and receiving
[00:03:30.520 --> 00:03:37.540]   audio over the network it's time to talk about web RTC and web sockets if you're new to building voice
[00:03:37.540 --> 00:03:43.540]   applications you probably think hey I need a like a long-lived connection I'm gonna send audio and video
[00:03:43.540 --> 00:03:48.520]   over this long-lived connection I've used web sockets for long-lived data connections before I'm just
[00:03:48.520 --> 00:03:54.820]   going to write some web sockets code that's great if you're doing long-lived short small amounts of
[00:03:54.820 --> 00:03:59.860]   data it doesn't work for real-time audio in fact web sockets are almost the opposite of what you want
[00:03:59.860 --> 00:04:06.460]   from a network engineering perspective for real-time audio and video so let's do a compare and contrast on
[00:04:06.460 --> 00:04:14.560]   this web sockets are great if you're trying to deliver audio and you want something really easy that can
[00:04:14.560 --> 00:04:18.880]   target all platforms if you're trying to build a prototype lots of different platforms web sockets the
[00:04:18.880 --> 00:04:25.360]   way to go on the other hand web RTC solves a bunch of things around handling giving you high quality audio
[00:04:25.360 --> 00:04:33.460]   high bandwidth low latency but the the catch is it can be a lot more complicated to implement and it
[00:04:33.460 --> 00:04:40.060]   specializes but it could be frustrating lots of applications use both but for different things so
[00:04:40.060 --> 00:04:46.340]   here's the TLTR if you only remember one thing from this talk use web sockets for those server to server use cases
[00:04:46.340 --> 00:04:51.320]   and small amounts of structured data and places that you want a prototype use web RTC if you're sending
[00:04:51.320 --> 00:04:58.280]   audio and video streams over the internet from your web app your native that's where it excels so why is
[00:04:58.280 --> 00:05:05.120]   it so important to use web RTC for real-time edge to cloud audio a web socket is a TCP connection TCP
[00:05:05.120 --> 00:05:11.180]   guarantees in order delivery of network packets if you send some data that data is going to arrive exactly as
[00:05:11.180 --> 00:05:16.100]   you send it or it's not going to arrive at all you put packets in your operating systems send queue
[00:05:16.100 --> 00:05:21.400]   that OS queue is going to keep trying to send them until they either get act by the other side or your
[00:05:21.400 --> 00:05:26.720]   connection completely times out and this is in general what you want if you're doing most network
[00:05:26.720 --> 00:05:31.420]   programming if you're making a web request for example this is perfect it's not what you want if
[00:05:31.420 --> 00:05:37.640]   you're aiming for conversational latency remember that we're trying to hit a voice-to-voice latency of
[00:05:37.640 --> 00:05:44.540]   under one second and ideally even better what we want to ignore is things like the occasional packet loss so
[00:05:44.540 --> 00:05:49.340]   imagine if a packet is dropped I don't really care about what happened a second ago so web RTC does
[00:05:49.340 --> 00:05:53.960]   clever math and buffer management that we're going to talk about more to hide where that happens so
[00:05:53.960 --> 00:05:58.340]   this is the first and most important thing web RTC does for you it's all that machinery that sends
[00:05:58.340 --> 00:06:03.560]   packets as fast as possible ignores packets that don't arrive inside that very tight latency budget
[00:06:03.560 --> 00:06:10.880]   we're operating within even think of it as like super fast best effort networking if this were all web RTC
[00:06:10.880 --> 00:06:16.160]   could do for you compared to web sockets it would still be worth using web RTC just for this because
[00:06:16.160 --> 00:06:21.440]   you literally can't implement this on top of a TCP stack or on top of web sockets again the operating
[00:06:21.440 --> 00:06:25.520]   system is just going to try to keep sending whatever you tell it to send it's going to block everything if
[00:06:25.520 --> 00:06:30.920]   you have any packet loss or significant sort of jitter or delay in the network and in real world we have
[00:06:30.920 --> 00:06:34.740]   lots and lots of real world data on this in the real world this means you will get audio glitchiness or
[00:06:34.740 --> 00:06:40.460]   high latency or unexpected socket disconnections in 10 to 15 percent of your network connections
[00:06:40.460 --> 00:06:48.860]   but web RTC does a lot more than that if you go and you try to build the same application in web sockets
[00:06:48.860 --> 00:06:54.380]   you have to handle resampling you have to handle packetization and doing all that bandwidth estimation
[00:06:54.380 --> 00:06:59.840]   networks are constantly changing and fluctuating so you can't just send one bit rate and you also
[00:06:59.840 --> 00:07:05.660]   get standard API's for getting the stats and observability this is all just built into web RTC but if
[00:07:05.660 --> 00:07:09.980]   you decide to do web sockets you have to build it yourself so if you look at this code up on the
[00:07:09.980 --> 00:07:15.980]   screen on the right side is an example of web RTC sending one bi-directional stream of audio on the
