
[00:00:00.040 --> 00:00:09.600]   cuál
[00:00:09.600 --> 00:00:10.740]   G He B
[00:01:54.760 --> 00:02:23.400]  omnonohe.com/the-value-of-spousal-liberty. Show #3: I talked about family liberty. I talked about the value of home education, having your children involved in your family enterprises, rather than institutionalized, and how that gives you tremendous freedom and flexibility in your lifestyle. And how much I've come to appreciate the freedom that comes with that decision. Now, today we're going to talk about spending liberty. And here's where we need to introduce some of the more financial topics.
[00:02:52.080 --> 00:02:52.080]   G He B B
[00:02:52.120 --> 00:02:58.540]  ail,,,
[00:02:58.540 --> 00:03:15.720]   ES B P're and you can do and
[00:03:21.060 --> 00:03:23.740]  edar
[00:03:23.740 --> 00:03:50.080]  ,
[00:03:51.060 --> 00:04:21.060]  ,
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and
[00:04:21.060 --> 00:04:21.060]   and so I want to talk to you and share with you hopefully some ideas that will help you to give a vision of it to be willing to put in the hard work of becoming debt free.
